"SchemaName","TableName","Rows","CsvPath"
"dbo","stockmaster","130",".\migration\export\csv\dbo.stockmaster.csv"
"dbo","StockRegister","2934",".\migration\export\csv\dbo.StockRegister.csv"
"dbo","Stores","4",".\migration\export\csv\dbo.Stores.csv"
"dbo","SupplierStatement","12998",".\migration\export\csv\dbo.SupplierStatement.csv"
"dbo","sysdiagrams","0",".\migration\export\csv\dbo.sysdiagrams.csv"
"dbo","system_printers","0",".\migration\export\csv\dbo.system_printers.csv"
"dbo","systypes_1","43",".\migration\export\csv\dbo.systypes_1.csv"
"dbo","tanktrans","3301",".\migration\export\csv\dbo.tanktrans.csv"
"dbo","Tasks","152",".\migration\export\csv\dbo.Tasks.csv"
"dbo","unit","12",".\migration\export\csv\dbo.unit.csv"
"dbo","vatcategory","5",".\migration\export\csv\dbo.vatcategory.csv"
"dbo","www_users","12",".\migration\export\csv\dbo.www_users.csv"
