"documenttype","documentno","docdate","oderdate","duedate","postingdate","customercode","customername","yourreference","externaldocumentno","locationcode","paymentterms","postinggroup","currencycode","salespersoncode","printed","released","status","userid","period","entryno","vatinclusive","QtyDiscount","journal","shipping","packagescharge","picture"
"32","4","2/1/2017 12:00:00 AM","","2/2/2017 12:00:00 AM","","Dr521","ABSAL AND SONS","","","          ","","General             ","KES       ","Sr1       ","","","1","Programmer          ","6","70155","False","","","","",""
"11","CN10","12/19/2016 12:00:00 AM","","12/20/2016 12:00:00 AM","1/17/2017 12:00:00 AM","Dr424","GULF ASPHALT","270916-02","INV123","","","General             ","KES       ","Sr1       ","0","0","1","Mary Njeri          ","5","50127","False","","","","",""
"11","CN101","1/14/2022 12:00:00 AM","","","1/14/2022 12:00:00 AM","Dr140670","Kansai Plascon Kenya Ltd","","INV.2167","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","65","1574438","False","","","","",""
"11","CN102","2/8/2022 12:00:00 AM","","","2/8/2022 12:00:00 AM","Dr510722","KABUITO CONTRACTORS LTD","","INV.2190","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","66","1574565","False","","","","",""
"11","CN103","2/11/2022 12:00:00 AM","","","2/11/2022 12:00:00 AM","Dr140670","Kansai Plascon Kenya Ltd","","INV.2223","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","66","1574669","False","","","","",""
"11","CN104","2/17/2022 12:00:00 AM","","","2/17/2022 12:00:00 AM","Dr510688","CHINA WUYI ELDORET","","INV.2248","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","66","1574689","False","","","","",""
"11","CN105","2/18/2022 12:00:00 AM","","","2/18/2022 12:00:00 AM","Dr510824","ONGATA WORKS LIMITED","","INV.2252","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","66","1574712","False","","","","",""
"11","CN106","2/23/2022 12:00:00 AM","","","2/23/2022 12:00:00 AM","Dr510688","CHINA WUYI ELDORET","","INV.2267","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","66","1574769","False","","","","",""
"11","CN107","2/24/2022 12:00:00 AM","","","2/24/2022 12:00:00 AM","Dr510778","WARUHIU CONSTRUCTION LTD","","INV.2288","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","66","1574867","False","","","","",""
"11","CN108","2/26/2022 12:00:00 AM","","","2/26/2022 12:00:00 AM","Dr510751","KADI PETROLEUM EAST AFRICA CO.","","INV.2279","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","66","1574874","False","","","","",""
"11","CN109","2/14/2022 12:00:00 AM","","","2/14/2022 12:00:00 AM","Dr510955","EAST AFRICA FOUNDRY","","INV.2234","","","General             ","KES       ","Sr7       ","0","0","1","Lucybriate          ","66","1574897","False","","","","",""
"11","CN11","4/4/2017 12:00:00 AM","","4/5/2017 12:00:00 AM","4/7/2017 12:00:00 AM","Dr650","CHINA WUYI CO.LTD(C99)MACHAKOS","2351","INV247","","","General             ","KES       ","Sr1       ","0","0","1","Mary Njeri          ","8","110288","False","","","","",""
"11","CN110","3/2/2022 12:00:00 AM","","","3/2/2022 12:00:00 AM","Dr510967","FF AND COOL","","INV.2298","","","General             ","KES       ","Sr7       ","0","0","1","Rose                ","67","1574922","False","","","","",""
"11","CN111","3/3/2022 12:00:00 AM","","","3/3/2022 12:00:00 AM","Dr510969","DAVID ENGINEERING JV","","INV.2302","","","General             ","KES       ","Sr1       ","0","0","1","Rose                ","67","1574940","False","","","","",""
"11","CN112","3/7/2022 12:00:00 AM","","","3/7/2022 12:00:00 AM","Dr510864","TRIPLE N CAPITAL VENTURE LTD","","INV.2312","","","General             ","KES       ","Sr5       ","0","0","1","Lucybriate          ","67","1574990","False","","","","",""
"11","CN113","3/25/2022 12:00:00 AM","","","3/25/2022 12:00:00 AM","Dr584","SAXON INVESTMENT LTD","DLV 3927","INV.2351","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","67","1575166","False","","","","",""
"11","CN114","6/3/2022 12:00:00 AM","","","6/3/2022 12:00:00 AM","Dr510937","GALAXY PAINTS","LPO 30398","INV.2482","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","70","1575752","False","","","","",""
"11","CN115","6/23/2022 12:00:00 AM","","","6/23/2022 12:00:00 AM","Dr471","JAMES FINLAY KENYA LIMITED -L1","LPO 0250252211349/7","INV.2490","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","70","1575784","False","","","","",""
"11","CN116","6/24/2022 12:00:00 AM","","","6/24/2022 12:00:00 AM","Dr510758","TRANSLEE KENYA LIMITED","","INV.2494","","","General             ","KES       ","Sr1       ","0","0","1","Sarah               ","70","1575825","False","","","","",""
"11","CN117","7/5/2022 12:00:00 AM","","","7/5/2022 12:00:00 AM","Dr510771","NEW NILE IMPEX HANDWARE LTD","","INV.2516","","","no vat              ","KES       ","Sr1       ","0","0","1","Lucybriate          ","71","1575913","False","","","","",""
"11","CN118","7/7/2022 12:00:00 AM","","","7/7/2022 12:00:00 AM","Dr511010","JULIUS KAMONYE","","INV.2524","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","71","1575959","False","","","","",""
"11","CN12","4/24/2017 12:00:00 AM","","4/25/2017 12:00:00 AM","4/27/2017 12:00:00 AM","Dr568","KEWA EAST AFRICA LTD","LD no.4100","INV258","","","General             ","KES       ","Sr1       ","0","0","1","Mary Mugure         ","8","110314","False","","","","",""
"11","CN13","3/24/2017 12:00:00 AM","","3/25/2017 12:00:00 AM","8/28/2017 12:00:00 AM","Dr424","GULF ASPHALT","Ld no.4076","INV229","","","General             ","KES       ","Sr1       ","0","0","1","Mary Njeri          ","12","260390","False","","","","",""
"11","CN14","8/2/2017 12:00:00 AM","9/1/2017 12:00:00 AM","8/20/2017 12:00:00 AM","9/1/2017 12:00:00 AM","Dr646","CHINA WU YI CO. LTD-MSA","Dlv no.2443","INV348","","","General             ","KES       ","Sr1       ","0","0","1","Mary Njeri          ","13","280402","False","","","","",""
"11","CN15","7/12/2017 12:00:00 AM","","7/25/2017 12:00:00 AM","9/28/2017 12:00:00 AM","Dr80670","AFRICAN RESOURCES","","INV333","","","General             ","KES       ","not       ","0","0","1","Mary Njeri          ","13","340400","False","","","","",""
"11","CN16","8/18/2017 12:00:00 AM","","8/26/2017 12:00:00 AM","1/11/2018 12:00:00 AM","Dr457","TAI ENTERPRISES LTD","","INV349","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","17","530408","False","","","","",""
"11","CN17","1/15/2018 12:00:00 AM","","1/16/2018 12:00:00 AM","1/15/2018 12:00:00 AM","Dr457","TAI ENTERPRISES LTD","","INV434","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","17","540405","False","","","","",""
"11","CN18","1/24/2018 12:00:00 AM","","1/25/2018 12:00:00 AM","1/26/2018 12:00:00 AM","Dr461","JIANGXI ZHONGMEI ENGINEERING C","","INV447","","","General             ","KES       ","Sr1       ","0","0","1","Mary                ","17","550431","False","","","","",""
"11","CN19","1/24/2018 12:00:00 AM","","1/25/2018 12:00:00 AM","1/26/2018 12:00:00 AM","Dr533","NJUCA CONSOLIDATED CO.LTD (NAI","7092","INV445","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","17","550437","False","","","","",""
"11","CN20","11/21/2017 12:00:00 AM","","11/22/2017 12:00:00 AM","2/14/2018 12:00:00 AM","Dr369","JILK CONTSTRUCTION CO.","","INV393","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","18","590457","False","","","","",""
"11","CN21","2/17/2018 12:00:00 AM","","2/18/2018 12:00:00 AM","2/19/2018 12:00:00 AM","Dr649","TUFFSTEEL","","INV470","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","18","600463","False","","","","",""
"11","CN22","3/27/2018 12:00:00 AM","3/14/2018 12:00:00 AM","3/28/2018 12:00:00 AM","4/4/2018 12:00:00 AM","Dr140670","Kansai Plascon Kenya Ltd","PO.140012741","INV493","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","20","720475","False","","","","",""
"11","CN23","4/13/2018 12:00:00 AM","","4/14/2018 12:00:00 AM","4/13/2018 12:00:00 AM","Dr535","ROBEN ABERDARE KENYA LIMITED","","INV505","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","20","740477","False","","","","",""
"11","CN24","3/29/2018 12:00:00 AM","3/26/2018 12:00:00 AM","5/3/2018 12:00:00 AM","5/9/2018 12:00:00 AM","Dr240678","UNITY HOMES","lpo0219","INV512","","","General             ","KES       ","not       ","0","0","1","Mugure              ","21","790473","False","","","","",""
"11","CN25","5/10/2018 12:00:00 AM","","5/11/2018 12:00:00 AM","5/17/2018 12:00:00 AM","Dr300679","LAMUK GENERAL CONTRACTORS","","INV516","","","General             ","KES       ","not       ","0","0","1","Mugure              ","21","810481","False","","","","",""
"11","CN26","6/13/2018 12:00:00 AM","","6/14/2018 12:00:00 AM","6/13/2018 12:00:00 AM","Dr423","TRAM TECHNICAL SERVICES LTD","","INV559","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","22","920498","False","","","","",""
"11","CN27","6/14/2018 12:00:00 AM","","6/15/2018 12:00:00 AM","6/14/2018 12:00:00 AM","Dr498","CHINA WUYI CO.LTD (104)","PO.CWY/D549/BA/020","INV564","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","22","920512","False","","","","",""
"11","CN28","6/14/2018 12:00:00 AM","","6/15/2018 12:00:00 AM","6/18/2018 12:00:00 AM","Dr578","CHINA HENAN INTERNATIONAL (CHI","LPO-001","INV563","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","22","930498","False","","","","",""
"11","CN29","3/21/2017 12:00:00 AM","3/21/2017 12:00:00 AM","3/22/2017 12:00:00 AM","6/18/2018 12:00:00 AM","Dr646","CHINA WU YI CO. LTD-MSA","LPO/BM/003","INV226","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","22","930500","False","","","","",""
"11","CN30","7/2/2018 12:00:00 AM","","7/3/2018 12:00:00 AM","7/2/2018 12:00:00 AM","Dr533","NJUCA CONSOLIDATED CO.LTD (NAI","LPO.08254","INV589","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","23","960518","False","","","","",""
"11","CN31","7/9/2018 12:00:00 AM","","7/10/2018 12:00:00 AM","7/9/2018 12:00:00 AM","Dr595","EABEST LIMITED","","INV597","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","23","970528","False","","","","",""
"11","CN32","7/23/2018 12:00:00 AM","","7/24/2018 12:00:00 AM","7/25/2018 12:00:00 AM","Dr371","EASTERN GENERAL","","INV616","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","23","1030532","False","","","","",""
"11","CN33","7/26/2018 12:00:00 AM","","7/27/2018 12:00:00 AM","7/26/2018 12:00:00 AM","Dr320678","INFINITY DEVELOPMENT","","INV625","","","General             ","KES       ","not       ","0","0","1","Mugure              ","23","1040527","False","","","","",""
"11","CN34","8/30/2018 12:00:00 AM","","8/31/2018 12:00:00 AM","8/30/2018 12:00:00 AM","Dr531","PAVEWAY CONSTRUCTION","","INV645","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","24","1150532","False","","","","",""
"11","CN35","9/11/2018 12:00:00 AM","","9/12/2018 12:00:00 AM","9/12/2018 12:00:00 AM","Dr646","CHINA WU YI CO. LTD-MSA","","INV663","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","25","1190538","False","","","","",""
"11","CN36","9/12/2018 12:00:00 AM","","9/13/2018 12:00:00 AM","9/19/2018 12:00:00 AM","Dr630","AGIM ENTERPRISES LTD","","INV666","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","25","1220525","False","","","","",""
"11","CN37","10/29/2018 12:00:00 AM","","10/30/2018 12:00:00 AM","10/30/2018 12:00:00 AM","Dr457","TAI ENTERPRISES LTD","","INV695","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","26","1320531","False","","","","",""
"11","CN38","10/29/2018 12:00:00 AM","","10/31/2018 12:00:00 AM","10/30/2018 12:00:00 AM","Dr457","TAI ENTERPRISES LTD","DLV no.2851","INV696","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","26","1320535","False","","","","",""
"11","CN39","12/1/2018 12:00:00 AM","","12/2/2018 12:00:00 AM","12/1/2018 12:00:00 AM","Dr470684","KYANITE CONSTRUCTION","","INV712","","","General             ","KES       ","not       ","0","0","1","Mugure              ","28","1400531","False","","","","",""
"11","CN40","11/23/2018 12:00:00 AM","","11/27/2018 12:00:00 AM","1/21/2019 12:00:00 AM","Dr470683","PARBAT SIYANI CONSTRUCTION","dl2863","INV709","","","General             ","KES       ","not       ","0","0","1","Mugure              ","29","1490529","False","","","","",""
"11","CN41","4/16/2019 12:00:00 AM","","4/17/2019 12:00:00 AM","4/16/2019 12:00:00 AM","Dr609","PEJOM LIMITED","","INV797","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","32","1560618","False","","","","",""
"11","CN42","4/13/2019 12:00:00 AM","","4/14/2019 12:00:00 AM","4/17/2019 12:00:00 AM","Dr568","KEWA EAST AFRICA LTD","","INV794","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","32","1560626","False","","","","",""
"11","CN43","4/29/2019 12:00:00 AM","","4/30/2019 12:00:00 AM","4/29/2019 12:00:00 AM","Dr510696","BRITISH ASPHALTS","","INV813","","","General             ","KES       ","not       ","0","0","1","Mugure              ","32","1560656","False","","","","",""
"11","CN44","4/29/2019 12:00:00 AM","","4/30/2019 12:00:00 AM","4/29/2019 12:00:00 AM","Dr510696","BRITISH ASPHALTS","","INV814","","","General             ","KES       ","not       ","0","0","1","Mugure              ","32","1560658","False","","","","",""
"11","CN45","4/26/2019 12:00:00 AM","","4/27/2019 12:00:00 AM","4/30/2019 12:00:00 AM","Dr568","KEWA EAST AFRICA LTD","","INV810","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","32","1560662","False","","","","",""
"11","CN46","5/6/2019 12:00:00 AM","","5/8/2019 12:00:00 AM","5/7/2019 12:00:00 AM","Dr510697","JAID INVESTMENT LTD","DLV.2809","INV827","","","General             ","KES       ","not       ","0","0","1","Mugure              ","33","1560688","False","","","","",""
"11","CN47","6/14/2019 12:00:00 AM","","6/15/2019 12:00:00 AM","6/18/2019 12:00:00 AM","Dr574","JUFEX AUTO HARDWARE CO LTD","","INV853","","","General             ","KES       ","not       ","0","0","1","Mugure              ","34","1560745","False","","","","",""
"11","CN48","9/5/2019 12:00:00 AM","","9/6/2019 12:00:00 AM","9/7/2019 12:00:00 AM","Dr584","SAXON INVESTMENT LTD","","INV918","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","37","1560880","False","","","","",""
"11","CN49","10/2/2019 12:00:00 AM","","10/3/2019 12:00:00 AM","10/3/2019 12:00:00 AM","Dr486","TREADSETTER TYRES LTD","","INV937","","","General             ","KES       ","Sr1       ","0","0","1","Mary                ","38","1560923","False","","","","",""
"11","CN50","10/13/2019 12:00:00 AM","","10/15/2019 12:00:00 AM","10/14/2019 12:00:00 AM","Dr628","CHINA HENAN INTERNATIONAL COOP","LPO.20191010","INV946","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","38","1560939","False","","","","",""
"11","CN51","10/23/2019 12:00:00 AM","","10/24/2019 12:00:00 AM","11/13/2019 12:00:00 AM","Dr471","JAMES FINLAY KENYA LIMITED -L1","LPO.0251908488","INV955","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","39","1560992","False","","","","",""
"11","CN52","6/22/2020 12:00:00 AM","","6/23/2020 12:00:00 AM","7/1/2020 12:00:00 AM","Dr510710","GRIDIRON HOLDINGS LTD","","INV1092","","","General             ","KES       ","not       ","0","0","1","Mugure              ","47","1561288","False","","","","",""
"11","CN53","7/17/2020 12:00:00 AM","","7/18/2020 12:00:00 AM","7/21/2020 12:00:00 AM","Dr510722","KABUITO CONTRACTORS LTD","LPO27257","INV1137","","","General             ","KES       ","not       ","0","0","1","Mary                ","47","1561355","False","","","","",""
"11","CN54","8/13/2020 12:00:00 AM","","8/14/2020 12:00:00 AM","8/14/2020 12:00:00 AM","Dr510712","BENDE CONSTRUCTION LTD","","INV1186","","","General             ","KES       ","not       ","0","0","1","Mugure              ","48","1561444","False","","","","",""
"11","CN55","11/26/2020 12:00:00 AM","","11/27/2020 12:00:00 AM","11/26/2020 12:00:00 AM","Dr510782","LABYRINTH LIMITED","","INV1351","","","General             ","KES       ","not       ","0","0","1","Mugure              ","51","1561806","False","","","","",""
"11","CN56","12/9/2020 12:00:00 AM","","12/10/2020 12:00:00 AM","12/9/2020 12:00:00 AM","Dr510773","MWAU MULI","","INV1369","","","General             ","KES       ","not       ","0","0","1","Mugure              ","52","1561847","False","","","","",""
"11","CN57","1/14/2021 12:00:00 AM","","1/15/2021 12:00:00 AM","1/15/2021 12:00:00 AM","Dr510786","KUNENE CONSTRUCTION CO. LTD","","INV1400","","","General             ","KES       ","not       ","0","0","1","Mary                ","53","1561911","False","","","","",""
"11","CN58","1/14/2021 12:00:00 AM","","1/15/2021 12:00:00 AM","1/15/2021 12:00:00 AM","Dr510786","KUNENE CONSTRUCTION CO. LTD","","INV1399","","","General             ","KES       ","not       ","0","0","1","Mary                ","53","1561913","False","","","","",""
"11","CN59","2/6/2021 12:00:00 AM","","2/7/2021 12:00:00 AM","2/10/2021 12:00:00 AM","Dr510804","CHINA WUYI CO. LTD- MARWA SITE","","INV1448","","","General             ","KES       ","Sr1       ","0","0","1","Mugure              ","54","1562016","False","","","","",""
"11","CN60","2/12/2021 12:00:00 AM","","2/13/2021 12:00:00 AM","2/12/2021 12:00:00 AM","Dr510784","LOKINZO ENTERPRISE","","INV1458","","","General             ","KES       ","not       ","0","0","1","Mugure              ","54","1562035","False","","","","",""
"11","CN61","1/25/2021 12:00:00 AM","","1/26/2021 12:00:00 AM","2/20/2021 12:00:00 AM","Dr510733","KAISH MERING PLASTIC COMPANY","","INV1418","","","General             ","KES       ","not       ","0","0","1","Mugure              ","54","1562064","False","","","","",""
"11","CN62","4/19/2021 12:00:00 AM","","4/20/2021 12:00:00 AM","4/19/2021 12:00:00 AM","Dr510820","SAILCO ENTERPRISES LIMITED","","INV1562","","","General             ","KES       ","not       ","0","0","1","Mary                ","56","1562256","False","","","","",""
"11","CN63","4/23/2021 12:00:00 AM","","4/24/2021 12:00:00 AM","4/23/2021 12:00:00 AM","Dr510815","MECTRO INDUSTRIAL SERVICES LTD","","INV1569","","","General             ","KES       ","not       ","0","0","1","Mugure              ","56","1562273","False","","","","",""
"11","CN64","4/30/2021 12:00:00 AM","","5/1/2021 12:00:00 AM","5/3/2021 12:00:00 AM","Dr510688","CHINA WUYI ELDORET","CHICO105BITUMEN210424","INV1584","","","General             ","KES       ","not       ","0","0","1","Mugure              ","57","1562303","False","","","","",""
"11","CN65","5/3/2021 12:00:00 AM","","5/4/2021 12:00:00 AM","5/3/2021 12:00:00 AM","Dr510828","TOWERTECH AFRICA LIMITED","","INV1587","","","General             ","KES       ","not       ","0","0","1","Mugure              ","57","1562312","False","","","","",""
"11","CN66","5/31/2021 12:00:00 AM","","6/1/2021 12:00:00 AM","5/31/2021 12:00:00 AM","Dr510794","ALEX MACHARIA","","INV1642","","","General             ","KES       ","not       ","0","0","1","Mugure              ","57","1562429","False","","","","",""
"11","CN67","3/30/2021 12:00:00 AM","","","3/30/2021 12:00:00 AM","Dr510819","CALE INFRASTRUCTURE CONSTRU.","LPO202102-01","INV1540","","","General             ","KES       ","not       ","0","0","1","admin               ","55","1562766","False","","","","",""
"11","CN68","3/30/2021 12:00:00 AM","","","3/30/2021 12:00:00 AM","Dr510819","CALE INFRASTRUCTURE CONSTRU.","LPO202102-01","INV1541","","","General             ","KES       ","not       ","0","0","1","Mary                ","55","1562774","False","","","","",""
"11","CN69","3/30/2021 12:00:00 AM","","","3/30/2021 12:00:00 AM","Dr510819","CALE INFRASTRUCTURE CONSTRU.","LPO202102-01","INV1542","","","General             ","KES       ","not       ","0","0","1","Mary                ","55","1562779","False","","","","",""
"11","CN70","5/25/2021 12:00:00 AM","","","5/25/2021 12:00:00 AM","Dr510819","CALE INFRASTRUCTURE CONSTRU.","LPO202105-01","INV1626","","","General             ","KES       ","not       ","0","0","1","Mary                ","57","1562782","False","","","","",""
"11","CN71","5/28/2021 12:00:00 AM","","","5/28/2021 12:00:00 AM","Dr510819","CALE INFRASTRUCTURE CONSTRU.","LPO 0202105-01","INV1630","","","General             ","KES       ","not       ","0","0","1","Mary                ","57","1562788","False","","","","",""
"11","CN72","5/28/2021 12:00:00 AM","","","5/28/2021 12:00:00 AM","Dr510819","CALE INFRASTRUCTURE CONSTRU.","LPO 0202105-01","INV1631","","","General             ","KES       ","not       ","0","0","1","Mary                ","57","1562792","False","","","","",""
"11","CN73","7/14/2021 12:00:00 AM","","","7/14/2021 12:00:00 AM","Dr371","EASTERN GENERAL","","INV1736","","","General             ","KES       ","Sr1       ","0","0","1","Mary                ","59","1573077","False","","","","",""
"11","CN74","8/27/2021 12:00:00 AM","","","8/27/2021 12:00:00 AM","Dr510688","CHINA WUYI ELDORET","DLV3744","INV.1890","","","General             ","KES       ","Sr1       ","0","0","1","Mary                ","60","1573264","False","","","","",""
"11","CN75","9/13/2021 12:00:00 AM","","","9/13/2021 12:00:00 AM","Dr510856","KENBRO INDUSTRIES LTD","FPO2007189","INV.1881","","","General             ","KES       ","Sr1       ","0","0","1","Mary                ","61","1573266","False","","","","",""
"11","CN76","9/21/2021 12:00:00 AM","","","9/21/2021 12:00:00 AM","Dr510892","COLVAD ENGINEERING LIMITED","DLV 3788","INV.1916","","","no vat              ","KES       ","Sr1       ","0","0","1","Lucybriate          ","61","1573325","False","","","","",""
"11","CN77","9/27/2021 12:00:00 AM","","","9/27/2021 12:00:00 AM","Dr510894","SAMCY HARDWARE","","INV.1928","","","General             ","KES       ","Sr6       ","0","0","1","Lucybriate          ","61","1573367","False","","","","",""
"11","CN78","9/29/2021 12:00:00 AM","","","9/29/2021 12:00:00 AM","Dr510794","ALEX MACHARIA","","INV.1942","","","General             ","KES       ","Sr5       ","0","0","1","Mugure              ","61","1573421","False","","","","",""
"11","CN79","10/8/2021 12:00:00 AM","","","10/8/2021 12:00:00 AM","Dr535","ROBEN ABERDARE KENYA LIMITED","","INV.1970","","","General             ","KES       ","Sr2       ","0","0","1","Mugure              ","62","1573501","False","","","","",""
"11","CN8","12/22/2016 12:00:00 AM","","12/23/2016 12:00:00 AM","12/23/2016 12:00:00 AM","Dr591","DECIMAL CREATIONS LIMITED","","INV131","","","General             ","KES       ","Sr1       ","0","0","1","Mary Njeri          ","4","10140","False","","","","",""
"11","CN80","10/9/2021 12:00:00 AM","","","10/9/2021 12:00:00 AM","Dr510854","CHINA STATE CONSTRUCTION ENG","","INV.1972","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","62","1573569","False","","","","",""
"11","CN81","10/16/2021 12:00:00 AM","","","10/16/2021 12:00:00 AM","Dr510854","CHINA STATE CONSTRUCTION ENG","","INV.1984","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","62","1573571","False","","","","",""
"11","CN82","9/27/2021 12:00:00 AM","","","9/27/2021 12:00:00 AM","Dr510854","CHINA STATE CONSTRUCTION ENG","INV 1041","INV.1990","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","61","1573576","False","","","","",""
"11","CN83","10/21/2021 12:00:00 AM","","","10/21/2021 12:00:00 AM","Dr510855","pascal construction","PL2026","INV.1993","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","62","1573589","False","","","","",""
"11","CN84","10/21/2021 12:00:00 AM","","","10/21/2021 12:00:00 AM","Dr510855","pascal construction","PL2026","INV.1993","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","62","1573597","False","","","","",""
"11","CN85","10/21/2021 12:00:00 AM","","","10/21/2021 12:00:00 AM","Dr510855","pascal construction","","INV.1995","","","General             ","KES       ","Sr1       ","0","0","1","admin               ","62","1573598","False","","","","",""
"11","CN86","10/25/2021 12:00:00 AM","","","10/25/2021 12:00:00 AM","Dr547","WAK CONSTRUCTION CO. LTD","","INV.2005","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","62","1573631","False","","","","",""
"11","CN87","11/8/2021 12:00:00 AM","","","11/8/2021 12:00:00 AM","Dr510751","KADI PETROLEUM EAST AFRICA CO.","","INV.2037","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","63","1573779","False","","","","",""
"11","CN88","10/3/2021 12:00:00 AM","","","10/3/2021 12:00:00 AM","Dr398","CASHIER- PETTY CASH","","INV.2047","","","General             ","KES       ","not       ","0","0","1","admin               ","62","1573818","False","","","","",""
"11","CN89","11/16/2021 12:00:00 AM","","","11/16/2021 12:00:00 AM","Dr510865","HAMLET NETWORKS SOLUTIONS LTD","","INV.2060","","","General             ","KES       ","Sr5       ","0","0","1","Lucybriate          ","63","1573873","False","","","","",""
"11","CN9","12/22/2016 12:00:00 AM","12/21/2016 12:00:00 AM","12/23/2016 12:00:00 AM","1/6/2017 12:00:00 AM","Dr469","EQUISTAR LIMITED","","INV133","","","General             ","KES       ","Sr1       ","0","0","1","Mary Njeri          ","5","30119","False","","","","",""
"11","CN90","12/6/2021 12:00:00 AM","","","12/6/2021 12:00:00 AM","Dr510751","KADI PETROLEUM EAST AFRICA CO.","","INV.2098","","","General             ","KES       ","Sr1       ","0","0","1","Rose                ","64","1574038","False","","","","",""
"11","CN91","12/17/2021 12:00:00 AM","","","12/17/2021 12:00:00 AM","Dr510912","DAVID ENGINEERING","","INV.2117","","","General             ","KES       ","Sr6       ","0","0","1","Lucybriate          ","64","1574156","False","","","","",""
"11","CN92","12/23/2021 12:00:00 AM","","","12/23/2021 12:00:00 AM","Dr510778","WARUHIU CONSTRUCTION LTD","","INV.2137","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","64","1574221","False","","","","",""
"11","CN93","12/23/2021 12:00:00 AM","","","12/23/2021 12:00:00 AM","Dr510805","ROYAL YARD TRADERS","","INV.2139","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","64","1574254","False","","","","",""
"11","CN94","1/8/2022 12:00:00 AM","","","1/8/2022 12:00:00 AM","Dr510778","WARUHIU CONSTRUCTION LTD","","INV.2161","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","65","1574314","False","","","","",""
"11","CN95","11/11/2021 12:00:00 AM","","","11/11/2021 12:00:00 AM","Dr510912","DAVID ENGINEERING","LPO 8010","INV.2048","","","General             ","KES       ","Sr6       ","0","0","1","Lucybriate          ","63","1574381","False","","","","",""
"11","CN96","1/21/2022 12:00:00 AM","","","1/21/2022 12:00:00 AM","Dr510722","KABUITO CONTRACTORS LTD","","INV.2186","","","General             ","KES       ","Sr1       ","0","0","1","Rose                ","65","1574419","False","","","","",""
"11","CN99","1/14/2022 12:00:00 AM","","","1/14/2022 12:00:00 AM","Dr140670","Kansai Plascon Kenya Ltd","","INV.2167","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","65","1574435","False","","","","",""
"10","INV 2621","9/8/2022 12:00:00 AM","","","2/17/2023 12:00:00 AM","Dr510784","LOKINZO ENTERPRISE","","SO.3200","","","General             ","KES       ","Sr1       ","1","0","1","Lucybriate          ","73","1576129","False","","Jv39623","","0",""
"10","INV.1875","9/10/2021 12:00:00 AM","","","9/10/2021 12:00:00 AM","Dr510805","ROYAL YARD TRADERS","","SO.2321","","","General             ","KES       ","Sr1       ","1","0","1","Lucybriate          ","61","1573176","False","","Jv28125","","",""
