"documenttype","documentno","docdate","oderdate","duedate","postingdate","customercode","customername","yourreference","externaldocumentno","locationcode","paymentterms","postinggroup","currencycode","salespersoncode","printed","released","status","userid","period","entryno","vatinclusive","QtyDiscount","journal","shipping","packagescharge","picture"
"19","PL2658","2/23/2023 12:00:00 AM","","","","Dr510841","DAKIMAH HARDWARE &amp; PAINTS","SO.3215","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576657","False","","","","",""
"19","PL2659","2/23/2023 12:00:00 AM","","","","Dr510934","BOLT STORES AND MACHINERY","SO.3216","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576674","False","","","","",""
"19","PL2660","2/21/2023 12:00:00 AM","","","","Dr90670","CIVISCOPE LTD","SO.3217","","          ","","General             ","KES       ","Sr1       ","","","1","Sarah               ","78","1576409","False","","","","",""
"19","PL2664","2/23/2023 12:00:00 AM","","","","Dr511045","JOHN KOSGEI","SO.3246","","          ","","General             ","KES       ","          ","","","1","Sarah               ","78","1576753","False","","","","",""
"19","PL2664.","2/23/2023 12:00:00 AM","","","","Dr290678","IFATA ENGINEERING","SO.3220","","          ","","General             ","KES       ","Sr7       ","","","1","Sarah               ","78","1576763","False","","","","",""
"19","PL2667","2/23/2023 12:00:00 AM","","","","Dr511038","GWATHIKA HARDWARE","SO.3223","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576680","False","","","","",""
"19","PL2668","2/23/2023 12:00:00 AM","","","","Dr510841","DAKIMAH HARDWARE &amp; PAINTS","SO.3224","","          ","","General             ","KES       ","Sr1       ","","","1","Sarah               ","78","1576797","False","","","","",""
"19","PL2669","2/23/2023 12:00:00 AM","","","","Dr510908","NGESA METAL FABRICATOR","SO.3225","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576690","False","","","","",""
"19","PL2670","2/17/2023 12:00:00 AM","","","","Dr510912","DAVID ENGINEERING(K) LTD","SO.3226","","          ","","General             ","KES       ","Sr1       ","","","1","Lucybriate          ","78","1576147","False","","","","",""
"19","PL2671","2/20/2023 12:00:00 AM","","","","Dr510815","MECTRO INDUSTRIAL SERVICES LTD","SO.3227","","          ","","General             ","KES       ","Sr5       ","","","1","Lucybriate          ","78","1576185","False","","","","",""
"19","PL2672","2/23/2023 12:00:00 AM","","","","Dr510832","SUMP GUARD CENTRE LTD","SO.3228","","          ","","General             ","KES       ","Sr5       ","","","1","Sarah               ","78","1576617","False","","","","",""
"19","PL2673","2/22/2023 12:00:00 AM","","","","Dr510780","NEW NILE IMPEX HANDWARE LTD(RO","SO.3229","","          ","","no vat              ","KES       ","Sr5       ","","","1","Lucybriate          ","78","1576483","False","","","","",""
"19","PL2674","2/22/2023 12:00:00 AM","","","","Dr510772","MPEKE HARDWARE","SO.3230","","          ","","no vat              ","KES       ","Sr1       ","","","1","Lucybriate          ","78","1576515","False","","","","",""
"19","PL2675","2/22/2023 12:00:00 AM","","","","Dr510771","NEW NILE IMPEX HANDWARE LTD","SO.3231","","          ","","no vat              ","KES       ","Sr1       ","","","1","Lucybriate          ","78","1576504","False","","","","",""
"19","PL2676","2/22/2023 12:00:00 AM","","","","Dr471","JAMES FINLAY KENYA LIMITED -L1","SO.3232","","          ","","General             ","KES       ","Sr1       ","","","1","Sarah               ","78","1576534","False","","","","",""
"19","PL2677","2/23/2023 12:00:00 AM","","","","Dr511052","BENJAMIN KAMANGA","SO.3233","","          ","","General             ","KES       ","Sr7       ","","","1","Sarah               ","78","1576816","False","","","","",""
"19","PL2678","2/21/2023 12:00:00 AM","","","","Dr510795","MIBASA LTD","SO.3234","","          ","","General             ","KES       ","Sr5       ","","","1","Sarah               ","78","1576257","False","","","","",""
"19","PL2679","2/23/2023 12:00:00 AM","","","","Dr511039","KALPA-TARU POWER TRANSMISSION LTD","SO.3237","","          ","","General             ","KES       ","Sr5       ","","","1","Sarah               ","78","1576693","False","","","","",""
"19","PL2682","2/23/2023 12:00:00 AM","","","","Dr511028","MONROSS HARDWARE","SO.3239","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576697","False","","","","",""
"19","PL2683","2/22/2023 12:00:00 AM","","","","Dr471","JAMES FINLAY KENYA LIMITED -L1","SO.3240","","          ","","General             ","KES       ","Sr7       ","","","1","Sarah               ","78","1576529","False","","","","",""
"19","PL2684","2/23/2023 12:00:00 AM","","","","Dr510996","DOMINION PAINTS","SO.3241","","          ","","General             ","KES       ","          ","","","1","Mary                ","78","1576708","False","","","","",""
"19","PL2685","2/23/2023 12:00:00 AM","","","","Dr511040","SATIMA HARDWARE","SO.3242","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576705","False","","","","",""
"19","PL2686","2/17/2023 12:00:00 AM","","","","Dr510815","MECTRO INDUSTRIAL SERVICES LTD","SO.3243","","          ","","General             ","KES       ","Sr5       ","","","1","Lucybriate          ","78","1576172","False","","","","",""
"19","PL2687","2/23/2023 12:00:00 AM","","","","Dr511045","JOHN KOSGEI","SO.3244","","          ","","General             ","KES       ","          ","","","1","Sarah               ","78","1576750","False","","","","",""
"19","PL2689","2/23/2023 12:00:00 AM","","","","Dr510939","BRIAN OGUTA","SO.3247","","          ","","General             ","KES       ","          ","","","1","Sarah               ","78","1576826","False","","","","",""
"19","PL2690","2/23/2023 12:00:00 AM","","","","Dr511026","GRANDVIS HARDWARE","SO.3248","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576627","False","","","","",""
"19","PL2691","2/23/2023 12:00:00 AM","","","","Dr511039","KALPA-TARU POWER TRANSMISSION LTD","SO.3249","","          ","","General             ","KES       ","Sr7       ","","","1","Sarah               ","78","1576702","False","","","","",""
"19","PL2692","2/23/2023 12:00:00 AM","","","","Dr510789","SAMLU CONSTRUCTION","SO.3250","","          ","","General             ","KES       ","Sr1       ","","","1","Sarah               ","78","1576593","False","","","","",""
"19","PL2693","2/21/2023 12:00:00 AM","","","","Dr510976","MADINI SPRINGS LIMITED","SO.3251","","          ","","General             ","KES       ","Sr1       ","","","1","Sarah               ","78","1576451","False","","","","",""
"19","PL2694","2/21/2023 12:00:00 AM","","","","Dr510766","CECYPO LTD","SO.3253","","          ","","General             ","KES       ","Sr1       ","","","1","Sarah               ","78","1576244","False","","","","",""
"19","PL2695","2/23/2023 12:00:00 AM","","","","Dr511029","PHONPHEX ABUGA","SO.3256","","          ","","General             ","KES       ","          ","","","1","Sarah               ","78","1576643","False","","","","",""
"19","PL2696","2/23/2023 12:00:00 AM","","","","Dr511024","SPACE &amp; STYLE LTD","SO.3257","","          ","","General             ","KES       ","Sr5       ","","","1","Sarah               ","78","1576611","False","","","","",""
"19","PL2697","2/23/2023 12:00:00 AM","","","","Dr510908","NGESA METAL FABRICATOR","SO.3258","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576711","False","","","","",""
"19","PL2699","2/23/2023 12:00:00 AM","","","","Dr511029","PHONPHEX ABUGA","SO.3260","","          ","","General             ","KES       ","          ","","","1","Sarah               ","78","1576637","False","","","","",""
"19","PL2700","2/21/2023 12:00:00 AM","","","","Dr510976","MADINI SPRINGS LIMITED","SO.3261","","          ","","General             ","KES       ","Sr1       ","","","1","Sarah               ","78","1576459","False","","","","",""
"19","PL2701","2/21/2023 12:00:00 AM","","","","Dr547","WAK CONSTRUCTION CO. LTD","SO.3262","","          ","","General             ","KES       ","Sr1       ","","","1","Lucybriate          ","78","1576283","False","","","","",""
"19","PL2702","2/23/2023 12:00:00 AM","","","","Dr511047","FREDRICK JOSHUA","SO.3263","","          ","","General             ","KES       ","          ","","","1","Sarah               ","78","1576771","False","","","","",""
"19","PL2704","2/23/2023 12:00:00 AM","","","","Dr511033","MANWICK HARDWARE","SO.3264","","          ","","General             ","KES       ","          ","","","1","Sarah               ","78","1576658","False","","","","",""
"19","PL2705","2/17/2023 12:00:00 AM","","","","Dr510804","CHINA WUYI CO. LTD KIGWACHI","SO.3265","","          ","","General             ","KES       ","Sr1       ","","","1","Lucybriate          ","78","1576122","False","","","","",""
"19","PL2706","2/21/2023 12:00:00 AM","","","","Dr510798","MIMAMU STEEL DEALER LTD","SO.3266","","          ","","General             ","KES       ","Sr5       ","","","1","Lucybriate          ","78","1576203","False","","","","",""
"19","PL2707","2/23/2023 12:00:00 AM","","","","Dr511050","DOUGLAS PROJECTS LTD","SO.3267","","          ","","General             ","KES       ","          ","","","1","Sarah               ","78","1576800","False","","","","",""
"19","PL2708","3/1/2023 12:00:00 AM","","","","Dr510758","TRANSLEE KENYA LIMITED","SO.3268","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","79","1576981","False","","","","",""
"19","PL2709","2/21/2023 12:00:00 AM","","","","Dr510794","ALEX MACHARIA","SO.3269","","          ","","General             ","KES       ","Sr5       ","","","1","Lucybriate          ","78","1576331","False","","","","",""
"19","PL2710","2/21/2023 12:00:00 AM","","","","Dr510798","MIMAMU STEEL DEALER LTD","SO.3270","","          ","","General             ","KES       ","Sr5       ","","","1","Lucybriate          ","78","1576197","False","","","","",""
"19","PL2712","2/21/2023 12:00:00 AM","","","","Dr510794","ALEX MACHARIA","SO.3273","","          ","","General             ","KES       ","Sr5       ","","","1","Lucybriate          ","78","1576318","False","","","","",""
"19","PL2713","2/24/2023 12:00:00 AM","","","","Dr511037","SIMON GITAU","SO.3274","","          ","","no vat              ","KES       ","          ","","","1","Lucybriate          ","78","1576917","False","","","","",""
"19","PL2714","2/23/2023 12:00:00 AM","","","","Dr510911","DAIMA ELECTRICAL HARDWARE","SO.3275","","          ","","General             ","KES       ","          ","","","1","Mary                ","78","1576719","False","","","","",""
"19","PL2715","2/24/2023 12:00:00 AM","","","","Dr511037","SIMON GITAU","SO.3276","","          ","","no vat              ","KES       ","Sr7       ","","","1","Lucybriate          ","78","1576921","False","","","","",""
"19","PL2717","2/23/2023 12:00:00 AM","","","","Dr511035","MWINGI MATERIAL CENTER","SO.3278","","          ","","General             ","KES       ","Sr1       ","","","1","Sarah               ","78","1576670","False","","","","",""
"19","PL2718","2/21/2023 12:00:00 AM","","","","Dr510794","ALEX MACHARIA","SO.3279","","          ","","General             ","KES       ","Sr5       ","","","1","Lucybriate          ","78","1576325","False","","","","",""
"19","PL2719","2/21/2023 12:00:00 AM","","","","Dr510976","MADINI SPRINGS LIMITED","SO.3280","","          ","","General             ","KES       ","Sr1       ","","","1","Sarah               ","78","1576463","False","","","","",""
"19","PL2720","2/23/2023 12:00:00 AM","","","","Dr511038","GWATHIKA HARDWARE","SO.3281","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576723","False","","","","",""
"19","PL2721","2/23/2023 12:00:00 AM","","","","Dr511038","GWATHIKA HARDWARE","SO.3284","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576726","False","","","","",""
"19","PL2722","2/23/2023 12:00:00 AM","","","","Dr510732","SWAMMY INVESTMENTS LTD","SO.3285","","          ","","General             ","KES       ","Sr1       ","","","1","Sarah               ","78","1576608","False","","","","",""
"19","PL2723","2/22/2023 12:00:00 AM","","","","Dr511022","WALLMATT PAINTS LTD (20)","SO.3286","","          ","","General             ","KES       ","Sr1       ","","","1","Sarah               ","78","1576560","False","","","","",""
"19","PL2724","2/22/2023 12:00:00 AM","","","","Dr510780","NEW NILE IMPEX HANDWARE LTD(RO","SO.3287","","          ","","no vat              ","KES       ","Sr5       ","","","1","Lucybriate          ","78","1576550","False","","","","",""
