"itemcode","date","invoiceno","journalno","doctype","receiptno","amount","receiptjournal"
"Dr414               ","5/4/2015 12:00:00 AM","INV1716             ","J.13110             ","10","RC1128              ","-915940.98","J.13520             "
"Dr320678            ","7/24/2018 12:00:00 AM","INV625              ","Jv9078              ","10","Rct495              ","-862500.00","Jv9410              "
"Dr370683            ","1/7/2022 12:00:00 AM","INV.2066            ","Jv30667             ","10","3878                ","-1084.00","Jv32536             "
"Dr470683            ","1/10/2019 12:00:00 AM","INV721              ","Jv10545             ","10","Rct598              ","-514536.75","Jv11079             "
"Dr470684            ","12/1/2018 12:00:00 AM","INV712              ","Jv10414             ","10","Rvs45               ","-45500.00","Jv10416             "
"Dr510688            ","12/8/2020 12:00:00 AM","INV1367             ","Jv21758             ","10","3107                ","-17579.00","Jv23557             "
"Dr510690            ","3/5/2020 12:00:00 AM","INV1028             ","Jv16540             ","10","Rct836              ","-2180800.00","Jv16541             "
"Dr510700            ","6/14/2019 12:00:00 AM","INV852              ","Jv12680             ","10","2732                ","-42155.00","Jv17480             "
"Dr510706            ","12/3/2020 12:00:00 AM","INV940              ","Jv14731             ","10","Rct1078             ","-8500.00","Jv21698             "
"Dr510709            ","10/7/2020 12:00:00 AM","INV1261             ","Jv20184             ","10","Rvs70               ","-176587.28","Jv20360             "
"Dr642               ","10/29/2016 12:00:00 AM","INV59               ","Jv432               ","10","Rct58               ","-261668.00","Jv947               "
"Dr423               ","6/26/2018 12:00:00 AM","INV560              ","Jv8318              ","10","Rct436              ","-0.01","Jv8508              "
"Dr424               ","6/11/2012 12:00:00 AM","INV42               ","J.1324              ","10","RC14                ","-1830000.88","J.1412              "
"Dr646               ","9/4/2020 12:00:00 AM","INV877              ","Jv13575             ","10","Rct1001             ","-360000.00","Jv20468             "
"Dr425               ","11/2/2021 12:00:00 AM","INV1844             ","Jv27770             ","10","Rct1737             ","-138559.76","Jv31926             "
"Dr431               ","4/28/2016 12:00:00 AM","INV1929             ","J.14547             ","10","RC1461              ","-195540.17","J.16832             "
"Dr434               ","2/18/2013 12:00:00 AM","INV425              ","J.4126              ","10","RC232               ","-0.20","J.4980              "
"Dr434               ","1/20/2014 12:00:00 AM","INV1031             ","J.8379              ","10","RC667               ","-11600.00","J.9143              "
"Dr434               ","9/10/2014 12:00:00 AM","INV1385             ","J.10077             ","10","RC845               ","-54244.08","J.10623             "
"Dr434               ","1/25/2019 12:00:00 AM","INV744              ","Jv10972             ","10","1973                ","-13578.00","Jv10974             "
"Dr440               ","8/10/2012 12:00:00 AM","                    ","J.1538              ","0","RC75                ","-436500.00","J.2819              "
"Dr442               ","1/28/2013 12:00:00 AM","INV391              ","J.3899              ","10","RC205               ","-687929.68","J.4727              "
"Dr443               ","10/23/2018 12:00:00 AM","INV671              ","Jv9781              ","10","Rct539              ","-16018.00","Jv10086             "
"Dr447               ","8/5/2013 12:00:00 AM","INV157              ","J.2186              ","10","RC560               ","-36000.00","J.8474              "
"Dr448               ","9/11/2012 12:00:00 AM","PV941               ","J.3479              ","0","INV185              ","-8700.00","J.3213              "
"Dr448               ","11/7/2012 12:00:00 AM","482                 ","J.6386              ","0","Revs-INV371         ","-51806.80","J.3828              "
"Dr448               ","12/14/2012 12:00:00 AM","640                 ","J.6593              ","0","Revs-INV349         ","-7400.00","J.4273              "
"Dr487               ","8/19/2013 12:00:00 AM","INV914              ","J.7343              ","10","RC467               ","-73600.00","J.7342              "
"Dr456               ","8/6/2013 12:00:00 AM","INV899              ","J.7240              ","10","RC457               ","-34439.88","J.7239              "
"Dr457               ","11/15/2013 12:00:00 AM","INV1019             ","J.8317              ","10","RC573               ","-570000.00","J.8630              "
"Dr457               ","4/17/2014 12:00:00 AM","INV1206             ","J.9163              ","10","INV1235             ","-50000.00","J.10956             "
"Dr457               ","5/26/2015 12:00:00 AM","INV1784             ","J.13538             ","10","RC1164              ","-260000.00","J.13750             "
"Dr457               ","9/21/2017 12:00:00 AM","INV435              ","Jv6351              ","10","Rct271              ","-4261.00","Jv5473              "
"Dr458               ","5/8/2017 12:00:00 AM","INV2231             ","J.16247             ","10","Rct185              ","-0.88","Jv3544              "
"Dr461               ","4/4/2013 12:00:00 AM","INV644              ","J.5257              ","10","RC271               ","-2074716.38","J.5449              "
"Dr461               ","9/9/2013 12:00:00 AM","INV943              ","J.7625              ","10","RC492               ","-2097400.38","J.7786              "
"Dr461               ","2/24/2014 12:00:00 AM","INV1165             ","J.8934              ","10","RC693               ","-1070000.00","J.9335              "
"Dr461               ","8/11/2014 12:00:00 AM","INV1381             ","J.10073             ","10","RC827               ","-967800.00","J.10341             "
"Dr461               ","2/3/2015 12:00:00 AM","INV1591             ","J.12239             ","10","RC1036              ","-3361503.00","J.12665             "
"Dr464               ","4/5/2013 12:00:00 AM","INV484              ","J.4417              ","10","RC276               ","-255200.00","J.5457              "
"Dr465               ","1/8/2013 12:00:00 AM","INV450              ","J.4259              ","10","RC174               ","-615896.00","J.4411              "
"Dr469               ","9/7/2013 12:00:00 AM","INV818              ","J.6374              ","10","RC517               ","-128296.00","J.8106              "
"Dr469               ","8/31/2016 12:00:00 AM","INV2042             ","J.15182             ","10","RC1596              ","-164701.44","J.18368             "
"Dr474               ","6/8/2016 12:00:00 AM","INV2154             ","J.15894             ","10","RC1496              ","-0.06","J.17210             "
"Dr474               ","12/16/2017 12:00:00 AM","INV402              ","Jv5964              ","10","Rct308              ","-194094.77","Jv6017              "
"Dr471               ","1/14/2013 12:00:00 AM","INV413              ","J.4105              ","10","RC179               ","-830560.00","J.4445              "
"Dr471               ","3/1/2013 12:00:00 AM","INV498              ","J.4444              ","10","RC237               ","-830560.00","J.5040              "
"Dr471               ","4/22/2013 12:00:00 AM","INV604              ","J.5011              ","10","RC301               ","-830560.00","J.5804              "
"Dr471               ","5/24/2013 12:00:00 AM","635                 ","J.5221              ","10","INV772              ","-14616.00","J.7404              "
"Dr471               ","6/14/2013 12:00:00 AM","635                 ","J.5221              ","10","RC407               ","-815944.00","J.6637              "
"Dr471               ","6/14/2013 12:00:00 AM","INV683              ","J.5521              ","10","RC407               ","-14616.00","J.6637              "
"Dr471               ","6/27/2013 12:00:00 AM","INV683              ","J.5521              ","10","RC408               ","-699944.00","J.6638              "
"Dr471               ","6/27/2013 12:00:00 AM","INV732              ","J.6010              ","10","RC408               ","-519100.00","J.6638              "
"Dr471               ","6/27/2013 12:00:00 AM","INV735              ","J.6017              ","10","RC408               ","-795760.00","J.6638              "
"Dr471               ","6/27/2013 12:00:00 AM","INV772              ","J.6167              ","10","RC408               ","-14616.00","J.6638              "
"Dr472               ","5/15/2013 12:00:00 AM","INV748              ","J.6064              ","10","RC334               ","-292320.00","J.6066              "
"Dr476               ","4/8/2015 12:00:00 AM","INV1701             ","J.13047             ","10","RC1106              ","-210633.54","J.13290             "
"Dr476               ","6/4/2016 12:00:00 AM","INV2156             ","J.15898             ","10","RC1486              ","-12968.46","J.17108             "
"Dr476               ","3/9/2017 12:00:00 AM","INV112              ","Jv1148              ","10","Rct134              ","-44498.40","Jv2614              "
"Dr488               ","7/22/2013 12:00:00 AM","INV885              ","J.7010              ","10","RC439               ","-5446.00","J.6971              "
"Dr483               ","7/10/2017 12:00:00 AM","INV236              ","Jv2865              ","10","Rct235              ","-606386.00","Jv4490              "
"Dr490               ","10/8/2014 12:00:00 AM","INV1440             ","J.10503             ","10","RC917               ","-1108936.58","J.11062             "
"Dr490               ","10/23/2015 12:00:00 AM","INV2001             ","J.14923             ","10","RC1299              ","-56163.81","J.15148             "
"Dr497               ","5/17/2013 12:00:00 AM","INV754              ","J.6105              ","10","RC336               ","-2792.60","J.6104              "
"Dr498               ","11/28/2013 12:00:00 AM","INV1038             ","J.8405              ","10","RC565               ","-655200.00","J.8500              "
"Dr498               ","8/7/2014 12:00:00 AM","INV1306             ","J.9651              ","10","RC820               ","-226000.00","J.10193             "
"Dr498               ","6/18/2015 12:00:00 AM","INV1842             ","J.13857             ","10","RC1189              ","-45887.84","J.13895             "
"Dr498               ","10/4/2016 12:00:00 AM","INV2337             ","J.17145             ","10","INV2530             ","-260000.00","J.18914             "
"Dr511               ","6/20/2013 12:00:00 AM","INV820              ","J.6398              ","10","RC414               ","-700000.00","J.6717              "
"Dr518               ","8/6/2015 12:00:00 AM","INV1758             ","J.13418             ","10","RC1239              ","-63616.00","J.14543             "
"Dr518               ","7/12/2016 12:00:00 AM","INV2246             ","J.16335             ","10","RC1582              ","-231000.00","J.18134             "
"Dr518               ","8/19/2017 12:00:00 AM","INV290              ","Jv4124              ","10","983                 ","-46860.00","Jv5142              "
"Dr521               ","5/9/2017 12:00:00 AM","661                 ","Jv3771              ","0","571                 ","-464991.00","Jv3582              "
"Dr531               ","11/27/2013 12:00:00 AM","INV1080             ","J.8672              ","10","RC599               ","-42980.06","J.8673              "
"Dr533               ","1/15/2014 12:00:00 AM","INV1093             ","J.8698              ","10","INV1094             ","-3000.00","J.11213             "
"Dr533               ","7/18/2014 12:00:00 AM","INV1309             ","J.9670              ","10","INV1363             ","-121220.00","J.10977             "
