"tankname","units","uom","date","batchno","variance","doctype","itemcode","index","BQitemcode"
"Tank CB                       ","9000","          ","12/22/2016 12:00:00 AM","B/No56    ","","28","S.9       ","56",""
"Tank 10/1                     ","-5600","          ","12/22/2016 12:00:00 AM","B/No56    ","","28","S.8       ","57",""
"K10/1                         ","-3400","          ","12/22/2016 12:00:00 AM","B/No56    ","","28","S.13                ","58",""
"Tank CB                       ","-9000","loosqty   ","12/22/2016 12:00:00 AM","REQ95     ","0","40","S.9       ","59",""
"Tank E 30/1                   ","1200","          ","12/22/2016 12:00:00 AM","B/No57    ","","28","S.6       ","60",""
"Tank E 30/1                   ","-9000","          ","12/22/2016 12:00:00 AM","B/No57    ","","28","S.6       ","61",""
"Tank E 30/1                   ","-6","fulqty    ","12/22/2016 12:00:00 AM","REQ96     ","0","40","S.6       ","62",""
"Tank E 30/1                   ","3000","          ","12/22/2016 12:00:00 AM","B/No58    ","","28","S.6       ","63",""
"Tank E 30/1                   ","-9000","          ","12/22/2016 12:00:00 AM","B/No58    ","","28","S.6       ","64",""
"Tank E 30/1                   ","-15","fulqty    ","12/22/2016 12:00:00 AM","REQ97     ","0","40","S.6       ","65",""
"Tank CB                       ","-12300","loosqty   ","11/28/2016 12:00:00 AM","REQ58     ","0","40","S.9       ","66",""
"Tank 30/1                     ","3715","loosqty   ","12/19/2016 12:00:00 AM","WRK74     ","0","26","S.8       ","67",""
"Tank E 30/1                   ","12200","          ","12/22/2016 12:00:00 AM","B/No59    ","","28","S.6       ","68",""
"Tank E 30/1                   ","-8500","          ","12/22/2016 12:00:00 AM","B/No59    ","","28","S.6       ","69",""
"Tank E 30/1                   ","-61","fulqty    ","12/22/2016 12:00:00 AM","REQ98     ","0","40","S.6       ","70",""
"Tank CB                       ","800","          ","12/22/2016 12:00:00 AM","B/No60    ","","28","S.9       ","71",""
"Tank E 30/1                   ","-250","          ","12/22/2016 12:00:00 AM","B/No60    ","","28","S.6       ","72",""
"K10/1                         ","-200","          ","12/22/2016 12:00:00 AM","B/No60    ","","28","S.13                ","73",""
"Tank CB                       ","-7","fulqty    ","12/22/2016 12:00:00 AM","REQ100    ","0","40","S.9       ","74",""
"Tank E 30/1                   ","800","          ","1/3/2017 12:00:00 AM","B/No61    ","","28","S.6       ","75",""
"Tank E 30/1                   ","-500","          ","1/3/2017 12:00:00 AM","B/No61    ","","28","S.6       ","76",""
"Tank E 30/1                   ","-4","fulqty    ","1/4/2017 12:00:00 AM","REQ101    ","0","40","S.6       ","77",""
"Tank E 30/2                   ","13600","          ","12/20/2016 12:00:00 AM","B/No62    ","","28","S.7       ","78",""
"Tank 30/1                     ","-9600","          ","12/20/2016 12:00:00 AM","B/No62    ","","28","S.8       ","79",""
"Tank E 30/2                   ","-13600","loosqty   ","1/5/2017 12:00:00 AM","REQ102    ","0","40","S.7       ","80",""
"Tank 10/1                     ","85990","loosqty   ","1/6/2017 12:00:00 AM","WRK84     ","0","26","S.8       ","81",""
"Tank E 30/1                   ","36200","          ","1/6/2017 12:00:00 AM","B/No63    ","","28","S.6       ","82",""
"Tank 10/1                     ","-30800","          ","1/6/2017 12:00:00 AM","B/No63    ","","28","S.8       ","83",""
"Tank E 30/1                   ","-181","fulqty    ","1/6/2017 12:00:00 AM","REQ103    ","0","40","S.6       ","84",""
"Tank CB                       ","2000","          ","1/13/2017 12:00:00 AM","B/No64    ","","28","S.9       ","85",""
"Tank E 30/1                   ","-1200","          ","1/13/2017 12:00:00 AM","B/No64    ","","28","S.6       ","86",""
"K10/1                         ","-600","          ","1/13/2017 12:00:00 AM","B/No64    ","","28","S.13                ","87",""
"Tank CB                       ","-10","fulqty    ","1/13/2017 12:00:00 AM","REQ104    ","0","40","S.9       ","88",""
"Tank CB                       ","3200","          ","1/13/2017 12:00:00 AM","B/No65    ","","28","S.9       ","89",""
"Tank E 30/1                   ","-1200","          ","1/13/2017 12:00:00 AM","B/No65    ","","28","S.6       ","90",""
"K10/1                         ","-600","          ","1/13/2017 12:00:00 AM","B/No65    ","","28","S.13                ","91",""
"Tank CB                       ","-16","fulqty    ","1/13/2017 12:00:00 AM","REQ105    ","0","40","S.9       ","92",""
"Tank CB                       ","200","          ","1/14/2017 12:00:00 AM","B/No66    ","","28","S.9       ","93",""
"Tank E 30/1                   ","-70","          ","1/14/2017 12:00:00 AM","B/No66    ","","28","S.6       ","94",""
"K10/1                         ","-30","          ","1/14/2017 12:00:00 AM","B/No66    ","","28","S.13                ","95",""
"Tank CB                       ","-1","fulqty    ","1/14/2017 12:00:00 AM","REQ106    ","0","40","S.9       ","96",""
"Tank CB                       ","10400","          ","1/14/2017 12:00:00 AM","B/No67    ","","28","S.9       ","97",""
"Tank E 30/1                   ","-6800","          ","1/14/2017 12:00:00 AM","B/No67    ","","28","S.6       ","98",""
"K10/1                         ","-70","          ","1/14/2017 12:00:00 AM","B/No67    ","","28","S.13                ","99",""
"Tank CB                       ","-10300","loosqty   ","1/16/2017 12:00:00 AM","REQ107    ","0","40","S.9       ","100",""
"Tank E 30/2                   ","10000","          ","1/12/2017 12:00:00 AM","B/No68    ","","28","S.7       ","101",""
"Tank 10/1                     ","-7000","          ","1/12/2017 12:00:00 AM","B/No68    ","","28","S.8       ","102",""
"Tank E 30/2                   ","13000","          ","1/12/2017 12:00:00 AM","B/No69    ","","28","S.7       ","103",""
"Tank 10/1                     ","-10000","          ","1/12/2017 12:00:00 AM","B/No69    ","","28","S.8       ","104",""
"Tank E 30/2                   ","-115","fulqty    ","1/16/2017 12:00:00 AM","REQ108    ","0","40","S.7       ","105",""
"Tank E 30/2                   ","12600","          ","1/13/2017 12:00:00 AM","B/No70    ","","28","S.7       ","106",""
"Tank 10/1                     ","-8300","          ","1/13/2017 12:00:00 AM","B/No70    ","","28","S.8       ","107",""
"Tank E 30/2                   ","-12600","loosqty   ","1/16/2017 12:00:00 AM","REQ109    ","0","40","S.7       ","108",""
"Tank E 30/1                   ","11000","          ","1/15/2017 12:00:00 AM","B/No71    ","","28","S.6       ","109",""
"Tank 30/1                     ","-7400","          ","1/15/2017 12:00:00 AM","B/No71    ","","28","S.8       ","110",""
"Tank E 30/1                   ","10500","          ","1/17/2017 12:00:00 AM","B/No72    ","","28","S.6       ","111",""
"Tank 30/1                     ","-7200","          ","1/17/2017 12:00:00 AM","B/No72    ","","28","S.8       ","112",""
"Tank E 30/1                   ","-21000","loosqty   ","1/18/2017 12:00:00 AM","REQ112    ","0","40","S.6       ","113",""
"Tank E 30/1                   ","4000","          ","1/22/2017 12:00:00 AM","B/No73    ","","28","S.6       ","114",""
"Tank 10/1                     ","-9600","          ","1/22/2017 12:00:00 AM","B/No73    ","","28","S.8       ","115",""
"Tank E 30/1                   ","11000","          ","1/22/2017 12:00:00 AM","B/No74    ","","28","S.6       ","116",""
"Tank 10/1                     ","-9400","          ","1/22/2017 12:00:00 AM","B/No74    ","","28","S.8       ","117",""
"Tank E 30/1                   ","-15000","loosqty   ","1/23/2017 12:00:00 AM","REQ114    ","0","40","S.6       ","118",""
"Tank E 30/1                   ","11500","          ","1/23/2017 12:00:00 AM","B/No75    ","","28","S.6       ","119",""
"Tank 10/1                     ","-8100","          ","1/23/2017 12:00:00 AM","B/No75    ","","28","S.8       ","120",""
"Tank E 30/1                   ","-11500","loosqty   ","1/24/2017 12:00:00 AM","REQ115    ","0","40","S.6       ","121",""
"Tank 30/1                     ","2210","loosqty   ","1/24/2017 12:00:00 AM","WRK87     ","0","26","S.8       ","122",""
"K10/1                         ","20000","loosqty   ","1/26/2017 12:00:00 AM","WRK88     ","0","26","S.13","123",""
"Tank 10/1                     ","4420","loosqty   ","1/26/2017 12:00:00 AM","WRK90     ","0","26","S.8       ","124",""
"Tank E 30/1                   ","11000","          ","1/25/2017 12:00:00 AM","B/No76    ","","28","S.6       ","125",""
"Tank 10/1                     ","-7100","          ","1/25/2017 12:00:00 AM","B/No76    ","","28","S.8       ","126",""
"Tank E 30/1                   ","-11500","loosqty   ","1/26/2017 12:00:00 AM","REQ116    ","0","40","S.6       ","127",""
"Tank 10/1                     ","278","fulqty    ","1/26/2017 12:00:00 AM","WRK91     ","0","26","S.8       ","128",""
"Tank E 30/1                   ","11000","          ","1/25/2017 12:00:00 AM","B/No77    ","","28","S.6       ","129",""
"Tank 10/1                     ","-7100","          ","1/25/2017 12:00:00 AM","B/No77    ","","28","S.8       ","130",""
"Allumin paint                 ","180","          ","12/19/2016 12:00:00 AM","B/No51    ","","28","S.95","131",""
"Tank 30/1                     ","17245","loosqty   ","12/19/2016 12:00:00 AM","WRK75     ","0","26","S.8       ","132",""
"Tank E 30/2                   ","12000","          ","12/10/2016 12:00:00 AM","B/No52    ","","28","S.7       ","133",""
"Tank 30/1                     ","-9800","          ","12/10/2016 12:00:00 AM","B/No52    ","","28","S.8       ","134",""
"Tank E 30/2                   ","-12000","loosqty   ","12/10/2016 12:00:00 AM","REQ87     ","0","40","S.7       ","135",""
"Tank E 30/2                   ","10000","          ","12/6/2016 12:00:00 AM","B/No53    ","","28","S.7       ","136",""
"Tank 30/1                     ","-7000","          ","12/6/2016 12:00:00 AM","B/No53    ","","28","S.8       ","137",""
"Tank 10/1                     ","10000","loosqty   ","12/17/2016 12:00:00 AM","WRK77     ","0","26","S.8       ","138",""
"Tank 30/1                     ","10080","loosqty   ","12/19/2016 12:00:00 AM","WRK78     ","0","26","S.8       ","139",""
"Tank E 30/2                   ","-10000","loosqty   ","12/19/2016 12:00:00 AM","REQ89     ","0","40","S.7       ","140",""
"Tank E 30/2                   ","18000","          ","12/13/2016 12:00:00 AM","B/No55    ","","28","S.7       ","141",""
"Tank 30/1                     ","-9400","          ","12/13/2016 12:00:00 AM","B/No55    ","","28","S.8       ","142",""
"Tank E 30/2                   ","-18000","loosqty   ","12/19/2016 12:00:00 AM","REQ91     ","0","40","S.7       ","143",""
"Allumin paint                 ","-9","fulqty    ","12/19/2016 12:00:00 AM","REQ92     ","0","40","S.95                ","144",""
"Tank 30/1                     ","20240","loosqty   ","12/21/2016 12:00:00 AM","WRK79     ","0","26","S.8       ","145",""
"Tank E 30/1                   ","12000","          ","1/26/2017 12:00:00 AM","B/No78    ","","28","S.6       ","146",""
"Tank 10/1                     ","-7400","          ","1/26/2017 12:00:00 AM","B/No78    ","","28","S.8       ","147",""
"Tank E 30/1                   ","-23000","loosqty   ","1/26/2017 12:00:00 AM","REQ118    ","0","40","S.6       ","148",""
"Tank CB                       ","13000","          ","1/24/2017 12:00:00 AM","B/No80    ","","28","S.9       ","149",""
"Tank 10/1                     ","-7500","          ","1/24/2017 12:00:00 AM","B/No80    ","","28","S.8       ","150",""
"K10/1                         ","-4800","          ","1/24/2017 12:00:00 AM","B/No80    ","","28","S.13                ","151",""
"Tank CB                       ","-13000","loosqty   ","1/26/2017 12:00:00 AM","REQ119    ","0","40","S.9       ","152",""
"Tank CB                       ","-13000","loosqty   ","1/26/2017 12:00:00 AM","REQ119    ","0","40","S.9       ","153",""
"Tank E 30/1                   ","205","loosqty   ","1/30/2017 12:00:00 AM","WRK92     ","0","26","S.6       ","154",""
"Tank E 30/1                   ","-7000","loosqty   ","1/30/2017 12:00:00 AM","REQ121    ","0","40","S.6       ","155",""
"Tank CB                       ","15600","          ","1/27/2017 12:00:00 AM","B/No81    ","","28","S.9       ","156",""
"Tank 10/1                     ","-9000","          ","1/27/2017 12:00:00 AM","B/No81    ","","28","S.8       ","157",""
"K10/1                         ","-6000","          ","1/27/2017 12:00:00 AM","B/No81    ","","28","S.13                ","158",""
"Tank 10/1                     ","-24523","loosqty   ","2/1/2017 12:00:00 AM","REQ124    ","0","40","S.8       ","159",""
"Tank 30/1                     ","-4420","loosqty   ","2/1/2017 12:00:00 AM","REQ125    ","0","40","S.8       ","160",""
"Tank CB                       ","-13","fulqty    ","2/1/2017 12:00:00 AM","REQ127    ","0","40","S.9       ","161",""
"Converion                     ","-45","loosqty   ","2/1/2017 12:00:00 AM","REQ128    ","0","40","S.16","162",""
"Tank 10/1                     ","20100","loosqty   ","2/7/2017 12:00:00 AM","WRK101    ","0","26","S.8       ","163",""
"Tank E 30/1                   ","12000","          ","2/4/2017 12:00:00 AM","B/No82    ","","28","S.6       ","164",""
"Tank 10/1                     ","-8600","          ","2/4/2017 12:00:00 AM","B/No82    ","","28","S.8       ","165",""
"Tank E 30/1                   ","-60","fulqty    ","2/7/2017 12:00:00 AM","REQ130    ","0","40","S.6       ","166",""
"Tank K-65                     ","8800","          ","2/5/2017 12:00:00 AM","B/No83    ","","28","S.150     ","167",""
"Tank K-65                     ","-8800","loosqty   ","2/7/2017 12:00:00 AM","REQ131    ","0","40","S.150     ","168",""
"Tank 10/1                     ","21340","loosqty   ","2/8/2017 12:00:00 AM","WRK103    ","0","26","S.8       ","169",""
"Tank E 30/1                   ","13000","          ","2/6/2017 12:00:00 AM","B/No84    ","","28","S.6       ","170",""
"Tank 10/1                     ","-7700","          ","2/6/2017 12:00:00 AM","B/No84    ","","28","S.8       ","171",""
"Tank E 30/1                   ","10500","          ","2/6/2017 12:00:00 AM","B/No85    ","","28","S.6       ","172",""
"Tank 10/1                     ","-6600","          ","2/6/2017 12:00:00 AM","B/No85    ","","28","S.8       ","173",""
"Tank E 30/1                   ","-23500","loosqty   ","2/8/2017 12:00:00 AM","REQ132    ","0","40","S.6       ","174",""
"Tank E 30/1                   ","11600","          ","2/7/2017 12:00:00 AM","B/No86    ","","28","S.6       ","175",""
"Tank 10/1                     ","-7500","          ","2/7/2017 12:00:00 AM","B/No86    ","","28","S.8       ","176",""
"Tank E 30/1                   ","-11600","loosqty   ","2/9/2017 12:00:00 AM","REQ134    ","0","40","S.6       ","177",""
"K10/1                         ","20000","loosqty   ","2/11/2017 12:00:00 AM","WRK104    ","0","26","S.13","178",""
"Tank CB                       ","21000","          ","2/11/2017 12:00:00 AM","B/No87    ","","28","S.9       ","179",""
"Tank 10/1                     ","-11000","          ","2/11/2017 12:00:00 AM","B/No87    ","","28","S.8       ","180",""
"K10/1                         ","-8000","          ","2/11/2017 12:00:00 AM","B/No87    ","","28","S.13                ","181",""
"Tank CB                       ","-21000","loosqty   ","2/11/2017 12:00:00 AM","REQ135    ","0","40","S.9       ","182",""
"Tank 10/1                     ","46","fulqty    ","2/13/2017 12:00:00 AM","WRK110    ","0","26","S.8       ","183",""
"Tank 30/1                     ","21840","loosqty   ","2/14/2017 12:00:00 AM","WRK111    ","0","26","S.8       ","184",""
"Tank E 30/2                   ","14000","          ","2/13/2017 12:00:00 AM","B/No88    ","","28","S.7       ","185",""
"Tank 30/1                     ","-9800","          ","2/13/2017 12:00:00 AM","B/No88    ","","28","S.8       ","186",""
"Tank E 30/2                   ","-14000","loosqty   ","2/14/2017 12:00:00 AM","REQ137    ","0","40","S.7       ","187",""
"Tank CB                       ","7000","          ","2/11/2017 12:00:00 AM","B/No89    ","","28","S.9       ","188",""
"Tank 10/1                     ","-4500","          ","2/11/2017 12:00:00 AM","B/No89    ","","28","S.8       ","189",""
"K10/1                         ","-2800","          ","2/11/2017 12:00:00 AM","B/No89    ","","28","S.13                ","190",""
"Tank CB                       ","-7000","loosqty   ","2/14/2017 12:00:00 AM","REQ138    ","0","40","S.9       ","191",""
"Tank E 30/1                   ","92","fulqty    ","2/23/2017 12:00:00 AM","WRK112    ","0","26","S.6       ","192",""
"Tank E 30/1                   ","12000","          ","2/23/2017 12:00:00 AM","B/No90    ","","28","S.6       ","193",""
"Tank 30/1                     ","-8000","          ","2/23/2017 12:00:00 AM","B/No90    ","","28","S.8       ","194",""
"Tank E 30/1                   ","-12000","loosqty   ","2/23/2017 12:00:00 AM","REQ139    ","0","40","S.6       ","195",""
"K10/1                         ","-9200","loosqty   ","2/1/2017 12:00:00 AM","REQ126    ","0","40","S.13                ","196",""
"Tank CB                       ","11800","          ","2/22/2017 12:00:00 AM","B/No91    ","","28","S.9       ","197",""
"Tank E 30/1                   ","-7000","          ","2/22/2017 12:00:00 AM","B/No91    ","","28","S.6       ","198",""
"K10/1                         ","-4800","          ","2/22/2017 12:00:00 AM","B/No91    ","","28","S.13                ","199",""
"K10/1                         ","15600","loosqty   ","2/23/2017 12:00:00 AM","WRK113    ","0","26","S.13","200",""
"Tank CB                       ","12700","          ","2/21/2017 12:00:00 AM","B/No93    ","","28","S.9       ","201",""
"Tank E 30/1                   ","-7800","          ","2/21/2017 12:00:00 AM","B/No93    ","","28","S.6       ","202",""
"K10/1                         ","-4900","          ","2/21/2017 12:00:00 AM","B/No93    ","","28","S.13                ","203",""
"Tank CB                       ","-24500","loosqty   ","2/23/2017 12:00:00 AM","REQ141    ","0","40","S.9       ","204",""
"Tank E 30/1                   ","18000","loosqty   ","2/27/2017 12:00:00 AM","WRK114    ","0","26","S.6       ","205",""
"Tank CB                       ","8000","          ","2/25/2017 12:00:00 AM","B/No94    ","","28","S.9       ","206",""
"Tank E 30/1                   ","-5400","          ","2/25/2017 12:00:00 AM","B/No94    ","","28","S.6       ","207",""
"K10/1                         ","-3000","          ","2/25/2017 12:00:00 AM","B/No94    ","","28","S.13                ","208",""
"Tank CB                       ","-40","fulqty    ","2/25/2017 12:00:00 AM","REQ143    ","0","40","S.9       ","209",""
"Tank E 30/1                   ","13500","          ","2/25/2017 12:00:00 AM","B/No95    ","","28","S.6       ","210",""
"Tank E 30/1                   ","-9300","          ","2/25/2017 12:00:00 AM","B/No95    ","","28","S.6       ","211",""
"K10/1                         ","-5000","          ","2/25/2017 12:00:00 AM","B/No95    ","","28","S.13                ","212",""
"Tank E 30/1                   ","-13500","loosqty   ","2/25/2017 12:00:00 AM","REQ144    ","0","40","S.6       ","213",""
"K10/2                         ","18000","loosqty   ","2/27/2017 12:00:00 AM","WRK115    ","0","26","S.13","214",""
"Tank E 30/1                   ","92","fulqty    ","3/4/2017 12:00:00 AM","WRK116    ","0","26","S.6       ","215",""
"Tank E 30/1                   ","92","fulqty    ","3/4/2017 12:00:00 AM","WRK117    ","0","26","S.6       ","216",""
"Tank E 30/1                   ","42","fulqty    ","3/4/2017 12:00:00 AM","WRK118    ","0","26","S.6       ","217",""
"Tank E 30/1                   ","-19000","loosqty   ","3/4/2017 12:00:00 AM","REQ146    ","0","40","S.6       ","218",""
"K10/1                         ","12900","loosqty   ","3/4/2017 12:00:00 AM","WRK120    ","0","26","S.13","219",""
"Tank CB                       ","1500","          ","2/27/2017 12:00:00 AM","B/No96    ","","28","S.9       ","220",""
"Tank E 30/1                   ","-8400","          ","2/27/2017 12:00:00 AM","B/No96    ","","28","S.6       ","221",""
"K10/1                         ","-5000","          ","2/27/2017 12:00:00 AM","B/No96    ","","28","S.13                ","222",""
"Tank CB                       ","13500","          ","2/27/2017 12:00:00 AM","B/No97    ","","28","S.9       ","223",""
"Tank E 30/1                   ","-2000","          ","2/27/2017 12:00:00 AM","B/No97    ","","28","S.6       ","224",""
"K10/1                         ","-5000","          ","2/27/2017 12:00:00 AM","B/No97    ","","28","S.13                ","225",""
"Tank CB                       ","-15000","loosqty   ","3/4/2017 12:00:00 AM","REQ148    ","0","40","S.9       ","226",""
"Tank 10/1                     ","41","fulqty    ","3/4/2017 12:00:00 AM","WRK121    ","0","26","S.8       ","227",""
"Tank 10/1                     ","10","fulqty    ","3/4/2017 12:00:00 AM","WRK122    ","0","26","S.8       ","228",""
"Tank CB                       ","14400","          ","3/16/2017 12:00:00 AM","B/No103   ","","28","S.9       ","229",""
"Tank E 30/1                   ","-9000","          ","3/16/2017 12:00:00 AM","B/No103   ","","28","S.6       ","230",""
"K10/1                         ","-5400","          ","3/16/2017 12:00:00 AM","B/No103   ","","28","S.13                ","231",""
"Tank CB                       ","-14400","loosqty   ","3/17/2017 12:00:00 AM","REQ149    ","0","40","S.9       ","232",""
"Tank CB                       ","9800","          ","3/17/2017 12:00:00 AM","B/No105   ","","28","S.9       ","233",""
"Tank 10/1                     ","-6200","          ","3/17/2017 12:00:00 AM","B/No105   ","","28","S.8       ","234",""
"K10/1                         ","-3800","          ","3/17/2017 12:00:00 AM","B/No105   ","","28","S.13                ","235",""
"Tank CB                       ","-49","fulqty    ","3/18/2017 12:00:00 AM","REQ150    ","0","40","S.9       ","236",""
"Tank 10/1                     ","92","fulqty    ","3/18/2017 12:00:00 AM","WRK123    ","0","26","S.8       ","237",""
"Tank E 30/1                   ","5500","          ","3/17/2017 12:00:00 AM","B/No106   ","","28","S.6       ","238",""
"Tank 10/1                     ","-10600","          ","3/17/2017 12:00:00 AM","B/No106   ","","28","S.8       ","239",""
"K10/1                         ","-250","          ","3/17/2017 12:00:00 AM","B/No106   ","","28","S.13                ","240",""
"Tank E 30/1                   ","-28","fulqty    ","3/18/2017 12:00:00 AM","REQ151    ","0","40","S.6       ","241",""
"Tank E 30/2                   ","5000","          ","3/17/2017 12:00:00 AM","B/No107   ","","28","S.7       ","242",""
