"tankname","units","uom","date","batchno","variance","doctype","itemcode","index","BQitemcode"
"K10/1                         ","-8000","          ","12/19/2017 12:00:00 AM","B/No162   ","","28","S.13                ","150370",""
"Tank CB                       ","-21400","loosqty   ","12/20/2017 12:00:00 AM","REQ215    ","0","40","S.9       ","150371",""
"Tank E 30/1                   ","48","fulqty    ","1/6/2018 12:00:00 AM","WRK177    ","0","26","S.6       ","160368",""
"Tank CB                       ","15000","          ","1/7/2018 12:00:00 AM","B/No163   ","","28","S.9       ","160369",""
"Tank 10/1                     ","-6000","          ","1/7/2018 12:00:00 AM","B/No163   ","","28","S.8       ","160370",""
"K10/1                         ","-7000","          ","1/7/2018 12:00:00 AM","B/No163   ","","28","S.13                ","160371",""
"Tank CB                       ","-15000","loosqty   ","1/7/2018 12:00:00 AM","REQ216    ","0","40","S.9       ","160372",""
"Tank E 30/1                   ","10000","          ","1/10/2018 12:00:00 AM","B/No164   ","","28","S.6       ","160373",""
"Tank 30/1                     ","-6000","          ","1/10/2018 12:00:00 AM","B/No164   ","","28","S.8       ","160374",""
"K10/1                         ","0","          ","1/10/2018 12:00:00 AM","B/No164   ","","28","S.13                ","160375",""
"Tank E 30/1                   ","-10000","loosqty   ","1/10/2018 12:00:00 AM","REQ217    ","0","40","S.6       ","160376",""
"Tank E 30/1                   ","3500","          ","1/16/2018 12:00:00 AM","B/No165   ","","28","S.6       ","170373",""
"Tank E 30/1                   ","-2000","          ","1/16/2018 12:00:00 AM","B/No165   ","","28","S.6       ","170374",""
"bitumen60-70                  ","0","          ","5/4/2019 12:00:00 AM","B/No255   ","","28","S.24                ","570523",""
"Tank E 30/2                   ","-2500","loosqty   ","5/4/2019 12:00:00 AM","REQ329    ","0","40","S.7       ","570524",""
"Tank E 30/1                   ","11200","          ","5/10/2019 12:00:00 AM","B/No256   ","","28","S.6       ","570525",""
"Tank E 30/1                   ","-7000","          ","5/10/2019 12:00:00 AM","B/No256   ","","28","S.6       ","570526",""
"K10/1                         ","0","          ","5/10/2019 12:00:00 AM","B/No256   ","","28","S.13                ","570527",""
"bitumen60-70                  ","0","          ","5/10/2019 12:00:00 AM","B/No256   ","","28","S.24                ","570528",""
"Tank E 30/1                   ","-11200","loosqty   ","5/10/2019 12:00:00 AM","REQ332    ","0","40","S.6       ","570529",""
"Allumin paint                 ","260","          ","5/10/2019 12:00:00 AM","B/No257   ","","28","S.95","570530",""
"Allumin paint                 ","-260","loosqty   ","5/10/2019 12:00:00 AM","REQ335    ","0","40","S.95                ","570531",""
"Tank E 30/1                   ","9000","          ","5/4/2019 12:00:00 AM","B/No258   ","","28","S.6       ","570532",""
"Tank E 30/1                   ","-6000","          ","5/4/2019 12:00:00 AM","B/No258   ","","28","S.6       ","570533",""
"K10/1                         ","0","          ","5/4/2019 12:00:00 AM","B/No258   ","","28","S.13                ","570534",""
"bitumen60-70                  ","0","          ","5/4/2019 12:00:00 AM","B/No258   ","","28","S.24                ","570535",""
"Tank E 30/1                   ","-9000","loosqty   ","5/4/2019 12:00:00 AM","REQ336    ","0","40","S.6       ","570536",""
"Tank 10/1                     ","48","fulqty    ","5/14/2019 12:00:00 AM","WRK276    ","0","26","S.8       ","570537",""
"Tank E 30/1                   ","10500","          ","5/15/2019 12:00:00 AM","B/No259   ","","28","S.6       ","570538",""
"Tank 10/1                     ","-6000","          ","5/15/2019 12:00:00 AM","B/No259   ","","28","S.8       ","570539",""
"K10/1                         ","0","          ","5/15/2019 12:00:00 AM","B/No259   ","","28","S.13                ","570540",""
"bitumen60-70                  ","0","          ","5/15/2019 12:00:00 AM","B/No259   ","","28","S.24                ","570541",""
"Tank E 30/1                   ","-10500","loosqty   ","5/15/2019 12:00:00 AM","REQ337    ","0","40","S.6       ","570542",""
"Tank CB-70                    ","7200","          ","5/31/2019 12:00:00 AM","B/No260   ","","28","S.10      ","570543",""
"Tank E 30/1                   ","-5000","          ","5/31/2019 12:00:00 AM","B/No260   ","","28","S.6       ","570544",""
"K10/1                         ","-2000","          ","5/31/2019 12:00:00 AM","B/No260   ","","28","S.13                ","570545",""
"Tank CB-70                    ","-7200","loosqty   ","5/31/2019 12:00:00 AM","REQ338    ","0","40","S.10      ","570546",""
"Tank E 30/1                   ","10000","          ","5/25/2019 12:00:00 AM","B/No261   ","","28","S.6       ","570547",""
"Tank E 30/1                   ","-7000","          ","5/25/2019 12:00:00 AM","B/No261   ","","28","S.6       ","570548",""
"K10/1                         ","0","          ","5/25/2019 12:00:00 AM","B/No261   ","","28","S.13                ","570549",""
"bitumen60-70                  ","0","          ","5/25/2019 12:00:00 AM","B/No261   ","","28","S.24                ","570550",""
"Tank E 30/1                   ","-10000","loosqty   ","5/25/2019 12:00:00 AM","REQ339    ","0","40","S.6       ","570551",""
"K10/1                         ","3000","fulqty    ","6/12/2019 12:00:00 AM","WRK277    ","0","26","S.13","570552",""
"Tank CB-70                    ","8800","          ","6/12/2019 12:00:00 AM","B/No262   ","","28","S.10      ","570553",""
"Tank E 30/1                   ","-5000","          ","6/12/2019 12:00:00 AM","B/No262   ","","28","S.6       ","570554",""
"K10/1                         ","-2000","          ","6/12/2019 12:00:00 AM","B/No262   ","","28","S.13                ","570555",""
"Tank CB-70                    ","-8800","loosqty   ","6/12/2019 12:00:00 AM","REQ340    ","0","40","S.10      ","570556",""
"K10/1                         ","5000","fulqty    ","6/17/2019 12:00:00 AM","WRK278    ","0","26","S.13","570557",""
"Tank CB                       ","12000","          ","6/18/2019 12:00:00 AM","B/No263   ","","28","S.9       ","570558",""
"Tank E 30/1                   ","-7200","          ","6/18/2019 12:00:00 AM","B/No263   ","","28","S.6       ","570559",""
"K10/1                         ","-4800","          ","6/18/2019 12:00:00 AM","B/No263   ","","28","S.13                ","570560",""
"bitumen60-70                  ","0","          ","6/18/2019 12:00:00 AM","B/No263   ","","28","S.24                ","570561",""
"Tank CB                       ","-12000","loosqty   ","6/17/2019 12:00:00 AM","REQ341    ","0","40","S.9       ","570562",""
"Tank E 30/1                   ","8100","          ","6/17/2019 12:00:00 AM","B/No264   ","","28","S.6       ","570563",""
"Tank E 30/1                   ","-5000","          ","6/17/2019 12:00:00 AM","B/No264   ","","28","S.6       ","570564",""
"K10/1                         ","0","          ","6/17/2019 12:00:00 AM","B/No264   ","","28","S.13                ","570565",""
"bitumen60-70                  ","0","          ","6/17/2019 12:00:00 AM","B/No264   ","","28","S.24                ","570566",""
"Tank E 30/1                   ","-8100","loosqty   ","6/17/2019 12:00:00 AM","REQ342    ","0","40","S.6       ","570567",""
"Tank E 30/1                   ","11000","          ","7/3/2019 12:00:00 AM","B/No265   ","","28","S.6       ","570568",""
"Tank E 30/1                   ","-7000","          ","7/3/2019 12:00:00 AM","B/No265   ","","28","S.6       ","570569",""
"K10/1                         ","0","          ","7/3/2019 12:00:00 AM","B/No265   ","","28","S.13                ","570570",""
"bitumen60-70                  ","0","          ","7/3/2019 12:00:00 AM","B/No265   ","","28","S.24                ","570571",""
"Tank E 30/1                   ","-11000","loosqty   ","7/3/2019 12:00:00 AM","REQ343    ","0","40","S.6       ","570572",""
"Tank E 30/1                   ","12000","          ","7/2/2019 12:00:00 AM","B/No266   ","","28","S.6       ","570573",""
"Tank E 30/1                   ","-7600","          ","7/2/2019 12:00:00 AM","B/No266   ","","28","S.6       ","570574",""
"K10/1                         ","0","          ","7/2/2019 12:00:00 AM","B/No266   ","","28","S.13                ","570575",""
"bitumen60-70                  ","0","          ","7/2/2019 12:00:00 AM","B/No266   ","","28","S.24                ","570576",""
"Tank E 30/1                   ","-12000","loosqty   ","7/2/2019 12:00:00 AM","REQ344    ","0","40","S.6       ","570577",""
"Tank E 30/1                   ","11800","          ","7/12/2019 12:00:00 AM","B/No267   ","","28","S.6       ","570578",""
"Tank E 30/1                   ","-7000","          ","7/12/2019 12:00:00 AM","B/No267   ","","28","S.6       ","570579",""
"K10/1                         ","0","          ","7/12/2019 12:00:00 AM","B/No267   ","","28","S.13                ","570580",""
"bitumen60-70                  ","0","          ","7/12/2019 12:00:00 AM","B/No267   ","","28","S.24                ","570581",""
"Tank E 30/1                   ","-11800","loosqty   ","7/12/2019 12:00:00 AM","REQ345    ","0","40","S.6       ","570582",""
"Tank E 30/2                   ","2000","          ","6/25/2019 12:00:00 AM","B/No268   ","","28","S.7       ","570583",""
"Tank E 30/1                   ","-3000","          ","6/25/2019 12:00:00 AM","B/No268   ","","28","S.6       ","570584",""
"K10/1                         ","0","          ","6/25/2019 12:00:00 AM","B/No268   ","","28","S.13                ","570585",""
"bitumen60-70                  ","0","          ","6/25/2019 12:00:00 AM","B/No268   ","","28","S.24                ","570586",""
"Tank E 30/2                   ","-2000","loosqty   ","5/25/2019 12:00:00 AM","REQ347    ","0","40","S.7       ","570587",""
"Tank E 30/2                   ","14500","          ","7/17/2019 12:00:00 AM","B/No269   ","","28","S.7       ","570588",""
"Tank E 30/1                   ","-9200","          ","7/17/2019 12:00:00 AM","B/No269   ","","28","S.6       ","570589",""
"K10/1                         ","0","          ","7/17/2019 12:00:00 AM","B/No269   ","","28","S.13                ","570590",""
"bitumen60-70                  ","0","          ","7/17/2019 12:00:00 AM","B/No269   ","","28","S.24                ","570591",""
"Tank E 30/2                   ","-14500","loosqty   ","7/17/2019 12:00:00 AM","REQ348    ","0","40","S.7       ","570592",""
"Tank E 30/1                   ","10500","          ","7/13/2019 12:00:00 AM","B/No270   ","","28","S.6       ","570593",""
"Tank E 30/1                   ","-7200","          ","7/13/2019 12:00:00 AM","B/No270   ","","28","S.6       ","570594",""
"K10/1                         ","0","          ","7/13/2019 12:00:00 AM","B/No270   ","","28","S.13                ","570595",""
"bitumen60-70                  ","0","          ","7/13/2019 12:00:00 AM","B/No270   ","","28","S.24                ","570596",""
"Tank E 30/1                   ","-53","fulqty    ","7/13/2019 12:00:00 AM","REQ349    ","0","40","S.6       ","570597",""
"Tank E 30/1                   ","10000","          ","7/31/2019 12:00:00 AM","B/No271   ","","28","S.6       ","570598",""
"Tank E 30/1                   ","-6000","          ","7/31/2019 12:00:00 AM","B/No271   ","","28","S.6       ","570599",""
"K10/1                         ","0","          ","7/31/2019 12:00:00 AM","B/No271   ","","28","S.13                ","570600",""
"bitumen60-70                  ","0","          ","7/31/2019 12:00:00 AM","B/No271   ","","28","S.24                ","570601",""
"Tank E 30/1                   ","-9900","loosqty   ","7/31/2019 12:00:00 AM","REQ351    ","0","40","S.6       ","570602",""
"Tank CB-70                    ","3000","          ","8/2/2019 12:00:00 AM","B/No273   ","","28","S.10      ","570603",""
"Tank E 30/1                   ","-2000","          ","8/2/2019 12:00:00 AM","B/No273   ","","28","S.6       ","570604",""
"K10/1                         ","-1000","          ","8/2/2019 12:00:00 AM","B/No273   ","","28","S.13                ","570605",""
"Tank CB-70                    ","-3000","loosqty   ","8/2/2019 12:00:00 AM","REQ352    ","0","40","S.10      ","570606",""
"Tank E 30/1                   ","10000","          ","8/2/2019 12:00:00 AM","B/No274   ","","28","S.6       ","570607",""
"Tank E 30/1                   ","-6000","          ","8/2/2019 12:00:00 AM","B/No274   ","","28","S.6       ","570608",""
"K10/1                         ","0","          ","8/2/2019 12:00:00 AM","B/No274   ","","28","S.13                ","570609",""
"bitumen60-70                  ","0","          ","8/2/2019 12:00:00 AM","B/No274   ","","28","S.24                ","570610",""
"Tank E 30/1                   ","-10000","loosqty   ","8/2/2019 12:00:00 AM","REQ353    ","0","40","S.6       ","570611",""
"K10/1                         ","3000","fulqty    ","8/8/2019 12:00:00 AM","WRK280    ","0","26","S.13","570612",""
"Tank CB                       ","6700","          ","8/9/2019 12:00:00 AM","B/No275   ","","28","S.9       ","570613",""
"Tank E 30/1                   ","-4200","          ","8/9/2019 12:00:00 AM","B/No275   ","","28","S.6       ","570614",""
"K10/1                         ","-2500","          ","8/9/2019 12:00:00 AM","B/No275   ","","28","S.13                ","570615",""
"bitumen60-70                  ","0","          ","8/9/2019 12:00:00 AM","B/No275   ","","28","S.24                ","570616",""
"Tank CB                       ","-6700","loosqty   ","8/9/2019 12:00:00 AM","REQ354    ","0","40","S.9       ","570617",""
"Tank E 30/1                   ","10000","          ","8/9/2019 12:00:00 AM","B/No276   ","","28","S.6       ","570618",""
"Tank E 30/1                   ","-6000","          ","8/9/2019 12:00:00 AM","B/No276   ","","28","S.6       ","570619",""
"K10/1                         ","0","          ","8/9/2019 12:00:00 AM","B/No276   ","","28","S.13                ","570620",""
"bitumen60-70                  ","0","          ","8/9/2019 12:00:00 AM","B/No276   ","","28","S.24                ","570621",""
"Tank E 30/1                   ","-10000","loosqty   ","8/9/2019 12:00:00 AM","REQ355    ","0","40","S.6       ","570622",""
"Tank E 30/1                   ","-1500","          ","4/9/2019 12:00:00 AM","B/No277   ","","28","S.6       ","570623",""
"Tank K-65                     ","7600","          ","8/14/2019 12:00:00 AM","B/No278   ","","28","S.150     ","570624",""
"Tank E 30/1                   ","-5000","          ","8/14/2019 12:00:00 AM","B/No278   ","","28","S.6       ","570625",""
"Tank K-65                     ","-38","fulqty    ","8/14/2019 12:00:00 AM","REQ357    ","0","40","S.150     ","570626",""
"Tank E 30/1                   ","-6000","          ","8/15/2019 12:00:00 AM","B/No279   ","","28","S.6       ","570627",""
"Tank E 30/1                   ","10500","          ","8/13/2019 12:00:00 AM","B/No280   ","","28","S.6       ","570628",""
"Tank E 30/1                   ","-6400","          ","8/13/2019 12:00:00 AM","B/No280   ","","28","S.6       ","570629",""
"K10/1                         ","0","          ","8/13/2019 12:00:00 AM","B/No280   ","","28","S.13                ","570630",""
"bitumen60-70                  ","0","          ","8/13/2019 12:00:00 AM","B/No280   ","","28","S.24                ","570631",""
"Tank E 30/1                   ","-10500","loosqty   ","8/13/2019 12:00:00 AM","REQ359    ","0","40","S.6       ","570632",""
"Tank K-65                     ","2200","          ","8/19/2019 12:00:00 AM","B/No281   ","","28","S.150     ","570633",""
"Tank E 30/1                   ","-1000","          ","8/19/2019 12:00:00 AM","B/No281   ","","28","S.6       ","570634",""
"Tank K-65                     ","-2200","loosqty   ","8/15/2019 12:00:00 AM","REQ360    ","0","40","S.150     ","570635",""
"Tank E 30/1                   ","11000","          ","8/21/2019 12:00:00 AM","B/No282   ","","28","S.6       ","570636",""
"Tank E 30/1                   ","-6000","          ","8/21/2019 12:00:00 AM","B/No282   ","","28","S.6       ","570637",""
"K10/1                         ","0","          ","8/21/2019 12:00:00 AM","B/No282   ","","28","S.13                ","570638",""
"bitumen60-70                  ","0","          ","8/21/2019 12:00:00 AM","B/No282   ","","28","S.24                ","570639",""
"Tank E 30/1                   ","-11000","loosqty   ","8/21/2019 12:00:00 AM","REQ361    ","0","40","S.6       ","570640",""
"Tank K-65                     ","5400","          ","8/17/2019 12:00:00 AM","B/No283   ","","28","S.150     ","570641",""
"Tank E 30/1                   ","-3000","          ","8/17/2019 12:00:00 AM","B/No283   ","","28","S.6       ","570642",""
"Tank K-65                     ","-5400","loosqty   ","8/21/2019 12:00:00 AM","REQ362    ","0","40","S.150     ","570643",""
"Tank E 30/1                   ","-6300","          ","8/29/2019 12:00:00 AM","B/No285   ","","28","S.6       ","570644",""
"Tank 10/1                     ","48","fulqty    ","9/5/2019 12:00:00 AM","WRK281    ","0","26","S.8       ","570645",""
"Tank E 30/1                   ","6500","          ","9/5/2019 12:00:00 AM","B/No287   ","","28","S.6       ","570646",""
"Tank 10/1                     ","-5000","          ","9/5/2019 12:00:00 AM","B/No287   ","","28","S.8       ","570647",""
"K10/1                         ","0","          ","9/5/2019 12:00:00 AM","B/No287   ","","28","S.13                ","570648",""
"bitumen60-70                  ","0","          ","9/5/2019 12:00:00 AM","B/No287   ","","28","S.24                ","570649",""
"Tank E 30/1                   ","-6500","loosqty   ","9/5/2019 12:00:00 AM","REQ363    ","0","40","S.6       ","570650",""
"Tank K-65                     ","7000","          ","8/30/2019 12:00:00 AM","B/No288   ","","28","S.150     ","570651",""
"Tank 10/1                     ","-5200","          ","8/30/2019 12:00:00 AM","B/No288   ","","28","S.8       ","570652",""
"Tank K-65                     ","-7000","loosqty   ","8/30/2019 12:00:00 AM","REQ364    ","0","40","S.150     ","570653",""
"Tank E 30/1                   ","11200","          ","9/6/2019 12:00:00 AM","B/No289   ","","28","S.6       ","570654",""
"Tank E 30/1                   ","-6400","          ","9/6/2019 12:00:00 AM","B/No289   ","","28","S.6       ","570655",""
"K10/1                         ","0","          ","9/6/2019 12:00:00 AM","B/No289   ","","28","S.13                ","570656",""
"bitumen60-70                  ","0","          ","9/6/2019 12:00:00 AM","B/No289   ","","28","S.24                ","570657",""
"Tank E 30/1                   ","-11200","loosqty   ","9/6/2019 12:00:00 AM","REQ365    ","0","40","S.6       ","570658",""
"Allumin paint                 ","300","          ","9/10/2019 12:00:00 AM","B/No290   ","","28","S.95","570659",""
"Allumin paint                 ","-300","loosqty   ","9/10/2019 12:00:00 AM","REQ366    ","0","40","S.95                ","570660",""
"Tank E 30/1                   ","11000","          ","9/11/2019 12:00:00 AM","B/No291   ","","28","S.6       ","570661",""
"Tank E 30/1                   ","-6800","          ","9/11/2019 12:00:00 AM","B/No291   ","","28","S.6       ","570662",""
"K10/1                         ","0","          ","9/11/2019 12:00:00 AM","B/No291   ","","28","S.13                ","570663",""
"bitumen60-70                  ","0","          ","9/11/2019 12:00:00 AM","B/No291   ","","28","S.24                ","570664",""
"Tank E 30/1                   ","-11000","loosqty   ","9/11/2019 12:00:00 AM","REQ367    ","0","40","S.6       ","570665",""
"K10/1                         ","5000","fulqty    ","9/4/2019 12:00:00 AM","WRK283    ","0","26","S.13","570666",""
"Tank CB-70                    ","12600","          ","9/5/2019 12:00:00 AM","B/No292   ","","28","S.10      ","570667",""
"Tank E 30/1                   ","-8200","          ","9/5/2019 12:00:00 AM","B/No292   ","","28","S.6       ","570668",""
"K10/1                         ","-4500","          ","9/5/2019 12:00:00 AM","B/No292   ","","28","S.13                ","570669",""
"Tank CB-70                    ","-12600","loosqty   ","9/5/2019 12:00:00 AM","REQ368    ","0","40","S.10      ","570670",""
"Tank E 30/2                   ","13200","          ","9/11/2019 12:00:00 AM","B/No293   ","","28","S.7       ","570671",""
"Tank E 30/1                   ","-9000","          ","9/11/2019 12:00:00 AM","B/No293   ","","28","S.6       ","570672",""
"K10/1                         ","0","          ","9/11/2019 12:00:00 AM","B/No293   ","","28","S.13                ","570673",""
"bitumen60-70                  ","0","          ","9/11/2019 12:00:00 AM","B/No293   ","","28","S.24                ","570674",""
"Tank E 30/2                   ","6000","          ","9/12/2019 12:00:00 AM","B/No294   ","","28","S.7       ","570675",""
"Tank E 30/1                   ","-4000","          ","9/12/2019 12:00:00 AM","B/No294   ","","28","S.6       ","570676",""
"K10/1                         ","0","          ","9/12/2019 12:00:00 AM","B/No294   ","","28","S.13                ","570677",""
"bitumen60-70                  ","0","          ","9/12/2019 12:00:00 AM","B/No294   ","","28","S.24                ","570678",""
"Tank E 30/2                   ","-19200","loosqty   ","9/12/2019 12:00:00 AM","REQ369    ","0","40","S.7       ","570679",""
"Tank E 30/1                   ","11000","          ","9/18/2019 12:00:00 AM","B/No295   ","","28","S.6       ","570680",""
"Tank E 30/1                   ","-6600","          ","9/18/2019 12:00:00 AM","B/No295   ","","28","S.6       ","570681",""
"K10/1                         ","0","          ","9/18/2019 12:00:00 AM","B/No295   ","","28","S.13                ","570682",""
"bitumen60-70                  ","0","          ","9/18/2019 12:00:00 AM","B/No295   ","","28","S.24                ","570683",""
"Tank E 30/1                   ","-11000","loosqty   ","9/18/2019 12:00:00 AM","REQ370    ","0","40","S.6       ","570684",""
"Tank E 30/2                   ","14000","          ","9/21/2019 12:00:00 AM","B/No296   ","","28","S.7       ","570685",""
"Tank E 30/1                   ","-9200","          ","9/21/2019 12:00:00 AM","B/No296   ","","28","S.6       ","570686",""
"K10/1                         ","0","          ","9/21/2019 12:00:00 AM","B/No296   ","","28","S.13                ","570687",""
"bitumen60-70                  ","0","          ","9/21/2019 12:00:00 AM","B/No296   ","","28","S.24                ","570688",""
"Tank E 30/2                   ","-14000","loosqty   ","9/21/2019 12:00:00 AM","REQ371    ","0","40","S.7       ","570689",""
"Tank E 30/1                   ","-6600","          ","10/3/2019 12:00:00 AM","B/No297   ","","28","S.6       ","570690",""
"Tank E 30/2                   ","10500","          ","10/12/2019 12:00:00 AM","B/No298   ","","28","S.7       ","570691",""
"Tank E 30/1                   ","-6600","          ","10/12/2019 12:00:00 AM","B/No298   ","","28","S.6       ","570692",""
"K10/1                         ","0","          ","10/12/2019 12:00:00 AM","B/No298   ","","28","S.13                ","570693",""
"bitumen60-70                  ","0","          ","10/12/2019 12:00:00 AM","B/No298   ","","28","S.24                ","570694",""
"Tank E 30/2                   ","13600","          ","10/13/2019 12:00:00 AM","B/No299   ","","28","S.7       ","570695",""
"Tank E 30/1                   ","-7600","          ","10/13/2019 12:00:00 AM","B/No299   ","","28","S.6       ","570696",""
"K10/1                         ","0","          ","10/13/2019 12:00:00 AM","B/No299   ","","28","S.13                ","570697",""
"bitumen60-70                  ","0","          ","10/13/2019 12:00:00 AM","B/No299   ","","28","S.24                ","570698",""
"Tank E 30/2                   ","-24100","loosqty   ","10/13/2019 12:00:00 AM","REQ373    ","0","40","S.7       ","570699",""
"Allumin paint                 ","360","          ","10/11/2019 12:00:00 AM","B/No300   ","","28","S.95","570700",""
"Allumin paint                 ","-18","fulqty    ","10/11/2019 12:00:00 AM","REQ374    ","0","40","S.95                ","570701",""
"Tank E 30/1                   ","-1500","          ","10/15/2019 12:00:00 AM","B/No301   ","","28","S.6       ","570702",""
"Tank E 30/1                   ","8000","          ","10/15/2019 12:00:00 AM","B/No302   ","","28","S.6       ","570703",""
"Tank E 30/1                   ","-6000","          ","10/15/2019 12:00:00 AM","B/No302   ","","28","S.6       ","570704",""
"K10/1                         ","0","          ","10/15/2019 12:00:00 AM","B/No302   ","","28","S.13                ","570705",""
"bitumen60-70                  ","0","          ","10/15/2019 12:00:00 AM","B/No302   ","","28","S.24                ","570706",""
"Tank E 30/1                   ","-8000","loosqty   ","10/15/2019 12:00:00 AM","REQ376    ","0","40","S.6       ","570707",""
"Tank CB                       ","520","          ","10/19/2019 12:00:00 AM","B/No303   ","","28","S.9       ","570708",""
"Tank E 30/1                   ","-120","          ","10/19/2019 12:00:00 AM","B/No303   ","","28","S.6       ","570709",""
"K10/1                         ","-400","          ","10/19/2019 12:00:00 AM","B/No303   ","","28","S.13                ","570710",""
"bitumen60-70                  ","0","          ","10/19/2019 12:00:00 AM","B/No303   ","","28","S.24                ","570711",""
"Tank CB                       ","-520","loosqty   ","10/19/2019 12:00:00 AM","REQ377    ","0","40","S.9       ","570712",""
"K10/1                         ","5000","fulqty    ","10/22/2019 12:00:00 AM","WRK284    ","0","26","S.13","570713",""
"Tank CB                       ","12000","          ","10/23/2019 12:00:00 AM","B/No304   ","","28","S.9       ","570714",""
"Tank E 30/1                   ","-8000","          ","10/23/2019 12:00:00 AM","B/No304   ","","28","S.6       ","570715",""
"K10/1                         ","-4800","          ","10/23/2019 12:00:00 AM","B/No304   ","","28","S.13                ","570716",""
"bitumen60-70                  ","0","          ","10/23/2019 12:00:00 AM","B/No304   ","","28","S.24                ","570717",""
"Tank E 30/2                   ","9500","          ","10/23/2019 12:00:00 AM","B/No305   ","","28","S.7       ","570718",""
"Tank E 30/1                   ","-6000","          ","10/23/2019 12:00:00 AM","B/No305   ","","28","S.6       ","570719",""
"K10/1                         ","0","          ","10/23/2019 12:00:00 AM","B/No305   ","","28","S.13                ","570720",""
"bitumen60-70                  ","0","          ","10/23/2019 12:00:00 AM","B/No305   ","","28","S.24                ","570721",""
"Tank CB                       ","-12000","loosqty   ","10/24/2019 12:00:00 AM","REQ378    ","0","40","S.9       ","570722",""
"Tank E 30/2                   ","-9500","loosqty   ","10/23/2019 12:00:00 AM","REQ379    ","0","40","S.7       ","570723",""
"Tank E 30/2                   ","13000","          ","10/20/2019 12:00:00 AM","B/No306   ","","28","S.7       ","570724",""
"Tank E 30/1                   ","-8500","          ","10/20/2019 12:00:00 AM","B/No306   ","","28","S.6       ","570725",""
"K10/1                         ","0","          ","10/20/2019 12:00:00 AM","B/No306   ","","28","S.13                ","570726",""
"bitumen60-70                  ","0","          ","10/20/2019 12:00:00 AM","B/No306   ","","28","S.24                ","570727",""
"Tank E 30/2                   ","-13000","loosqty   ","10/20/2019 12:00:00 AM","REQ380    ","0","40","S.7       ","570728",""
"Tank E 30/2                   ","13000","          ","10/19/2019 12:00:00 AM","B/No307   ","","28","S.7       ","570729",""
"Tank E 30/1                   ","-8500","          ","10/19/2019 12:00:00 AM","B/No307   ","","28","S.6       ","570730",""
"K10/1                         ","0","          ","10/19/2019 12:00:00 AM","B/No307   ","","28","S.13                ","570731",""
"bitumen60-70                  ","0","          ","10/19/2019 12:00:00 AM","B/No307   ","","28","S.24                ","570732",""
"Tank E 30/2                   ","-13000","loosqty   ","10/19/2019 12:00:00 AM","REQ381    ","0","40","S.7       ","570733",""
"Tank E 30/2                   ","5700","loosqty   ","8/6/2019 12:00:00 AM","WRK286    ","0","26","S.7       ","570734",""
"Tank E 30/2                   ","6000","loosqty   ","10/25/2019 12:00:00 AM","WRK287    ","0","26","S.7       ","570735",""
"Tank E 30/2                   ","-6000","loosqty   ","10/20/2019 12:00:00 AM","REQ382    ","0","40","S.7       ","570736",""
"Tank E 30/2                   ","-400","loosqty   ","9/17/2019 12:00:00 AM","REQ383    ","0","40","S.7       ","570737",""
"Tank E 30/2                   ","-5300","loosqty   ","9/23/2019 12:00:00 AM","REQ384    ","0","40","S.7       ","570738",""
"Tank E 30/1                   ","10500","          ","10/9/2019 12:00:00 AM","B/No308   ","","28","S.6       ","570739",""
"Tank E 30/1                   ","-6200","          ","10/9/2019 12:00:00 AM","B/No308   ","","28","S.6       ","570740",""
"K10/1                         ","0","          ","10/9/2019 12:00:00 AM","B/No308   ","","28","S.13                ","570741",""
"bitumen60-70                  ","0","          ","10/9/2019 12:00:00 AM","B/No308   ","","28","S.24                ","570742",""
"Tank E 30/1                   ","-10500","loosqty   ","10/9/2019 12:00:00 AM","REQ385    ","0","40","S.6       ","570743",""
"Tank E 30/1                   ","10300","          ","10/1/2019 12:00:00 AM","B/No309   ","","28","S.6       ","570744",""
"Tank E 30/1                   ","-6200","          ","10/1/2019 12:00:00 AM","B/No309   ","","28","S.6       ","570745",""
"K10/1                         ","0","          ","10/1/2019 12:00:00 AM","B/No309   ","","28","S.13                ","570746",""
"bitumen60-70                  ","0","          ","10/1/2019 12:00:00 AM","B/No309   ","","28","S.24                ","570747",""
"Tank E 30/1                   ","-10300","loosqty   ","10/1/2019 12:00:00 AM","REQ386    ","0","40","S.6       ","570748",""
"Tank E 30/1                   ","11000","          ","10/25/2019 12:00:00 AM","B/No310   ","","28","S.6       ","570749",""
"Tank E 30/1                   ","-6500","          ","10/25/2019 12:00:00 AM","B/No310   ","","28","S.6       ","570750",""
"K10/1                         ","0","          ","10/25/2019 12:00:00 AM","B/No310   ","","28","S.13                ","570751",""
"bitumen60-70                  ","0","          ","10/25/2019 12:00:00 AM","B/No310   ","","28","S.24                ","570752",""
"Tank E 30/1                   ","-11000","loosqty   ","10/26/2019 12:00:00 AM","REQ387    ","0","40","S.6       ","570753",""
"Tank 10/1                     ","250","fulqty    ","10/15/2019 12:00:00 AM","WRK288    ","0","26","S.8       ","570754",""
"Tank E 30/2                   ","11000","          ","10/31/2019 12:00:00 AM","B/No311   ","","28","S.7       ","570755",""
"Tank 10/1                     ","-7800","          ","10/31/2019 12:00:00 AM","B/No311   ","","28","S.8       ","570756",""
"K10/1                         ","0","          ","10/31/2019 12:00:00 AM","B/No311   ","","28","S.13                ","570757",""
"bitumen60-70                  ","0","          ","10/31/2019 12:00:00 AM","B/No311   ","","28","S.24                ","570758",""
