"Date","Documentno","Documenttype","Accountno","Grossamount","JournalNo","Dimension_One","Dimension_Two","Currency","Datewhenpaid"
"4/23/2019 12:00:00 AM","Rct646              ","12","Dr90670             ","-88000","Jv12097             ","","","KES",""
"3/30/2019 12:00:00 AM","Rct647              ","12","Dr609               ","-160800","Jv12098             ","","","KES",""
"4/16/2019 12:00:00 AM","Rct648              ","12","Dr609               ","-36000","Jv12099             ","","","KES",""
"4/16/2019 12:00:00 AM","Rct650              ","12","Dr609               ","-18000","Jv12100             ","","","KES",""
"4/24/2019 12:00:00 AM","INV806              ","10","Dr510693            ","1200000","Jv12108             ","          ","          ","KES","4/24/2019 12:00:00 AM"
"4/24/2019 12:00:00 AM","INV807              ","10","Dr457               ","925000","Jv12111             ","          ","          ","KES",""
"4/18/2019 12:00:00 AM","Rct651              ","12","Dr470683            ","-849470.75","Jv12114             ","","","KES",""
"4/25/2019 12:00:00 AM","INV808              ","10","Dr290678            ","162400","Jv12136             ","          ","          ","KES","4/29/2019 12:00:00 AM"
"4/26/2019 12:00:00 AM","INV809              ","10","Dr510694            ","400.07","Jv12151             ","          ","          ","KES",""
"4/26/2019 12:00:00 AM","INV810              ","10","Dr568               ","144000","Jv12166             ","          ","          ","KES","5/21/2019 12:00:00 AM"
"4/26/2019 12:00:00 AM","INV811              ","10","Dr470683            ","54000","Jv12170             ","          ","          ","KES","4/26/2019 12:00:00 AM"
"4/27/2019 12:00:00 AM","INV812              ","10","Dr510695            ","1800","Jv12173             ","          ","          ","KES","4/27/2019 12:00:00 AM"
"4/27/2019 12:00:00 AM","Rct652              ","12","Dr510695            ","-1800","Jv12174             ","","","KES",""
"4/29/2019 12:00:00 AM","INV813              ","10","Dr510696            ","48000","Jv12177             ","          ","          ","KES","4/29/2019 12:00:00 AM"
"4/29/2019 12:00:00 AM","INV814              ","10","Dr510696            ","49500","Jv12180             ","          ","          ","KES","4/29/2019 12:00:00 AM"
"4/29/2019 12:00:00 AM","Rvs49               ","13","Dr510696            ","-48000","Jv12182             ","SA01      ","          ","KES",""
"4/25/2019 12:00:00 AM","Rct653              ","12","Dr290678            ","-154000","Jv12183             ","","","KES",""
"4/29/2019 12:00:00 AM","Rvs50               ","13","Dr510696            ","-49500","Jv12185             ","SA01      ","          ","KES",""
"4/29/2019 12:00:00 AM","INV815              ","10","Dr510696            ","48000","Jv12188             ","          ","          ","KES","4/29/2019 12:00:00 AM"
"4/29/2019 12:00:00 AM","Rct654              ","12","Dr510696            ","-48000","Jv12189             ","","","KES",""
"4/29/2019 12:00:00 AM","2140                ","0","Dr290678            ","-8400","Jv12190             ","B01       ","          ","KES",""
"4/30/2019 12:00:00 AM","Rvs51               ","13","Dr568               ","-144000","Jv12199             ","          ","          ","KES",""
"4/30/2019 12:00:00 AM","INV816              ","10","Dr510696            ","16000","Jv12202             ","          ","          ","KES","5/2/2019 12:00:00 AM"
"5/2/2019 12:00:00 AM","Rct655              ","12","Dr533               ","-100000","Jv12203             ","","","KES",""
"5/2/2019 12:00:00 AM","INV817              ","10","Dr510696            ","32000","Jv12206             ","          ","          ","KES","5/3/2019 12:00:00 AM"
