"date","stname","doctyp","batch","itemcode","invref","netamt","vat","amount","fulqty","loosqty","price","curr_rat","stockvalue","store","journal","curr_cod","period","del","factory","jobcard","len","wid","sman","pkey","BQitemcode","dimension","PartPerUnit"
"11/11/2021 12:00:00 AM","Black Bituminous Paint  PF4                       ","19","","S.35                ","SO.2664             ","27840.00","3840.00","27840.0000","0.0000","-100.0000","240.00","","","1         ","Jv32500             ","","65","","","PL2213    ","","","","1729099","","","1"
"12/7/2021 12:00:00 AM","Stock Adjust                                      ","17","","S.136               ","471                 ","","","","0.0000","599.5000","127.60","","","1         ","Jv32513             ","","64","","","","","","","1729100","","","1"
"12/7/2021 12:00:00 AM","BLOWN BITUMEN 115/15                              ","19","","S.136               ","SO.2665             ","26680.00","3680.00","26680.0000","0.0000","-92.0000","250.00","","","1         ","Jv32518             ","","65","","","PL2215    ","","","","1729101","","","1"
"1/12/2022 12:00:00 AM","WHITE SPIRIT (LAWS)                               ","30","1013411             ","S.144               ","LPO1560             ","48384.00","3584.00","48384.0000","0.0000","400.0000","140.00","","","1         ","Jv32521             ","","65","","","GRN.1195  ","","","","1729103","","","1"
"1/20/2022 12:00:00 AM","180 kg Bitumen 60/70                              ","30","1013414             ","S.24                ","LPO1561             ","987525.00","136210.34","987525.0000","0.0000","12825.0000","66.38","","","1         ","Jv32527             ","","65","","","GRN.1196  ","","","","1729104","","","171"
"1/20/2022 12:00:00 AM","180 kg Bitumen 60/70                              ","30","1013417             ","S.24                ","LPO1562             ","406560.00","56077.24","406560.0000","0.0000","5280.0000","66.38","","","1         ","Jv32534             ","","65","","","GRN.1197  ","","","","1729105","","","176"
"1/15/2022 12:00:00 AM","Stock Adjust                                      ","17","","S.144               ","473                 ","","","","0.0000","-80.0000","146.55","","","1         ","Jv32560             ","","65","","","","","","","1729107","","","1"
"1/15/2022 12:00:00 AM","Stock Adjust                                      ","17","","S.87                ","474                 ","","","","0.0000","-60.0000","161.00","","","1         ","Jv32561             ","","65","","","","","","","1729108","","","1"
"1/15/2022 12:00:00 AM","Stock Adjust                                      ","17","","S.93                ","475                 ","","","","0.0000","-180.0000","95.12","","","1         ","Jv32566             ","","65","","","","","","","1729109","","","1"
"1/15/2022 12:00:00 AM","Stock Adjust                                      ","17","","S.60179             ","476                 ","","","","0.0000","1000.0000","440.80","","","1         ","Jv32567             ","","65","","","","","","","1729110","","","1"
"1/15/2022 12:00:00 AM","Stock Adjust                                      ","17","","S.160               ","477                 ","","","","0.0000","-39.2000","1250.00","","","1         ","Jv32568             ","","65","","","","","","","1729111","","","1"
