"entryno","documenttype","docdate","documentno","locationcode","stocktype","code","description","unitofmeasure","Quantity","Quantity_toinvoice","Qunatity_delivered","UnitPrice","vatamount","invoiceamount","completed","printed","containerprice","containersunits","totalchargedcontainers","containercode","vatrate","inclusive","UOM","shipping","PriceInPricelist","Increase","PartPerUnit","modified","Qunatity_replaced","packagescharge"
"2","1","10/21/2016 12:00:00 AM","SO107","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","50.00","12980.00","103840.00","752840.00","True","","0.00","50","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"3","1","10/21/2016 12:00:00 AM","SO108","","","S.7","K1-70  Emulsion (70% bidder content)              ","Drums     ","20.00","","20.00","16000.00","51200.00","371200.00","True","","0.00","0","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"4","1","10/21/2016 12:00:00 AM","SO108","","","S.9","MC-30 CutBack                                     ","Drums     ","5.00","","5.00","21000.00","16800.00","121800.00","True","","0.00","0","0.00","","16.00","False","fulqty","","","","200","","",""
"5","1","10/22/2016 12:00:00 AM","SO109","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","3.00","","3.00","15000.00","7200.00","52200.00","True","","0.00","3","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"6","1","10/22/2016 12:00:00 AM","SO110","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","50.00","14656.00","117248.00","850048.00","True","","0.00","50","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"7","10","10/22/2016 12:00:00 AM","INV59","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","","14656.00","117248.00","850048.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"8","10","10/22/2016 12:00:00 AM","INV60","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","3.00","","","15000.00","7200.00","52200.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"9","10","10/21/2016 12:00:00 AM","INV61","          ","","S.7","K1-70  Emulsion (70% bidder content)              ","Drums     ","20.00","","","16000.00","51200.00","371200.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"10","10","10/21/2016 12:00:00 AM","INV61","          ","","S.9","MC-30 CutBack                                     ","Drums     ","5.00","","","21000.00","16800.00","121800.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"11","10","10/21/2016 12:00:00 AM","INV62","          ","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","","12980.00","103840.00","752840.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"14","1","10/14/2016 12:00:00 AM","SO114","","","S.9                 ","MC-30 CutBack                                     ","Drums     ","2.00","","2.00","17400.00","5568.00","40368.00","True","","0.00","2","0.00","","16.00","False","fulqty","","","","200","","",""
"15","10","10/14/2016 12:00:00 AM","INV64","          ","","S.9                 ","MC-30 CutBack                                     ","Drums     ","2.00","","","17400.00","5568.00","40368.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"16","1","10/24/2016 12:00:00 AM","SO115","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","50.00","13300.00","106400.00","771400.00","True","","0.00","50","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"17","10","10/24/2016 12:00:00 AM","INV65","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","","13300.00","106400.00","771400.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"18","1","10/26/2016 12:00:00 AM","SO118","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","1.00","","1.00","15000.00","2400.00","17400.00","True","","0.00","1","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"19","1","10/26/2016 12:00:00 AM","SO121","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","50.00","13300.00","106400.00","771400.00","True","","0.00","50","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"21","10","10/26/2016 12:00:00 AM","INV67","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","","13300.00","106400.00","771400.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"22","1","10/26/2016 12:00:00 AM","SO122","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","","13600.00","108800.00","788800.00","","","0.00","0","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"23","1","10/26/2016 12:00:00 AM","SO123","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","50.00","13600.00","108800.00","788800.00","True","","0.00","50","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"24","10","10/26/2016 12:00:00 AM","INV68","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","","13600.00","108800.00","788800.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"27","1","10/28/2016 12:00:00 AM","SO126","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","1.00","","1.00","12932.00","2068.96","14999.98","True","","0.00","1","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"28","10","10/28/2016 12:00:00 AM","INV70","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","1.00","","","12932.00","2068.96","14999.98","","","","","","","16.00","False","fulqty","","","","200","","",""
"29","1","10/29/2016 12:00:00 AM","SO129","","","S.9                 ","MC-30 CutBack                                     ","Drums     ","2.00","","2.00","16400.00","5248.00","38048.00","True","","0.00","0","0.00","","16.00","False","fulqty","","","","200","","",""
"30","10","10/29/2016 12:00:00 AM","INV71","          ","","S.9                 ","MC-30 CutBack                                     ","Drums     ","2.00","","","16400.00","5248.00","38048.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"12","1","10/15/2016 12:00:00 AM","SO113","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","15.00","","15.00","14000.00","33600.00","243600.00","True","","0.00","15","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"13","10","10/15/2016 12:00:00 AM","INV63","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","15.00","","","14000.00","33600.00","243600.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"20","10","10/26/2016 12:00:00 AM","INV66","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","1.00","","","15000.00","2400.00","17400.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"34","10","11/1/2016 12:00:00 AM","INV73","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","","13300.00","106400.00","771400.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"35","1","10/25/2016 12:00:00 AM","SO134","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","28.00","","28.00","14656.00","65658.88","476026.88","True","","0.00","28","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"36","1","10/25/2016 12:00:00 AM","SO134","","","S.16","183 kgs Bitumen 80/100                            ","Drums     ","22.00","","22.00","10253.49","36092.28","261669.06","True","","0.00","0","0.00","","16.00","False","fulqty","","","","183","","",""
"41","1","11/2/2016 12:00:00 AM","SO136","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","10.00","","10.00","14000.00","22400.00","162400.00","True","","0.00","10","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"42","1","11/2/2016 12:00:00 AM","SO136","","","S.9                 ","MC-30 CutBack                                     ","Drums     ","15.00","","15.00","21000.00","50400.00","365400.00","True","","0.00","15","0.00","","16.00","False","fulqty","","","","200","","",""
"50","10","10/26/2016 12:00:00 AM","INV78","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","10.00","","","14000.00","22400.00","162400.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"51","1","11/2/2016 12:00:00 AM","SO139","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","50.00","13300.00","106400.00","771400.00","True","","0.00","50","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"52","10","11/2/2016 12:00:00 AM","INV79","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","","13300.00","106400.00","771400.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"54","1","11/4/2016 12:00:00 AM","SO141","","","S.16","183.5 KG Drummed Bitumen 80/100                   ","Drums     ","10.00","","10.00","14404.75","23047.60","167095.10","True","","0.00","10","0.00","","16.00","False","fulqty","","","","183.5","","",""
"55","10","11/4/2016 12:00:00 AM","INV80","          ","","S.16","183.5 KG Drummed Bitumen 80/100                   ","Drums     ","10.00","","","14404.75","23047.60","167095.10","","","","","","","16.00","False","fulqty","","","","183.5","","",""
"56","1","11/7/2016 12:00:00 AM","SO142","","","S.16","183 kgs Bitumen 80/100                            ","Drums     ","40.00","","40.00","10253.49","65627.58","475799.98","True","","0.00","0","0.00","","16.00","False","fulqty","","","","183","","",""
"57","1","11/7/2016 12:00:00 AM","SO142","","","S.9                 ","MC-30 CutBack                                     ","Drums     ","5.00","","5.00","20800.00","16640.00","120640.00","True","","0.00","5","0.00","","16.00","False","fulqty","","","","200","","",""
"58","1","11/7/2016 12:00:00 AM","SO142","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","5.00","","5.00","14900.00","11920.00","86420.00","True","","0.00","5","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"59","10","11/7/2016 12:00:00 AM","INV81","          ","","S.16","183 kgs Bitumen 80/100                            ","Drums     ","40.00","","","10253.49","65622.34","475761.94","","","","","","","16.00","False","fulqty","","","","183","","",""
"60","10","11/7/2016 12:00:00 AM","INV81","          ","","S.9                 ","MC-30 CutBack                                     ","Drums     ","5.00","","","20800.00","16640.00","120640.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"61","10","11/7/2016 12:00:00 AM","INV81","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","5.00","","","14900.00","11920.00","86420.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"62","1","11/10/2016 12:00:00 AM","SO143","","","S.16","183 kgs Bitumen 80/100                            ","Drums     ","20.00","","20.00","9938.73","31804.11","230579.81","True","","0.00","0","0.00","","16.00","False","fulqty","","","","183","","",""
"63","10","11/10/2016 12:00:00 AM","INV82","          ","","S.16","183 kgs Bitumen 80/100                            ","Drums     ","20.00","","","9938.73","31804.11","230579.81","","","","","","","16.00","False","fulqty","","","","183","","",""
"64","1","11/12/2016 12:00:00 AM","SO144","","","S.9                 ","MC-30 CutBack                                     ","litres    ","20.00","","20.00","105.00","336.00","2436.00","True","","0.00","0","0.00","","16.00","False","loosqty","","","","1","","",""
"65","10","11/12/2016 12:00:00 AM","INV83","          ","","S.9                 ","MC-30 CutBack                                     ","litres    ","20.00","","","105.00","336.00","2436.00","","","","","","","16.00","False","loosqty","","","","1","","",""
"25","1","10/28/2016 12:00:00 AM","SO125","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","3.00","","3.00","13794.00","6620.69","47999.99","True","","0.00","3","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"26","10","10/28/2016 12:00:00 AM","INV69","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","3.00","","","13794.00","6620.69","47999.99","","","","","","","16.00","False","fulqty","","","","200","","",""
"33","1","11/1/2016 12:00:00 AM","SO133","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","50.00","13300.00","106400.00","771400.00","True","","0.00","50","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"37","10","10/25/2016 12:00:00 AM","INV74","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","28.00","","","14656.00","65658.88","476026.88","","","","","","","16.00","False","fulqty","","","","200","","",""
"38","10","10/25/2016 12:00:00 AM","INV74","          ","","S.16","183 kgs Bitumen 80/100                            ","Drums     ","22.00","","","10253.49","36092.28","261669.06","","","","","","","16.00","False","fulqty","","","","183","","",""
"39","1","10/15/2016 12:00:00 AM","SO135","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","28.00","","28.00","13000.00","58240.00","422240.00","True","","0.00","28","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"40","10","10/15/2016 12:00:00 AM","INV75","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","28.00","","","13000.00","58240.00","422240.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"49","1","10/26/2016 12:00:00 AM","SO138","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","10.00","","10.00","14000.00","22400.00","162400.00","True","","0.00","10","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"75","1","11/7/2016 12:00:00 AM","SO150","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","1.00","","1.00","14000.00","2240.00","16240.00","True","","0.00","1","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"76","10","11/7/2016 12:00:00 AM","INV87","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","1.00","","","14000.00","2408.00","17458.00","","","","","","","16.00","False","fulqty","1050","","","200","","",""
"92","10","11/26/2016 12:00:00 AM","INV93","          ","","S.9                 ","MC-30 CutBack                                     ","Drums     ","10.00","","","20800.00","33280.00","241280.00","","","","","","","16.00","False","fulqty","0","","","200","","",""
"93","1","11/28/2016 12:00:00 AM","SO159","","","S.103               ","BITUSHIELD NO 5                                   ","litres    ","200.00","","200.00","226.29","7241.38","52500.00","True","","0.00","200","0.00","","16.00","False","loosqty","","","","1","","",""
"116","1","12/1/2016 12:00:00 AM","SO165","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","2.00","","2.00","13362.00","4275.84","30999.84","True","","0.00","2","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"117","1","12/1/2016 12:00:00 AM","SO165","","","S.9                 ","MC-30 CutBack                                     ","Drums     ","1.00","","1.00","16810.00","2689.67","19500.09","True","","0.00","1","0.00","","16.00","False","fulqty","","","","200","","",""
"118","10","12/1/2016 12:00:00 AM","INV101","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","2.00","","","13362.00","4275.84","30999.84","","","","","","","16.00","False","fulqty","0","","","200","","",""
"119","10","12/1/2016 12:00:00 AM","INV101","          ","","S.9                 ","MC-30 CutBack                                     ","Drums     ","1.00","","","16810.00","2689.66","19500.06","","","","","","","16.00","False","fulqty","0","","","200","","",""
"10087","1","12/2/2016 12:00:00 AM","SO166","","","S.9                 ","MC-30 CutBack                                     ","Drums     ","30.00","","30.00","15518.00","74482.76","540000.00","True","","0.00","30","0.00","","16.00","False","fulqty","","","","200","","",""
"10088","10","12/2/2016 12:00:00 AM","INV102","          ","","S.9                 ","MC-30 CutBack                                     ","Drums     ","30.00","","","15518.00","74482.76","540000.00","","","","","","","16.00","False","fulqty","0","","","200","","",""
"10089","1","12/5/2016 12:00:00 AM","SO167","","","S.9                 ","MC-30 CutBack                                     ","Drums     ","1.00","","1.00","16400.00","2624.00","19024.00","True","","0.00","1","0.00","","16.00","False","fulqty","","","","200","","",""
"10090","10","12/5/2016 12:00:00 AM","INV103","          ","","S.9                 ","MC-30 CutBack                                     ","Drums     ","1.00","","","16400.00","2624.00","19024.00","","","","","","","16.00","False","fulqty","0","","","200","","",""
"10091","1","12/6/2016 12:00:00 AM","SO168","","","S.9                 ","MC-30 CutBack                                     ","Drums     ","5.00","","5.00","16380.00","13103.45","95000.00","True","","0.00","5","0.00","","16.00","False","fulqty","","","","200","","",""
"10092","1","12/6/2016 12:00:00 AM","SO168","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","3.00","","3.00","13362.00","6413.79","46500.00","True","","0.00","3","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"10093","10","12/6/2016 12:00:00 AM","INV104","          ","","S.9                 ","MC-30 CutBack                                     ","Drums     ","5.00","","","16380.00","13103.45","95000.00","","","","","","","16.00","False","fulqty","0","","","200","","",""
"31","1","10/31/2016 12:00:00 AM","SO132","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","1.00","","1.00","13104.00","2096.55","15199.99","True","","0.00","1","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"32","10","10/31/2016 12:00:00 AM","INV72","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","1.00","","","13104.00","2096.55","15199.99","","","","","","","16.00","False","fulqty","","","","200","","",""
"45","10","11/2/2016 12:00:00 AM","INV76","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","10.00","","","14000.00","22400.00","162400.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"46","10","11/2/2016 12:00:00 AM","INV76","          ","","S.9                 ","MC-30 CutBack                                     ","Drums     ","15.00","","","21000.00","50400.00","365400.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"47","1","10/29/2016 12:00:00 AM","SO137","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","28.00","","28.00","13000.00","58240.00","422240.00","True","","0.00","28","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"48","10","10/29/2016 12:00:00 AM","INV77","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","28.00","","","13000.00","58240.00","422240.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"103","10","11/28/2016 12:00:00 AM","INV95","          ","","S.103               ","BITUSHIELD NO 5                                   ","litres    ","200.00","","","226.29","7241.28","52499.28","","","","","","","16.00","False","loosqty","0","","","1","","",""
"114","10","12/1/2016 12:00:00 AM","INV100","          ","","S.16","183 kgs Bitumen 80/100                            ","Drums     ","10.00","","","9938.73","15901.97","115289.27","","","","","","","16.00","False","fulqty","0","","","183","","",""
"115","10","12/1/2016 12:00:00 AM","INV100","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","1.00","","","13794.00","2207.04","16001.04","","","","","","","16.00","False","fulqty","0","","","200","","",""
"10094","10","12/6/2016 12:00:00 AM","INV104","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","3.00","","","13362.00","6413.79","46500.00","","","","","","","16.00","False","fulqty","0","","","200","","",""
"10095","1","12/6/2016 12:00:00 AM","SO169","","","S.9                 ","MC-30 CutBack                                     ","Drums     ","2.00","","2.00","18104.00","5793.09","41999.89","True","","0.00","2","0.00","","16.00","False","fulqty","","","","200","","",""
"10096","10","12/6/2016 12:00:00 AM","INV105","          ","","S.9                 ","MC-30 CutBack                                     ","Drums     ","2.00","","","18104.00","5793.09","41999.89","","","","","","","16.00","False","fulqty","0","","","200","","",""
"10097","1","12/6/2016 12:00:00 AM","SO170","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","35.00","","35.00","11206.00","62758.62","454999.98","True","","0.00","35","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"10098","1","12/6/2016 12:00:00 AM","SO170","","","S.9                 ","MC-30 CutBack                                     ","Drums     ","15.00","","15.00","14800.00","35520.00","257520.00","True","","0.00","15","0.00","","16.00","False","fulqty","","","","200","","",""
"10099","10","12/6/2016 12:00:00 AM","INV106","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","35.00","","","11206.00","62758.62","454999.98","","","","","","","16.00","False","fulqty","0","","","200","","",""
"10100","10","12/6/2016 12:00:00 AM","INV106","          ","","S.9                 ","MC-30 CutBack                                     ","Drums     ","15.00","","","14800.00","35520.00","257520.00","","","","","","","16.00","False","fulqty","0","","","200","","",""
"10101","1","12/7/2016 12:00:00 AM","SO172","","","S.7                 ","K1-70  Emulsion (70% bidder content)              ","Drums     ","20.00","","20.00","14656.00","46896.51","339999.71","True","","0.00","0","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"10102","1","11/28/2016 12:00:00 AM","SO173","","","S.16","183 kgs Bitumen 80/100                            ","Drums     ","45.00","","45.00","7759.20","55862.02","404999.67","True","","0.00","0","0.00","","16.00","False","fulqty","","","","183","","",""
"10103","10","11/28/2016 12:00:00 AM","INV107","          ","","S.16","183 kgs Bitumen 80/100                            ","Drums     ","45.00","","","7759.20","55866.24","405030.24","","","","","","","16.00","False","fulqty","0","","","183","","",""
"10104","1","11/28/2016 12:00:00 AM","SO174","","","S.16","183 kgs Bitumen 80/100                            ","Drums     ","45.00","","45.00","7759.20","55862.02","404999.67","True","","0.00","0","0.00","","16.00","False","fulqty","","","","183","","",""
"10105","10","11/28/2016 12:00:00 AM","INV108","          ","","S.16","183 kgs Bitumen 80/100                            ","Drums     ","45.00","","","7759.20","55862.02","404999.67","","","","","","","16.00","False","fulqty","0","","","183","","",""
"10106","10","12/7/2016 12:00:00 AM","INV109","          ","","S.7                 ","K1-70  Emulsion (70% bidder content)              ","Drums     ","20.00","","","14656.00","46896.51","339999.71","","","","","","","16.00","False","fulqty","0","","","200","","",""
"10107","1","12/7/2016 12:00:00 AM","SO175","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","1.00","","1.00","13000.00","2080.00","15080.00","True","","0.00","0","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"66","1","11/12/2016 12:00:00 AM","SO145","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","3.00","","3.00","14000.00","6720.00","48720.00","True","","0.00","3","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"67","10","11/12/2016 12:00:00 AM","INV84","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","3.00","","","14000.00","6720.00","48720.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"1563173","10","6/23/2021 12:00:00 AM","INV1665","","","S.103","BITUSHIELD NO 5                                   ","Tins      ","80.00","","","705.00","9024.00","65424.00","","","","","0.00","","16.00","False","","0","1500","-795","4","","",""
"1563174","10","6/23/2021 12:00:00 AM","INV1665","","","S.103","BITUSHIELD NO 5                                   ","bucket    ","20.00","","","3530.00","11296.00","81896.00","","","","","0.00","","16.00","False","","0","3707","-177","20","","",""
"70","1","11/7/2016 12:00:00 AM","SO148","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","1.00","","1.00","14000.00","2240.00","16240.00","True","","0.00","1","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"74","10","11/7/2016 12:00:00 AM","INV86","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","1.00","","","14000.00","2408.00","17458.00","","","","","","","16.00","False","fulqty","1050","","","200","","",""
"72","1","11/14/2016 12:00:00 AM","SO149","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","4.00","","4.00","13362.00","8551.68","61999.68","True","","0.00","4","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"73","10","11/14/2016 12:00:00 AM","INV85","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","4.00","","","13362.00","8551.68","61999.68","","","","","","","16.00","False","fulqty","","","","200","","",""
"77","1","11/17/2016 12:00:00 AM","SO151","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","2.00","","2.00","13000.00","4160.00","30160.00","True","","0.00","2","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"78","10","11/17/2016 12:00:00 AM","INV88","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","2.00","","","13000.00","4160.00","30160.00","","","","","","","16.00","False","fulqty","0","","","200","","",""
"79","1","11/17/2016 12:00:00 AM","SO152","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","20.00","","20.00","14000.00","44800.00","324800.00","True","","0.00","20","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"80","1","11/17/2016 12:00:00 AM","SO152","","","S.16","183.5 KG Drummed Bitumen 80/100                   ","Drums     ","20.00","","20.00","14404.75","46095.20","334190.20","True","","0.00","0","0.00","","16.00","False","fulqty","","","","183.5","","",""
"81","10","11/17/2016 12:00:00 AM","INV89","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","20.00","","","14000.00","44800.00","324800.00","","","","","","","16.00","False","fulqty","0","","","200","","",""
"82","10","11/17/2016 12:00:00 AM","INV89","          ","","S.16","183.5 KG Drummed Bitumen 80/100                   ","Drums     ","20.00","","","14404.75","46095.20","334190.20","","","","","","","16.00","False","fulqty","0","","","183.5","","",""
"83","1","11/22/2016 12:00:00 AM","SO153","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","50.00","12980.00","103840.00","752840.00","True","","0.00","50","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"84","10","11/22/2016 12:00:00 AM","INV90","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","","12980.00","103840.00","752840.00","","","","","","","16.00","False","fulqty","0","","","200","","",""
"85","1","11/24/2016 12:00:00 AM","SO155","","","S.35                ","Black Bituminous Paint  PF4                       ","litres    ","40.00","","40.00","172.41","1103.45","8000.00","True","","0.00","40","0.00","","16.00","False","loosqty","","","","1","","",""
"86","10","11/24/2016 12:00:00 AM","INV91","          ","","S.35                ","Black Bituminous Paint  PF4                       ","litres    ","40.00","","","172.41","1103.45","8000.00","","","","","","","16.00","False","loosqty","0","","","1","","",""
"87","1","11/25/2016 12:00:00 AM","SO156","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","3.00","","3.00","13362.00","6413.79","46499.97","True","","0.00","3","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"88","1","11/25/2016 12:00:00 AM","SO156","","","S.9                 ","MC-30 CutBack                                     ","Drums     ","7.00","","7.00","16380.00","18344.85","133000.17","True","","0.00","7","0.00","","16.00","False","fulqty","","","","200","","",""
"89","10","11/25/2016 12:00:00 AM","INV92","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","3.00","","","13362.00","6413.79","46500.00","","","","","","","16.00","False","fulqty","0","","","200","","",""
"90","10","11/25/2016 12:00:00 AM","INV92","          ","","S.9                 ","MC-30 CutBack                                     ","Drums     ","7.00","","","16380.00","18344.83","133000.00","","","","","","","16.00","False","fulqty","0","","","200","","",""
"91","1","11/26/2016 12:00:00 AM","SO157","","","S.9                 ","MC-30 CutBack                                     ","Drums     ","10.00","","10.00","20800.00","33280.00","241280.00","True","","0.00","10","0.00","","16.00","False","fulqty","","","","200","","",""
"104","1","11/25/2016 12:00:00 AM","SO160","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","5.00","","5.00","11206.00","8965.50","64999.90","True","","0.00","5","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"105","10","11/25/2016 12:00:00 AM","INV96","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","5.00","","","11206.00","8965.50","64999.90","","","","","","","16.00","False","fulqty","0","","","200","","",""
"106","1","11/29/2016 12:00:00 AM","SO161","","","S.9                 ","MC-30 CutBack                                     ","Drums     ","2.00","","2.00","18104.00","5793.10","41999.98","True","","0.00","2","0.00","","16.00","False","fulqty","","","","200","","",""
"107","10","11/29/2016 12:00:00 AM","INV97","          ","","S.9                 ","MC-30 CutBack                                     ","Drums     ","2.00","","","18104.00","5793.10","41999.98","","","","","","","16.00","False","fulqty","0","","","200","","",""
"108","1","11/30/2016 12:00:00 AM","SO162","","","S.136               ","BLOWN BITUMEN 115/15                              ","kgs       ","40.00","","40.00","172.41","1103.45","8000.00","True","","0.00","0","0.00","","16.00","False","fulqty","","","","1","","",""
"109","10","11/30/2016 12:00:00 AM","INV98","          ","","S.136               ","BLOWN BITUMEN 115/15                              ","kgs       ","40.00","","","172.41","1103.45","8000.00","","","","","","","16.00","False","fulqty","0","","","1","","",""
