"entryno","documenttype","docdate","documentno","locationcode","stocktype","code","description","unitofmeasure","Quantity","Quantity_toinvoice","Qunatity_delivered","UnitPrice","vatamount","invoiceamount","completed","printed","containerprice","containersunits","totalchargedcontainers","containercode","vatrate","inclusive","UOM","shipping","PriceInPricelist","Increase","PartPerUnit","modified","Qunatity_replaced","packagescharge"
"1576783","10","3/19/2022 12:00:00 AM","INV.2340","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","30.00","","","16810.35","80690.00","585000.00","","","","","0.00","S.15","16.00","False","","0","14000","2810.35","200","","",""
"1576784","1","3/19/2022 12:00:00 AM","SO.2863","","","S.9","MC-30 CutBack                                     ","Drums     ","50.00","","50.00","21034.48","168275.86","1219999.96","","","0.00","50","0.00","S.15","16.00","False","","","20600","434.48","200","50","",""
"1576785","16","3/19/2022 12:00:00 AM","SL609","","","S.9","MC-30 CutBack                                     ","Drums     ","50.00","","","21034.48","168275.86","1219999.96","","","0.00","50","0.00","S.15","16.00","False","","","20600","434.48","200","","",""
"1576786","19","3/19/2022 12:00:00 AM","PL2358","","","S.9","MC-30 CutBack                                     ","Drums     ","50.00","","","21034.48","168275.86","1219999.96","","","0.00","50","0.00","S.15","16.00","False","","","20600","434.48","200","","",""
"1576787","10","3/19/2022 12:00:00 AM","INV.2341","","","S.9","MC-30 CutBack                                     ","Drums     ","50.00","","","21034.48","168276.00","1220000.00","","","","","0.00","S.15","16.00","False","","0","20600","434.48","200","","",""
"1576788","1","3/21/2022 12:00:00 AM","SO.2864","","","S.35","Black Bituminous Paint  PF4                       ","bucket    ","2.00","","2.00","5603.45","1793.10","13000.00","","","0.00","2","0.00","S.90","16.00","False","","","5172.4136","431.0364","20","2","",""
"1576789","16","3/21/2022 12:00:00 AM","SL610","","","S.35","Black Bituminous Paint  PF4                       ","bucket    ","2.00","","","5603.45","1793.10","13000.00","","","0.00","2","0.00","S.90","16.00","False","","","5172.4136","431.0364","20","","",""
"1576790","1","3/21/2022 12:00:00 AM","SO.2865","","","S.103","BITUSHIELD TYPE 5                                 ","bucket    ","10.00","","10.00","4181.03","6689.66","48500.00","","","0.00","10","0.00","S.90","16.00","False","","","3707","474.03","20","10","",""
"1576791","16","3/21/2022 12:00:00 AM","SL611","","","S.103","BITUSHIELD TYPE 5                                 ","bucket    ","10.00","","","4181.03","6689.66","48500.00","","","0.00","10","0.00","S.90","16.00","False","","","3707","474.03","20","","",""
"1576792","19","3/21/2022 12:00:00 AM","PL2359","","","S.103","BITUSHIELD TYPE 5                                 ","bucket    ","10.00","","","4181.03","6689.66","48500.00","","","0.00","10","0.00","S.90","16.00","False","","","3707","474.03","20","","",""
"1576793","10","3/21/2022 12:00:00 AM","INV.2342","","","S.103","BITUSHIELD TYPE 5                                 ","bucket    ","10.00","","","4181.03","6690.00","48500.00","","","","","0.00","S.90","16.00","False","","0","3707","474.03","20","","",""
"1576794","19","3/21/2022 12:00:00 AM","PL2360","","","S.35","Black Bituminous Paint  PF4                       ","bucket    ","2.00","","","5603.45","1793.10","13000.00","","","0.00","2","0.00","S.90","16.00","False","","","5172.4136","431.0364","20","","",""
"1576795","10","3/21/2022 12:00:00 AM","INV.2343","","","S.35","Black Bituminous Paint  PF4                       ","bucket    ","2.00","","","5603.45","1793.00","13000.00","","","","","0.00","S.90","16.00","False","","0","5172.4136","431.0364","20","","",""
