"date","details","cleared","flag","invref","acctfolio","allocat","amount","pamount","module","type","cash","del","curr_cod","curr_rat","id","i_n_t","period","journal","typ","sns","vatamt","vatc","pkey","systypes_1","ledger"
"11/17/2020 12:00:00 AM","Receipt                                                                                             ","","DR    ","Rct1707             ","Dr20653             ","","-18500","0","","","","","KES       ","","","R","51","Jv31561             ","_W","","0","","756865","12","02Ac00126           "
"12/4/2021 12:00:00 AM","K1-60 Emulsion (60% bidder content)                                                                 ","","I     ","INV.2107            ","Dr510688            ","","1770000","0","","","","","KES       ","","","I","64","Jv31586             ","r ","","244138","","756866","10","General             "
"11/29/2019 12:00:00 AM","Receipt  2911                                                                                       ","","DR    ","Rct1708             ","Dr533               ","","-46084","0","","","","","KES       ","","","R","39","Jv31638             ","_W","","0","","756867","12","02Ac00126           "
"12/16/2019 12:00:00 AM","Receipt  997                                                                                        ","","DR    ","Rct1709             ","Dr369               ","","-100500","0","","","","","KES       ","","","R","40","Jv31655             ","_W","","0","","756868","12","02Ac00126           "
"12/14/2021 12:00:00 AM","BITUSHIELD NO. 3                                                                                    ","","I     ","INV.2108            ","Dr510805            ","","4200","0","","","","","KES       ","","","I","64","Jv31665             ","r ","","579","","756869","10","General             "
"12/14/2021 12:00:00 AM","BITUSHIELD NO 5                                                                                     ","","I     ","INV.2108            ","Dr510805            ","","8800","0","","","","","KES       ","","","I","64","Jv31665             ","r ","","1214","","756870","10","General             "
"12/14/2021 12:00:00 AM","Receipt                                                                                             ","","DR    ","Rct1710             ","Dr510805            ","","-12400","0","","","","","KES       ","","","R","64","Jv31667             ","_W","","0","","756871","12","02Ac00126           "
"12/14/2021 12:00:00 AM","BITUSHIELD NO 5                                                                                     ","","I     ","INV.2109            ","Dr510939            ","","156000","0","","","","","KES       ","","","I","64","Jv31688             ","r ","","21517","","756872","10","General             "
"12/14/2021 12:00:00 AM","Receipt                                                                                             ","","DR    ","Rct1711             ","Dr510939            ","","-156000","0","","","","","KES       ","","","R","64","Jv31689             ","_W","","0","","756873","12","02Ac00126           "
"11/27/2021 12:00:00 AM","K1-70  Emulsion (70% bidder content)                                                                ","","I     ","INV.2111            ","Dr510804            ","","900000","0","","","","","KES       ","","","I","63","Jv31700             ","r ","","124138","","756882","10","General             "
"12/15/2021 12:00:00 AM","BITUSHIELD NO 7                                                                                     ","","I     ","INV.2112            ","Dr510805            ","","5750","0","","","","","KES       ","","","I","64","Jv31708             ","r ","","793","","756897","10","General             "
"12/15/2021 12:00:00 AM","A4-60(ANIONIC EMULSION)                                                                             ","","I     ","INV.2113            ","Dr510940            ","","31999","0","","","","","KES       ","","","I","64","Jv31711             ","r ","","4414","","756898","10","General             "
"12/15/2021 12:00:00 AM","Receipt                                                                                             ","","DR    ","Rct1713             ","Dr510940            ","","-32000","0","","","","","KES       ","","","R","64","Jv31712             ","_W","","0","","756899","12","02Ac00126           "
"12/15/2021 12:00:00 AM","Receipt                                                                                             ","","DR    ","Rct1714             ","Dr510805            ","","-5750","0","","","","","KES       ","","","R","64","Jv31713             ","_W","","0","","756900","12","02Ac00126           "
"12/15/2021 12:00:00 AM","K1-60 Emulsion (60% bidder content)                                                                 ","","I     ","INV.2114            ","Dr510941            ","","1780","0","","","","","KES       ","","","I","64","Jv31718             ","r ","","246","","756901","10","General             "
"12/2/2021 12:00:00 AM","Receipt                                                                                             ","","DR    ","Rct1715             ","Dr510780            ","","-158000","0","","","","","KES       ","","","R","64","Jv31719             ","_W","","0","","756902","12","02Ac00126           "
"11/26/2021 12:00:00 AM","K1-70  Emulsion (70% bidder content)                                                                ","","I     ","INV.2110            ","Dr510751            ","","860000","0","","","","","KES       ","","","I","63","Jv31697             ","r ","","118621","","756881","10","General             "
"12/16/2021 12:00:00 AM","Black Bituminous Paint  PF4                                                                         ","","I     ","INV.2116            ","Dr593               ","","18000","0","","","","","KES       ","","","I","64","Jv31732             ","r ","","2483","","756915","10","General             "
"11/29/2021 12:00:00 AM","K1-70  Emulsion (70% bidder content)                                                                ","","I     ","Rvs119              ","Dr510819            ","","-17348.28","0","","","","","KES       ","","","I","63","Jv31734             ","r ","","-17348.28","","756923","13","General             "
"11/29/2021 12:00:00 AM","K1-70  Emulsion (70% bidder content)                                                                ","","I     ","Rvs119              ","Dr510819            ","","-96551.75","0","","","","","KES       ","","","I","63","Jv31734             ","r ","","-96551.75","","756924","13","General             "
"11/29/2021 12:00:00 AM","K1-70  Emulsion (70% bidder content)                                                                ","","I     ","Rvs119              ","Dr510819            ","","-30896.56","0","","","","","KES       ","","","I","63","Jv31734             ","r ","","-30896.56","","756925","13","General             "
"11/29/2021 12:00:00 AM","K1-70  Emulsion (70% bidder content)                                                                ","","I     ","Rvs119              ","Dr510819            ","","-38620.7","0","","","","","KES       ","","","I","63","Jv31734             ","r ","","-38620.7","","756926","13","General             "
"11/29/2021 12:00:00 AM","K1-70  Emulsion (70% bidder content)                                                                ","","I     ","Rvs119              ","Dr510819            ","","-48275.88","0","","","","","KES       ","","","I","63","Jv31734             ","r ","","-48275.88","","756927","13","General             "
"11/29/2021 12:00:00 AM","K1-70  Emulsion (70% bidder content)                                                                ","","I     ","Rvs119              ","Dr510819            ","","-57931.06","0","","","","","KES       ","","","I","63","Jv31734             ","r ","","-57931.06","","756928","13","General             "
"12/3/2021 12:00:00 AM","Receipt                                                                                             ","","DR    ","Rct1716             ","Dr510780            ","","-213000","0","","","","","KES       ","","","R","64","Jv31720             ","_W","","0","","756903","12","02Ac00126           "
"10/25/2021 12:00:00 AM","Receipt                                                                                             ","","DR    ","Rct1717             ","Dr510771            ","","-160000","0","","","","","KES       ","","","R","62","Jv31721             ","_W","","0","","756904","12","02Ac00126           "
