"documenttype","documentno","docdate","oderdate","duedate","postingdate","vendorcode","vendorname","yourreference","externaldocumentno","locationcode","paymentterms","postinggroup","currencycode","printed","released","status","userid","period","entryno","vatinclusive","Dimension_1","Dimension_2","freight"
"21","DN.17","10/16/2021 12:00:00 AM","","","10/21/2021 12:00:00 AM","cr190693","ASL PACKAGING LIMITED","DEL/INV NO 45540","PINV.1063","","","General             ","KES       ","0","0","2","admin               ","62","1012781","False","","",""
"21","DN.19","10/9/2021 12:00:00 AM","","","10/21/2021 12:00:00 AM","cr190661","SPECTA ENERGY LTD","GRN 2048","PINV.1059","","","General             ","KES       ","0","0","2","admin               ","62","1012785","False","","",""
"21","DN.21","10/5/2021 12:00:00 AM","","","10/27/2021 12:00:00 AM","cr190661","SPECTA ENERGY LTD","GRN.2036","PINV.1048","","","General             ","KES       ","0","0","2","admin               ","62","1012817","False","","",""
"21","DN.22","12/6/2021 12:00:00 AM","","","12/28/2021 12:00:00 AM","cr528","CORRUGATED SHEETS LIMITED","300058935","PINV.1134","","","General             ","KES       ","0","0","2","Rose                ","64","1013024","False","","",""
"21","DN.23","2/11/2022 12:00:00 AM","","","2/11/2022 12:00:00 AM","cr411","OILIBYA  COMPANY","INV 7746","PINV.1163","","","General             ","KES       ","0","0","2","Lucybriate          ","66","1013122","False","","",""
"21","DN.24","3/12/2022 12:00:00 AM","","","4/21/2022 12:00:00 AM","cr190730","GOODNIGHT","DLV 2254","PINV.1214","","","notvat              ","KES       ","0","0","2","Lucybriate          ","68","1013400","True","","",""
"21","DN.25","3/6/2023 12:00:00 AM","","","3/10/2023 12:00:00 AM","cr40608","IMCD KENYA LIMITED","INV 31526","INV-1410","","","General             ","KES       ","0","0","2","Sarah               ","79","1014022","False","","",""
"21","DN12","7/10/2020 12:00:00 AM","","","7/14/2020 12:00:00 AM","cr190633","COLAS EAST AFRICA LTD","INA65082","PINV556","","","General             ","KES       ","0","0","2","admin               ","47","1011167","True","","",""
"21","DN13","7/28/2020 12:00:00 AM","","","7/29/2020 12:00:00 AM","cr483","LYDIA NYAMBURA KARANJA","GRN.1456","PINV567","","","notvat              ","KES       ","0","0","2","Mugure              ","47","1011200","True","","",""
"21","DN14","9/19/2020 12:00:00 AM","","","10/8/2020 12:00:00 AM","cr476","ESTHER WANJIRU","GRN.1539","PINV643","","","General             ","KES       ","0","0","2","Mugure              ","50","1011535","True","","",""
"21","DN15","1/14/2021 12:00:00 AM","","","1/15/2021 12:00:00 AM","cr190635","BITUTECH LIMITED","GRN 1673","PINV766","","","General             ","KES       ","0","0","2","Mugure              ","53","1011822","False","","",""
"21","DN16","1/26/2021 12:00:00 AM","","","2/9/2021 12:00:00 AM","cr10593","Resolution general suppliers","GRN 1678","PINV775","","","General             ","KES       ","0","0","2","Mugure              ","54","1011893","False","","",""
"30","GRN 1417","11/6/2022 12:00:00 AM","","","","cr40608","IMCD KENYA LIMITED","","","          ","","General             ","KES       ","","","1","Lucybriate          ","75","1013784","False","E25       ","          ","0"
"30","GRN.1056","8/28/2021 12:00:00 AM","","","","cr180615","WESTLINE OIL STREAM SUPPLIERS","","","          ","","General             ","KES       ","","","1","Lucybriate          ","60","1012610","False","E25       ","          ","0"
"30","GRN.1057","9/9/2021 12:00:00 AM","","","","cr190687","TAKEZO  VENTURES LTD","","","          ","","01                  ","KES       ","","","1","Mugure              ","61","1012615","False","E25       ","          ","5000"
"30","GRN.1058","8/26/2021 12:00:00 AM","","","","cr190689","GICHUKI","","","          ","","01                  ","KES       ","","","1","Mugure              ","60","1012618","False","E25       ","          ","0"
"30","GRN.1059","9/11/2021 12:00:00 AM","","","","cr434","FRIENDSHIP CONTAINERS","","","          ","","General             ","KES       ","","","1","Mugure              ","61","1012621","False","E25       ","          ","0"
"30","GRN.1060","9/11/2021 12:00:00 AM","","","","cr190687","TAKEZO  VENTURES LTD","","","          ","","01                  ","KES       ","","","1","Mugure              ","61","1012624","False","E25       ","          ","5000"
"30","GRN.1061","9/11/2021 12:00:00 AM","","","","cr190689","GICHUKI","","","          ","","01                  ","KES       ","","","1","Mugure              ","61","1012627","False","E25       ","          ","1500"
"30","GRN.1062","9/10/2021 12:00:00 AM","","","","cr40608","IMCD KENYA LIMITED","","","          ","","General             ","KES       ","","","1","Mugure              ","61","1012630","False","E25       ","          ","0"
"30","GRN.1063","9/13/2021 12:00:00 AM","","","","cr563","GAS and GO PETROLEUM PRODUCTS","","","          ","","General             ","KES       ","","","1","Lucybriate          ","61","1012632","False","E25       ","          ","0"
"30","GRN.1064","9/14/2021 12:00:00 AM","","","","cr190674","CHEMICAL PARTNERS KENYA LTD","","","          ","","General             ","KES       ","","","1","Mugure              ","61","1012634","False","E25       ","          ","0"
"30","GRN.1065","9/6/2021 12:00:00 AM","","","","cr190676","FLORENCE NJOKI NDUNGU","","","          ","","01                  ","KES       ","","","1","Mugure              ","61","1012637","False","E25       ","          ","0"
"30","GRN.1066","9/15/2021 12:00:00 AM","","","","cr190676","FLORENCE NJOKI NDUNGU","","","          ","","01                  ","KES       ","","","1","Mugure              ","61","1012640","False","E25       ","          ","2000"
"30","GRN.1067","9/15/2021 12:00:00 AM","","","","cr576","MASTER VENTURES","","","          ","","General             ","KES       ","","","1","Mugure              ","61","1012643","False","E25       ","          ","0"
"30","GRN.1068","9/13/2021 12:00:00 AM","","","","cr30594","JOHN MAARA","","","          ","","notvat              ","KES       ","","","1","Mugure              ","61","1012646","True","E25       ","          ","0"
"30","GRN.1069","9/11/2021 12:00:00 AM","","","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","61","1012649","False","E25       ","          ","0"
"30","GRN.1070","9/15/2021 12:00:00 AM","","","","cr447","EPPL PETROLEUM","","","          ","","General             ","KES       ","","","1","Mugure              ","61","1012652","False","E25       ","          ","400"
"30","GRN.1071","9/17/2021 12:00:00 AM","","","","cr190662","KENSALT LIMITED","","","          ","","General             ","KES       ","","","1","Mugure              ","61","1012657","False","E25       ","          ","0"
"30","GRN.1072","9/16/2021 12:00:00 AM","","","","cr190687","TAKEZO  VENTURES LTD","","","          ","","01                  ","KES       ","","","1","Mugure              ","61","1012660","False","E25       ","          ","5000"
"30","GRN.1073","9/20/2021 12:00:00 AM","","","","cr434","FRIENDSHIP CONTAINERS","GRN2014","","          ","","General             ","KES       ","","","1","Mary                ","61","1012663","False","E25       ","          ","0"
"30","GRN.1074","9/22/2021 12:00:00 AM","","","","cr30594","MARY W MAARA","LPO2016","","          ","","notvat              ","KES       ","","","1","Mary                ","61","1012667","True","          ","          ","0"
"30","GRN.1075","9/18/2021 12:00:00 AM","","","","cr40612","NATO ENERGY DEALERS LTD","","","          ","","inc                 ","KES       ","","","1","Lucybriate          ","61","1012669","True","E25       ","          ","0"
"30","GRN.1076","9/22/2021 12:00:00 AM","","","","cr190687","TAKEZO  VENTURES LTD","","","          ","","01                  ","KES       ","","","1","Mugure              ","61","1012673","False","E25       ","          ","5000"
"30","GRN.1077","9/24/2021 12:00:00 AM","","","","cr40608","IMCD KENYA LIMITED","CHQ 002595","","          ","","General             ","KES       ","","","1","Rose                ","61","1012681","False","E25       ","          ","0"
"30","GRN.1078","9/29/2021 12:00:00 AM","","","","cr190621","RICHARD NANDWA","Mpesa","","          ","","01                  ","KES       ","","","1","Rose                ","61","1012687","False","E25       ","          ","0"
"30","GRN.1079","9/29/2021 12:00:00 AM","","","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","61","1012690","False","E25       ","          ","0"
"30","GRN.1080","9/23/2021 12:00:00 AM","","","","cr190618","ASL TRADING DIVISION","","","          ","","General             ","KES       ","","","1","Mugure              ","61","1012693","False","E25       ","          ","0"
"30","GRN.1081","9/22/2021 12:00:00 AM","","","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","61","1012696","False","E25       ","          ","0"
"30","GRN.1082","9/23/2021 12:00:00 AM","","","","cr120615","CASH PURCHASE","","","          ","","General             ","KES       ","","","1","Mugure              ","61","1012699","False","E25       ","          ","0"
"30","GRN.1083","9/24/2021 12:00:00 AM","","","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Rose                ","61","1012702","False","E25       ","          ","0"
"30","GRN.1084","9/25/2021 12:00:00 AM","","","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Rose                ","61","1012705","False","E25       ","          ","0"
"30","GRN.1085","9/23/2021 12:00:00 AM","","","","cr40612","NATO ENERGY DEALERS LTD","","","          ","","inc                 ","KES       ","","","1","Mary                ","61","1012707","True","          ","          ","0"
"30","GRN.1086","9/27/2021 12:00:00 AM","","","","cr190687","TAKEZO  VENTURES LTD","","","          ","","01                  ","KES       ","","","1","Rose                ","61","1012709","False","E25       ","          ","5000"
"30","GRN.1087","10/27/2021 12:00:00 AM","","","","cr483","LYDIA NYAMBURA KARANJA","","","          ","","notvat              ","KES       ","","","1","Rose                ","62","1012713","True","E25       ","          ","0"
"30","GRN.1088","9/30/2021 12:00:00 AM","","","","cr190627","LOKINZO ENTERPRISE","","","          ","","General             ","KES       ","","","1","Rose                ","61","1012716","False","E25       ","          ","0"
"30","GRN.1089","9/30/2021 12:00:00 AM","","","","cr190618","ASL TRADING DIVISION","","","          ","","General             ","KES       ","","","1","Rose                ","61","1012719","False","E25       ","          ","0"
"30","GRN.1090","9/30/2021 12:00:00 AM","","","","cr528","CORRUGATED SHEETS LIMITED","","","          ","","General             ","KES       ","","","1","Mugure              ","61","1012722","False","E25       ","          ","0"
"30","GRN.1091","10/1/2021 12:00:00 AM","","","","cr190687","TAKEZO  VENTURES LTD","","","          ","","01                  ","KES       ","","","1","Mugure              ","62","1012725","False","E25       ","          ","3000"
"30","GRN.1092","10/5/2021 12:00:00 AM","","","","cr190661","SPECTA ENERGY LTD","","","          ","","General             ","KES       ","","","1","Mugure              ","62","1012728","False","E25       ","          ","0"
"30","GRN.1093","10/6/2021 12:00:00 AM","","","","cr190687","TAKEZO  VENTURES LTD","","","          ","","01                  ","KES       ","","","1","Mugure              ","62","1012733","False","E25       ","          ","5000"
"30","GRN.1094","10/6/2021 12:00:00 AM","","","","cr563","GAS and GO PETROLEUM PRODUCTS","","","          ","","General             ","KES       ","","","1","Lucybriate          ","62","1012735","False","E25       ","          ","0"
"30","GRN.1095","10/6/2021 12:00:00 AM","","","","cr190674","CHEMICAL PARTNERS KENYA LTD","","","          ","","General             ","KES       ","","","1","Mugure              ","62","1012738","False","E25       ","          ","0"
"30","GRN.1096","10/7/2021 12:00:00 AM","","","","cr40608","IMCD KENYA LIMITED","","","          ","","General             ","KES       ","","","1","Mugure              ","62","1012741","False","E25       ","          ","0"
"30","GRN.1097","10/8/2021 12:00:00 AM","","","","cr190698","METAL CANS  CLOSURES KE LTD","","","          ","","General             ","KES       ","","","1","Margaret            ","62","1012744","False","E25       ","          ","0"
"30","GRN.1098","10/8/2021 12:00:00 AM","","","","cr190687","TAKEZO  VENTURES LTD","","","          ","","01                  ","KES       ","","","1","Margaret            ","62","1012748","False","E25       ","          ","5000"
"30","GRN.1099","10/9/2021 12:00:00 AM","","","","cr190689","GICHUKI","","","          ","","01                  ","KES       ","","","1","Margaret            ","62","1012751","False","E25       ","          ","0"
"30","GRN.1100","10/9/2021 12:00:00 AM","","","","cr190661","SPECTA ENERGY LTD","GRN 2048","","          ","","General             ","KES       ","","","1","Margaret            ","62","1012754","False","E25       ","          ","0"
"30","GRN.1101","10/12/2021 12:00:00 AM","","","","cr190687","TAKEZO  VENTURES LTD","","","          ","","01                  ","KES       ","","","1","Rose                ","62","1012756","False","E25       ","          ","5000"
"30","GRN.1102","10/13/2021 12:00:00 AM","","","","cr190698","METAL CANS  CLOSURES KE LTD","","","          ","","General             ","KES       ","","","1","Margaret            ","62","1012759","False","          ","          ","0"
"30","GRN.1103","10/14/2021 12:00:00 AM","","","","cr40612","NATO ENERGY DEALERS LTD","","","          ","","inc                 ","KES       ","","","1","Mugure              ","62","1012763","True","E25       ","          ","0"
"30","GRN.1104","10/15/2021 12:00:00 AM","","","","cr190687","TAKEZO  VENTURES LTD","","","          ","","01                  ","KES       ","","","1","Lucybriate          ","62","1012767","False","E25       ","          ","5000"
"30","GRN.1105","9/22/2021 12:00:00 AM","","","","cr190698","METAL CANS  CLOSURES KE LTD","","","          ","","General             ","KES       ","","","1","Mugure              ","61","1012769","False","E25       ","          ","0"
"30","GRN.1106","10/15/2021 12:00:00 AM","","","","cr190661","SPECTA ENERGY LTD","","","          ","","General             ","KES       ","","","1","Rose                ","62","1012772","False","E25       ","          ","0"
"30","GRN.1107","10/16/2021 12:00:00 AM","","","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Rose                ","62","1012775","False","E25       ","          ","0"
"30","GRN.1108","10/16/2021 12:00:00 AM","","","","cr190693","ASL PACKAGING LIMITED","DEL/INV NO 45540","","          ","","General             ","KES       ","","","1","Lucybriate          ","62","1012778","False","E25       ","          ","0"
"30","GRN.1109","10/21/2021 12:00:00 AM","","","","cr190627","LOKINZO ENTERPRISE","INV 2904","","          ","","General             ","KES       ","","","1","Lucybriate          ","62","1012789","False","E25       ","          ","0"
"30","GRN.1110","10/16/2021 12:00:00 AM","","","","cr190693","ASL PACKAGING LIMITED","","","          ","","General             ","KES       ","","","1","Lucybriate          ","62","1012792","False","E25       ","          ","0"
"30","GRN.1111","10/19/2021 12:00:00 AM","","","","cr120613","SHORE TO SHORE  SUPPLIERS LTD","","","          ","","General             ","KES       ","","","1","Lucybriate          ","62","1012795","False","E25       ","          ","0"
"30","GRN.1112","10/18/2021 12:00:00 AM","","","","cr40610","Euro Industrial chemicals Ltd","","","          ","","General             ","KES       ","","","1","Lucybriate          ","62","1012798","False","E25       ","          ","0"
"30","GRN.1113","10/18/2021 12:00:00 AM","","","","cr190662","KENSALT LIMITED","INV 2171401","","          ","","General             ","KES       ","","","1","Lucybriate          ","62","1012801","False","E25       ","          ","0"
"30","GRN.1114","10/23/2021 12:00:00 AM","","","","cr190675","WELLSPETROLEUM","","","          ","","General             ","KES       ","","","1","Rose                ","62","1012806","False","E25       ","          ","0"
"30","GRN.1115","10/23/2021 12:00:00 AM","","","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Lucybriate          ","62","1012809","False","E25       ","          ","0"
"30","GRN.1116","10/9/2021 12:00:00 AM","","","","cr190687","TAKEZO  VENTURES LTD","","","          ","","01                  ","KES       ","","","1","Rose                ","62","1012812","False","E25       ","          ","5000"
"30","GRN.1117","10/13/2021 12:00:00 AM","","","","cr190699","MONOPOL COLORS","","","          ","","General             ","KES       ","","","1","Lucybriate          ","62","1012815","False","E25       ","          ","0"
"30","GRN.1118","10/29/2021 12:00:00 AM","","","","cr190687","TAKEZO  VENTURES LTD","","","          ","","01                  ","KES       ","","","1","Rose                ","62","1012820","False","E25       ","          ","3000"
"30","GRN.1119","10/29/2021 12:00:00 AM","","","","cr40612","NATO ENERGY DEALERS LTD","","","          ","","inc                 ","KES       ","","","1","Lucybriate          ","62","1012823","True","E25       ","          ","0"
"30","GRN.1120","10/29/2021 12:00:00 AM","","","","cr190698","METAL CANS  CLOSURES KE LTD","INV 47527","","          ","","General             ","KES       ","","","1","Lucybriate          ","62","1012826","False","E25       ","          ","0"
"30","GRN.1121","10/30/2021 12:00:00 AM","","","","cr190687","TAKEZO  VENTURES LTD","Mpesa","","          ","","01                  ","KES       ","","","1","Rose                ","62","1012832","False","E25       ","          ","5000"
"30","GRN.1122","10/21/2021 12:00:00 AM","","","","cr190663","SKYTRADE GLOBAL ENTERPRISES LT","","","          ","","General             ","KES       ","","","1","Rose                ","62","1012835","False","E25       ","          ","0"
"30","GRN.1123","10/25/2021 12:00:00 AM","","","","cr190703","Munak Hardware And Equipments","","","          ","","notvat              ","KES       ","","","1","Rose                ","62","1012838","True","E25       ","          ","0"
"30","GRN.1124","11/1/2021 12:00:00 AM","","","","cr190703","Munak Hardware And Equipments","","","          ","","notvat              ","KES       ","","","1","Rose                ","63","1012841","True","E25       ","          ","0"
"30","GRN.1125","11/6/2021 12:00:00 AM","","","","cr190703","Munak Hardware And Equipments","","","          ","","notvat              ","KES       ","","","1","Rose                ","63","1012845","True","E25       ","          ","0"
"30","GRN.1126","11/5/2021 12:00:00 AM","","","","cr190663","SKYTRADE GLOBAL ENTERPRISES LT","","","          ","","General             ","KES       ","","","1","Rose                ","63","1012848","False","E25       ","          ","0"
"30","GRN.1127","11/8/2021 12:00:00 AM","","","","cr190703","Munak Hardware And Equipments","","","          ","","notvat              ","KES       ","","","1","Rose                ","63","1012851","True","E25       ","          ","0"
"30","GRN.1128","11/8/2021 12:00:00 AM","","","","cr190698","METAL CANS  CLOSURES KE LTD","INV 47633","","          ","","General             ","KES       ","","","1","Lucybriate          ","63","1012854","False","E25       ","          ","0"
"30","GRN.1129","10/18/2021 12:00:00 AM","","","","cr434","FRIENDSHIP CONTAINERS","INV NO.190559","","          ","","General             ","KES       ","","","1","Lucybriate          ","62","1012857","False","E25       ","          ","0"
"30","GRN.1130","11/10/2021 12:00:00 AM","","","","cr357","GEE PEE ENTERPRISES","","","          ","","General             ","KES       ","","","1","Lucybriate          ","63","1012863","False","E25       ","          ","0"
"30","GRN.1131","11/11/2021 12:00:00 AM","","","","cr190675","WELLSPETROLEUM","","","          ","","General             ","KES       ","","","1","Lucybriate          ","63","1012866","False","E25       ","          ","0"
"30","GRN.1132","11/5/2021 12:00:00 AM","","","","cr40608","IMCD KENYA LIMITED","","","          ","","General             ","KES       ","","","1","Lucybriate          ","63","1012868","False","E25       ","          ","0"
"30","GRN.1133","11/13/2021 12:00:00 AM","","","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Rose                ","63","1012871","False","E25       ","          ","0"
"30","GRN.1134","11/13/2021 12:00:00 AM","","","","cr190628","JOVISTA HOLDINGS LTD","","","          ","","General             ","KES       ","","","1","Rose                ","63","1012874","False","          ","          ","0"
"30","GRN.1135","11/15/2021 12:00:00 AM","","","","cr190698","METAL CANS  CLOSURES KE LTD","","","          ","","General             ","KES       ","","","1","Lucybriate          ","63","1012877","False","E25       ","          ","0"
"30","GRN.1136","11/13/2021 12:00:00 AM","","","","cr190687","TAKEZO  VENTURES LTD","","","          ","","01                  ","KES       ","","","1","Rose                ","63","1012880","False","E25       ","          ","3000"
"30","GRN.1137","11/16/2021 12:00:00 AM","","","","cr40608","IMCD KENYA LIMITED","","","          ","","General             ","KES       ","","","1","Rose                ","63","1012884","False","E25       ","          ","0"
"30","GRN.1138","11/24/2021 12:00:00 AM","","","","cr190698","METAL CANS  CLOSURES KE LTD","","","          ","","General             ","KES       ","","","1","Lucybriate          ","63","1012887","False","E25       ","          ","0"
"30","GRN.1139","11/17/2021 12:00:00 AM","","","","cr190687","TAKEZO  VENTURES LTD","","","          ","","01                  ","KES       ","","","1","Rose                ","63","1012890","False","E25       ","          ","3000"
"30","GRN.1140","11/18/2021 12:00:00 AM","","","","cr190687","TAKEZO  VENTURES LTD","","","          ","","01                  ","KES       ","","","1","Rose                ","63","1012893","False","E25       ","          ","3000"
"30","GRN.1141","11/21/2021 12:00:00 AM","","","","cr190703","Munak Hardware And Equipments","","","          ","","notvat              ","KES       ","","","1","Rose                ","63","1012896","True","E25       ","          ","6000"
"30","GRN.1142","11/25/2021 12:00:00 AM","","","","cr190627","LOKINZO ENTERPRISE","","","          ","","General             ","KES       ","","","1","Lucybriate          ","63","1012899","False","E25       ","          ","0"
"30","GRN.1143","11/25/2021 12:00:00 AM","","","","cr528","CORRUGATED SHEETS LIMITED","","","          ","","General             ","KES       ","","","1","Lucybriate          ","63","1012902","False","E25       ","          ","0"
"30","GRN.1144","11/25/2021 12:00:00 AM","","","","cr190618","ASL TRADING DIVISION","","","          ","","General             ","KES       ","","","1","Lucybriate          ","63","1012905","False","E25       ","          ","0"
"30","GRN.1145","11/25/2021 12:00:00 AM","","","","cr563","GAS and GO PETROLEUM PRODUCTS","","","          ","","General             ","KES       ","","","1","Mugure              ","63","1012908","False","E25       ","          ","0"
"30","GRN.1146","11/27/2021 12:00:00 AM","","","","cr190659","Scanner Petroleum Limited","","","          ","","General             ","KES       ","","","1","Mugure              ","63","1012911","False","E25       ","          ","0"
"30","GRN.1147","11/29/2021 12:00:00 AM","","","","cr563","GAS and GO PETROLEUM PRODUCTS","","","          ","","General             ","KES       ","","","1","Mugure              ","63","1012916","False","E25       ","          ","0"
"30","GRN.1148","11/26/2021 12:00:00 AM","","","","cr190711","M-PLUS TRADING LOGISTICS LTD","INV NO 20210244","","          ","","General             ","KES       ","","","1","Lucybriate          ","63","1012920","False","E25       ","          ","0"
"30","GRN.1149","11/26/2021 12:00:00 AM","","","","cr563","GAS and GO PETROLEUM PRODUCTS","","","          ","","General             ","KES       ","","","1","Mugure              ","63","1012925","False","E25       ","          ","0"
"30","GRN.1151","12/1/2021 12:00:00 AM","","","","cr190712","ROMI ENTERPRISES","","","          ","","General             ","KES       ","","","1","Lucybriate          ","64","1012931","False","E25       ","          ","0"
"30","GRN.1152","11/30/2021 12:00:00 AM","","","","cr190675","WELLSPETROLEUM","","","          ","","General             ","KES       ","","","1","Rose                ","63","1012933","False","E25       ","          ","0"
"30","GRN.1153","11/30/2021 12:00:00 AM","","","","cr30594","MARY W MAARA","","","          ","","notvat              ","KES       ","","","1","Rose                ","63","1012936","True","E25       ","          ","7000"
"30","GRN.1154","12/2/2021 12:00:00 AM","","","","cr190618","ASL TRADING DIVISION","","","          ","","General             ","KES       ","","","1","Rose                ","64","1012939","False","E25       ","          ","0"
"30","GRN.1155","12/4/2021 12:00:00 AM","","","","cr120615","CASH PURCHASE","","","          ","","General             ","KES       ","","","1","Rose                ","64","1012943","False","E25       ","          ","0"
"30","GRN.1156","12/6/2021 12:00:00 AM","","","","cr120615","CASH PURCHASE","","","          ","","General             ","KES       ","","","1","Rose                ","64","1012946","False","E25       ","          ","0"
"30","GRN.1157","12/7/2021 12:00:00 AM","","","","cr379","JOPET ENTERPRISES","","","          ","","General             ","KES       ","","","1","Rose                ","64","1012951","False","E25       ","          ","0"
"30","GRN.1158","12/10/2021 12:00:00 AM","","","","cr424","DIRECTOR MAINA","","","          ","","General             ","KES       ","","","1","Mugure              ","64","1012954","False","E25       ","          ","0"
"30","GRN.1159","12/3/2021 12:00:00 AM","","","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Rose                ","64","1012956","False","E25       ","          ","0"
"30","GRN.1160","12/15/2021 12:00:00 AM","","","","cr190698","METAL CANS  CLOSURES KE LTD","","","          ","","General             ","KES       ","","","1","Lucybriate          ","64","1012958","False","E25       ","          ","0"
"30","GRN.1161","12/15/2021 12:00:00 AM","","","","cr190618","ASL TRADING DIVISION","","","          ","","General             ","KES       ","","","1","Rose                ","64","1012961","False","          ","          ","0"
"30","GRN.1162","12/14/2021 12:00:00 AM","","","","cr190712","ROMI ENTERPRISES","","","          ","","General             ","KES       ","","","1","Rose                ","64","1012965","False","E25       ","          ","0"
"30","GRN.1163","12/16/2021 12:00:00 AM","","","","cr528","CORRUGATED SHEETS LIMITED","INV 6500025441","","          ","","General             ","KES       ","","","1","Lucybriate          ","64","1012968","False","E25       ","          ","0"
"30","GRN.1164","12/9/2021 12:00:00 AM","","","","cr190712","ROMI ENTERPRISES","","","          ","","General             ","KES       ","","","1","Rose                ","64","1012972","False","E25       ","          ","0"
"30","GRN.1165","12/16/2021 12:00:00 AM","","","","cr190618","ASL TRADING DIVISION","INV 711021453","","          ","","General             ","KES       ","","","1","Lucybriate          ","64","1012975","False","E25       ","          ","0"
"30","GRN.1166","11/30/2021 12:00:00 AM","","","","cr190712","ROMI ENTERPRISES","","","          ","","General             ","KES       ","","","1","Rose                ","63","1012977","False","E25       ","          ","0"
"30","GRN.1167","12/16/2021 12:00:00 AM","","","","cr190627","LOKINZO ENTERPRISE","","","          ","","General             ","KES       ","","","1","Lucybriate          ","64","1012980","False","E25       ","          ","0"
"30","GRN.1168","12/15/2021 12:00:00 AM","","","","cr379","JOPET ENTERPRISES","","","          ","","General             ","KES       ","","","1","Rose                ","64","1012984","False","E25       ","          ","6000"
"30","GRN.1169","12/3/2021 12:00:00 AM","","","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Rose                ","64","1012986","False","E25       ","          ","0"
"30","GRN.1170","12/16/2021 12:00:00 AM","","","","cr30594","MARY W MAARA","","","          ","","notvat              ","KES       ","","","1","Rose                ","64","1012989","True","E25       ","          ","0"
"30","GRN.1171","12/18/2021 12:00:00 AM","","","","cr190718","PETER WANGANDO","","","          ","","01                  ","KES       ","","","1","Lucybriate          ","64","1012992","False","E25       ","          ","4300"
"30","GRN.1172","12/10/2021 12:00:00 AM","","","","cr190718","PETER WANGANDO","","","          ","","01                  ","KES       ","","","1","Rose                ","64","1012996","False","E25       ","          ","5000"
"30","GRN.1173","12/18/2021 12:00:00 AM","","","","cr30594","MARY W MAARA","","","          ","","notvat              ","KES       ","","","1","Rose                ","64","1012999","True","E25       ","          ","0"
"30","GRN.1174","12/20/2021 12:00:00 AM","","","","cr120615","CASH PURCHASE","","","          ","","General             ","KES       ","","","1","Sarah               ","64","1013002","False","E25       ","          ","0"
"30","GRN.1175","12/18/2021 12:00:00 AM","","","","cr120615","CASH PURCHASE","","","          ","","General             ","KES       ","","","1","Rose                ","64","1013006","False","E25       ","          ","0"
"30","GRN.1176","12/20/2021 12:00:00 AM","","","","cr190719","KK HARDWARE &amp; PAINTS","","","          ","","General             ","KES       ","","","1","Rose                ","64","1013009","False","E25       ","          ","700"
"30","GRN.1177","12/21/2021 12:00:00 AM","","","","cr190720","MBACHAA LOGISTICS LIMITED","","","          ","","General             ","KES       ","","","1","Lucybriate          ","64","1013012","False","E25       ","          ","0"
"30","GRN.1178","12/22/2021 12:00:00 AM","","","","cr120615","CASH PURCHASE","","","          ","","General             ","KES       ","","","1","Rose                ","64","1013015","False","E25       ","          ","0"
"30","GRN.1179","12/9/2021 12:00:00 AM","","","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Rose                ","64","1013019","False","E25       ","          ","0"
"30","GRN.1180","12/6/2021 12:00:00 AM","","","","cr528","CORRUGATED SHEETS LIMITED","","","          ","","General             ","KES       ","","","1","Rose                ","64","1013022","False","E25       ","          ","0"
"30","GRN.1181","12/13/2021 12:00:00 AM","","","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Rose                ","64","1013027","False","E25       ","          ","0"
"30","GRN.1182","12/17/2021 12:00:00 AM","","","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Rose                ","64","1013030","False","E25       ","          ","0"
"30","GRN.1183","1/6/2022 12:00:00 AM","","","","cr379","JOPET ENTERPRISES","","","          ","","General             ","KES       ","","","1","Lucybriate          ","65","1013034","False","E25       ","          ","0"
"30","GRN.1184","1/5/2022 12:00:00 AM","","","","cr563","GAS and GO PETROLEUM PRODUCTS","","","          ","","General             ","KES       ","","","1","Rose                ","65","1013036","False","E25       ","          ","0"
"30","GRN.1185","1/8/2022 12:00:00 AM","","","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Rose                ","65","1013039","False","E25       ","          ","0"
"30","GRN.1186","1/12/2022 12:00:00 AM","","","","cr528","CORRUGATED SHEETS LIMITED","INV NO6500025644","","          ","","General             ","KES       ","","","1","Lucybriate          ","65","1013042","False","E25       ","          ","0"
"30","GRN.1188","1/14/2022 12:00:00 AM","","","","cr432","WANAINCHI HARDWARE","","","          ","","General             ","KES       ","","","1","Lucybriate          ","65","1013048","False","E25       ","          ","0"
