"documenttype","documentno","docdate","oderdate","duedate","postingdate","vendorcode","vendorname","yourreference","externaldocumentno","locationcode","paymentterms","postinggroup","currencycode","printed","released","status","userid","period","entryno","vatinclusive","Dimension_1","Dimension_2","freight"
"18","LPO1875","12/13/2022 12:00:00 AM","","","","cr190642","MADINI SPRINGS LTD","","","          ","","01                  ","KES       ","1","2","1","Sarah               ","76","1013838","False","E25       ","          ","0"
"18","LPO1876","12/13/2022 12:00:00 AM","","","","cr190698","METAL CANS  CLOSURES KE LTD","INV 0675","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","76","1013723","False","E25       ","          ","0"
"18","LPO1877","12/14/2022 12:00:00 AM","","","","cr190745","CLEAR CREST COMPANY LTD","","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","76","1013923","False","E25       ","          ","0"
"18","LPO1878","12/15/2022 12:00:00 AM","","","","cr40610","Euro Industrial chemicals Ltd","INV 126293","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","76","1013716","False","E25       ","          ","0"
"18","LPO1879","12/15/2022 12:00:00 AM","","","","cr190662","KENSALT LIMITED","INV 2271917","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","76","1013720","False","E25       ","          ","0"
"18","LPO188","3/27/2017 12:00:00 AM","","5/10/2017 12:00:00 AM","","cr447","EPPL PETROLEUM","","","          ","","notvat              ","KES       ","1","2","1","Mary Mugure         ","7","90176","True","E25       ","          ",""
"18","LPO1880","12/16/2022 12:00:00 AM","","","","cr190642","MADINI SPRINGS LTD","","","          ","","01                  ","KES       ","1","2","1","Sarah               ","76","1013841","False","E25       ","          ","0"
"18","LPO1881","12/16/2022 12:00:00 AM","","","","cr411","OILIBYA  COMPANY","","","          ","","General             ","KES       ","1","2","1","Sarah               ","76","1013891","False","E25       ","          ","0"
"18","LPO1882","1/6/2023 12:00:00 AM","","","","cr120615","CASH PURCHASE","2","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","77","1013813","False","E25       ","          ","0"
"18","LPO1883","1/3/2023 12:00:00 AM","","","","cr190621","RICHARD NANDWA","5","","          ","","01                  ","KES       ","1","2","1","Lucybriate          ","77","1013819","False","E25       ","          ","0"
"18","LPO1884","1/9/2023 12:00:00 AM","","","","cr190676","FLORENCE NJOKI NDUNGU","","","          ","","01                  ","KES       ","1","2","1","Sarah               ","77","1013853","False","E25       ","          ","0"
"18","LPO1887","1/12/2023 12:00:00 AM","","","","cr120615","CASH PURCHASE","1","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","77","1013810","False","E25       ","          ","0"
