"docno","date","itemcode","externalref","narrative","amount","printed","journal","currency"
"Rct319              ","1/15/2018 12:00:00 AM","Dr471               ","TRF","Paid in KES","445940.00","True","Jv6360","KES       "
"Rct320              ","1/3/2018 12:00:00 AM","Dr190671            ","inv425,426","Paid in KES","1538050.00","True","Jv6405","KES       "
"Rct321              ","1/19/2018 12:00:00 AM","Dr423               ","inv441","Paid in KES","19000.00","True","Jv6509","KES       "
"Rct323              ","12/5/2017 12:00:00 AM","Dr160670            ","TRF","Paid in KES","2888000.00","","Jv6515","KES       "
"Rct324              ","1/22/2018 12:00:00 AM","Dr533               ","012467","Paid in KES","300000.00","True","Jv6543","KES       "
"Rct325              ","1/23/2018 12:00:00 AM","Dr620               ","Inv no.443","Paid in KES","14877.00","True","Jv6558","KES       "
"Rct326              ","1/23/2018 12:00:00 AM","Dr140670            ","Chq no.031763","Paid in KES","473000.00","True","Jv6559","KES       "
"Rct327              ","1/24/2018 12:00:00 AM","Dr423               ","Inv no.444","Paid in KES","17400.00","True","Jv6588","KES       "
"Rct328              ","1/26/2018 12:00:00 AM","Dr190675            ","INV no.450","Paid in KES","31000.00","True","Jv6640","KES       "
"Rct329              ","1/27/2018 12:00:00 AM","Dr486               ","Inv no.451","Paid in KES","2436.00","True","Jv6647","KES       "
"Rct330              ","1/27/2018 12:00:00 AM","Dr609               ","Inv no.452","Paid in KES","16000.00","True","Jv6651","KES       "
"Rct331              ","1/27/2018 12:00:00 AM","Dr423               ","inv453","Paid in KES","17400.00","True","Jv6655","KES       "
"Rct332              ","1/30/2018 12:00:00 AM","Dr423               ","Inv.458","Paid in KES","69600.00","True","Jv6674","KES       "
"Rct334              ","1/29/2018 12:00:00 AM","Dr190674            ","CHQ no.0626","Paid in KES","712000.00","True","Jv6676","KES       "
"Rct335              ","1/31/2018 12:00:00 AM","Dr620               ","inv459","Paid in KES","15560.00","True","Jv6680","KES       "
"Rct336              ","1/5/2018 12:00:00 AM","Dr584               ","Inv.424","Paid in KES","49500.00","True","Jv6681","KES       "
"Rct337              ","1/30/2018 12:00:00 AM","Dr533               ","CHQ no.12562","Paid in KES","138263.40","True","Jv6695","KES       "
"Rct338              ","2/2/2018 12:00:00 AM","Dr639               ","inv342","Paid in KES","354960.00","True","Jv6703","KES       "
"Rct340              ","1/29/2018 12:00:00 AM","Dr190676            ","Inv no.457","Paid in KES","30000.00","True","Jv6704","KES       "
