"itemcode","date","invoiceno","journalno","doctype","receiptno","amount","receiptjournal"
"cr348               ","6/7/2012 12:00:00 AM","IN1144              ","J.1434              ","20","PV1386              ","28500.00","J.4669              "
"cr348               ","7/10/2012 12:00:00 AM","1161                ","J.2405              ","20","PV1386              ","428438.00","J.4669              "
"cr348               ","7/10/2012 12:00:00 AM","1161                ","J.2405              ","20","86                  ","27100.00","J.6091              "
"cr348               ","7/10/2012 12:00:00 AM","1161                ","J.2405              ","20","000434              ","69600.00","J.11452             "
"cr348               ","7/10/2012 12:00:00 AM","1161                ","J.2405              ","20","000687              ","5800.00","J.12679             "
"cr348               ","7/10/2012 12:00:00 AM","1161                ","J.2405              ","20","000961              ","17562.00","J.15054             "
"cr348               ","2/1/2013 12:00:00 AM","INI204              ","J.4784              ","20","000961              ","28700.00","J.15054             "
"cr348               ","2/1/2013 12:00:00 AM","INI205              ","J.4783              ","20","000961              ","42700.00","J.15054             "
"cr348               ","6/16/2014 12:00:00 AM","16.06.2014          ","J.11451             ","20","000961              ","10798.00","J.15054             "
"cr348               ","6/16/2014 12:00:00 AM","16.06.2014          ","J.11451             ","20","001343              ","58802.00","J.16407             "
"cr390               ","10/16/2014 12:00:00 AM","IN1362              ","J.11639             ","20","001343              ","5800.00","J.16407             "
"cr348               ","10/16/2014 12:00:00 AM","IN1362              ","J.11639             ","20","001343              ","5800.00","J.16407             "
"cr390               ","10/1/2015 12:00:00 AM","IN1421              ","J.15053             ","20","001343              ","50006.00","J.16407             "
"cr348               ","10/1/2015 12:00:00 AM","IN1421              ","J.15053             ","20","001343              ","50006.00","J.16407             "
"cr390               ","10/1/2015 12:00:00 AM","IN1421              ","J.15053             ","20","001378              ","49754.00","J.16693             "
"cr348               ","10/1/2015 12:00:00 AM","IN1421              ","J.15053             ","20","001378              ","49754.00","J.16693             "
"cr348               ","3/8/2016 12:00:00 AM","IN 1478             ","J.16405             ","20","001378              ","12180.00","J.16693             "
"cr348               ","3/11/2016 12:00:00 AM","IN1479              ","J.16406             ","20","001378              ","64854.00","J.16693             "
"cr348               ","3/11/2016 12:00:00 AM","IN1479              ","J.16406             ","20","001043              ","49754.00","J.18381             "
"cr390               ","4/1/2016 12:00:00 AM","IN1486              ","J.16631             ","20","001043              ","83414.00","J.18381             "
"cr348               ","4/1/2016 12:00:00 AM","IN1486              ","J.16631             ","20","001043              ","83414.00","J.18381             "
"cr390               ","4/1/2016 12:00:00 AM","IN1486              ","J.16631             ","20","1421                ","100330.00","Jv2303              "
"cr348               ","4/1/2016 12:00:00 AM","IN1486              ","J.16631             ","20","1421                ","100330.00","Jv2303              "
"cr390               ","4/29/2016 12:00:00 AM","IN1491              ","J.18393             ","20","1421                ","81200.00","Jv2303              "
"cr348               ","4/29/2016 12:00:00 AM","IN1491              ","J.18393             ","20","1421                ","81200.00","Jv2303              "
"cr390               ","8/19/2016 12:00:00 AM","IN1474              ","J.18405             ","20","1421                ","14500.00","Jv2303              "
"cr348               ","8/19/2016 12:00:00 AM","IN1474              ","J.18405             ","20","1421                ","14500.00","Jv2303              "
"cr348               ","8/26/2016 12:00:00 AM","IN2007              ","J.18238             ","20","1421                ","5404.00","Jv2303              "
"cr348               ","8/26/2016 12:00:00 AM","IN2007              ","J.18238             ","20","TRF                 ","150000.00","Jv4262              "
