"customerCode","stockcode","approved","approvedby","DateTime","units_code","quantity","price","id","container"
"Dr510906","S.60166","True","Mugure","10/8/2021 7:35:00 AM","u 9","20","3922.414","347",""
"Dr330682","S.6","True","Mugure","10/8/2021 11:46:00 AM","u 10","200","13793.1","354",""
"Dr90670","S.9","True","Lucybriate","10/9/2021 6:27:00 AM","u 10","200","20689.65","355",""
"Dr90670","S.6","True","Sarah","2/21/2023 11:29:00 AM","u 10","200","18103.45","941",""
"Dr510795","S.6","True","Sarah","2/21/2023 8:42:00 AM","u 10","200","18103.45","929",""
"Dr510784","S.103","True","Lucybriate","6/30/2022 1:27:00 PM","u 9","20","3836.207","864",""
"Dr510909","S.7","True","Margaret","10/13/2021 1:27:00 PM","u 10","200","15689.66","362",""
"Dr510810","S.9","True","Lucybriate","10/16/2021 11:30:00 AM","u 10","200","20172.41","365",""
"Dr510911","S.60166","True","Mary","2/23/2023 9:55:00 AM","u20","4","1034.483","1027",""
"Dr510911","S.103","True","Lucybriate","10/19/2021 7:59:00 AM","u20","4","991.3793","368",""
"Dr510912","S.35","True","Lucybriate","10/19/2021 7:59:00 AM","u20","4","1551.724","369",""
"Dr510913","S.103","True","Lucybriate","10/19/2021 8:06:00 AM","u 9","20","4181.035","370",""
"Dr510982","S.9","True","Rose","4/25/2022 1:37:00 PM","u 10","200","26942.24","755",""
"Dr510914","S.103","True","Sarah","2/23/2023 6:25:00 AM","u20","4","1293.103","989",""
"Dr510914","S.103","True","Lucybriate","10/21/2021 6:06:00 AM","u 9","20","4224.138","388",""
"Dr510865","S.60166","True","Sarah","6/29/2022 8:29:00 AM","u20","4","2155.172","855",""
"Dr471","S.60185","True","Sarah","2/22/2023 9:23:00 AM","u 10","200","40000","968",""
"Dr510915","S.35","True","Lucybriate","10/22/2021 10:58:00 AM","u20","4","1034.483","396",""
"Dr510915","S.103","True","Lucybriate","10/22/2021 10:59:00 AM","u20","4","818.9655","397",""
"Dr510915","S.95","True","Lucybriate","3/3/2023 9:49:00 AM","u 9","20","14655.17","1114",""
"Dr370683","S.103","True","Lucybriate","11/16/2021 9:01:00 AM","u 9","20","12068.97","443",""
"Dr369","S.6","True","Sarah","2/21/2023 9:31:00 AM","u 10","200","18103.45","933",""
"","S.103","True","","","u20","1","258.62","1090","S.60256"
"Dr510919","S.60166","True","Lucybriate","10/27/2021 6:44:00 AM","u20","4","1025.862","405",""
"Dr510919","S.103","True","Lucybriate","10/27/2021 6:44:00 AM","u20","4","1077.586","406",""
"Dr510919","S.60185","True","Lucybriate","10/27/2021 6:54:00 AM","u20","4","1120.69","408",""
"Dr510915","S.103","True","Lucybriate","3/3/2023 9:49:00 AM","u 9","20","4310.345","1113",""
"Dr510929","S.122","True","Lucybriate","11/1/2021 1:05:00 PM","u 6","1","400","411",""
"Dr510930","S.60166","True","Rose","11/2/2021 10:25:00 AM","u 9","20","4310.345","412",""
"Dr510919","S.103","True","Lucybriate","11/3/2021 7:16:00 AM","u 9","20","4310.345","413",""
"Dr510866","S.103","True","Sarah","4/2/2022 10:35:00 AM","u 9","20","0","414",""
"Dr510931","S.122","True","Lucybriate","11/8/2021 9:43:00 AM","u 6","1","450","420",""
"Dr510993","S.60185","True","Lucybriate","6/9/2022 1:26:00 PM","u20","4","1465.517","806",""
"Dr510932","S.60166","True","Lucybriate","11/9/2021 12:11:00 PM","u 9","20","3879.31","423",""
"Dr510932","S.103","True","Lucybriate","11/9/2021 12:14:00 PM","u 9","20","4310.345","425",""
"Dr370683","S.60185","True","Lucybriate","11/10/2021 10:00:00 AM","u20","4","2586.207","429",""
"Dr398","S.6","True","admin","11/10/2021 11:51:00 AM","u 10","200","14501.72","430",""
"Dr510912","S.35","True","Lucybriate","5/10/2022 10:43:00 AM","u 10","200","55000","769",""
"Dr510933","S.103","True","Lucybriate","11/11/2021 6:52:00 AM","u 9","20","4913.793","432",""
"Dr190672","S.35","True","Lucybriate","11/15/2021 7:24:00 AM","u20","4","1206.897","433",""
"Dr510934","S.103","True","Mary","2/23/2023 8:25:00 AM","u 9","20","4310.345","1010",""
"Dr510865","S.103","True","Sarah","6/29/2022 8:31:00 AM","u20","4","2155.172","856",""
"Dr510982","S.6","True","Rose","4/25/2022 1:37:00 PM","u 10","200","18040.52","756",""
"Dr370683","S.35","True","Lucybriate","11/16/2021 9:01:00 AM","u20","4","3448.276","441",""
"Dr370683","S.60166","True","Lucybriate","11/16/2021 9:06:00 AM","u20","4","2396.552","444",""
"Dr370683","S.103","True","Lucybriate","11/16/2021 9:06:00 AM","u20","4","2413.793","445",""
"Dr428","S.6","True","Mugure","11/20/2021 8:41:00 AM","u 10","200","14655.17","447",""
"Dr428","S.9","True","Rose","12/11/2021 9:23:00 AM","u 10","200","21034.48","448",""
"Dr428","S.7","True","Rose","12/20/2021 1:12:00 PM","u 10","200","15517.24","449",""
"Dr510982","S.7","True","Rose","4/25/2022 1:37:00 PM","u 10","200","20237.07","757",""
"Dr510976","S.35","True","Lucybriate","4/28/2022 7:15:00 AM","u 9","20","4482.759","759",""
"","S.103","True","","","u 9","1","4568.965","760","S.90"
"Dr510784","S.60166","True","Lucybriate","6/30/2022 1:32:00 PM","u 9","20","3836.207","865",""
"Dr510751","S.6","True","Lucybriate","5/7/2022 7:27:00 AM","u 10","200","15517.24","767",""
"","S.150","True","","","u 7","20","1767.241","456","S.90"
"Dr510769","S.150","True","Mugure","11/22/2021 8:51:00 AM","u 7","20","1939.655","457",""
"","S.150","True","","","u 7","1","88.36207","458",""
"Dr510769","S.150","True","Mugure","11/23/2021 6:13:00 AM","u 7","1","91.98276","464",""
"Dr510936","S.122","True","Mugure","11/26/2021 7:05:00 AM","u 6","1","500","467",""
"Dr510934","S.103","True","Rose","12/6/2021 7:26:00 AM","u20","4","1077.586","469",""
"Dr510938","S.122","True","Rose","12/6/2021 7:43:00 AM","u 6","1","500","470",""
"","S.136","True","","","u 8","1","250","471",""
"Dr510983","S.6","False","","","u 10","200","18103.45","770",""
"Dr510780","S.60185","True","Lucybriate","2/22/2023 6:47:00 AM","u 9","4","450","951",""
"Dr510912","S.35","True","Lucybriate","3/28/2022 8:08:00 AM","u 9","20","4800","683",""
"Dr511058","S.103","True","Mary","2/24/2023 9:43:00 AM","u20","4","1120.69","1078",""
"Dr561","S.103","True","Mugure","12/10/2021 7:35:00 AM","u 9","20","4741.379","476",""
"Dr510962","S.6","True","Lucybriate","2/23/2022 10:55:00 AM","u 10","200","14655.17","605",""
"Dr428","S.150","True","Rose","12/11/2021 9:54:00 AM","u 7","1","104.7414","479",""
"Dr428","S.99","False","admin","4/13/2022 10:54:00 AM","u 10","200","0","480",""
"Dr510939","S.103","True","Sarah","2/23/2023 2:13:00 PM","u 9","20","5000","1056",""
"Dr510805","S.60185","True","Rose","12/15/2021 12:05:00 PM","u20","4","991.3793","484",""
"","S.99","True","","","u20","4","1034.483","885",""
"Dr510984","S.103","True","Lucybriate","5/14/2022 8:48:00 AM","u20","4","1293.103","773",""
"Dr510985","S.9","True","Sarah","5/17/2022 7:15:00 AM","u 10","200","26000","774",""
"","S.143","True","","","u14","1","14655.17","489",""
"Dr510937","S.136","True","Lucybriate","6/20/2022 12:09:00 PM","u 8","1","400","825",""
"Dr510780","S.60166","True","Lucybriate","12/18/2021 1:28:00 PM","u20","4","900","496",""
"Dr392","S.9","True","Lucybriate","12/18/2021 3:33:00 PM","u 10","200","20689.65","503",""
"Dr510903","S.103","True","Lucybriate","12/20/2021 11:32:00 AM","u 9","20","4181.035","504",""
"Dr510986","S.60185","True","Sarah","5/19/2022 9:45:00 AM","u20","4","1551.724","775",""
"Dr471","S.6","True","Lucybriate","6/23/2022 7:31:00 AM","u 10","200","18000","837",""
"Dr510942","S.60166","True","Sarah","5/20/2022 6:07:00 AM","u 9","20","4568.965","777",""
"Dr510942","S.60166","True","Sarah","5/20/2022 6:09:00 AM","u20","4","1034.483","778",""
"Dr510778","S.6","True","Lucybriate","12/23/2021 7:54:00 AM","u 10","200","15517.24","513",""
"Dr190672","S.103","True","Lucybriate","12/24/2021 6:52:00 AM","u 9","20","4741.379","514",""
"Dr50654","S.7","True","Sarah","2/22/2023 8:55:00 AM","u 10","200","15086.21","515",""
"Dr50654","S.6","True","Lucybriate","12/27/2021 10:39:00 AM","u 10","200","15086.21","516",""
"Dr510943","S.122","True","Lucybriate","12/31/2021 10:34:00 AM","u 6","1","1","517",""
"Dr510794","S.35","True","Lucybriate","2/21/2023 11:03:00 AM","u20","4","1206.897","936",""
"","S.35","True","","","u 7","1","280.17","520",""
"Dr190672","S.35","True","Lucybriate","1/3/2022 1:06:00 PM","u 7","1","318.9655","522",""
"Dr510721","S.16","True","Sarah","2/24/2023 7:45:00 AM","u 10","183","19764","1062",""
"Dr510988","S.122","True","Lucybriate","7/5/2022 7:35:00 AM","u 6","1","600","873",""
"","S.60193","True","","","u 8","4","5172.414","526","S.93"
"Dr510944","S.60193","True","Rose","1/4/2022 6:48:00 AM","u 8","4","1293.103","533",""
"Dr510766","S.60193","True","Lucybriate","5/25/2022 8:23:00 AM","u 8","4","1077.586","783",""
"","S.60193","True","","","u20","4","1077.586","784","S.93"
"Dr511012","S.103","True","Mary","7/22/2022 10:14:00 AM","u20","4","1293.103","899",""
"Dr510850","S.103","True","Lucybriate","5/27/2022 1:50:00 PM","u 9","20","4482.759","787",""
"Dr510945","S.103","False","Rose","2/3/2022 8:48:00 AM","u 9","20","103448.3","534",""
"Dr510945","S.60166","True","Rose","1/5/2022 1:02:00 PM","u 9","20","5172.414","536",""
"Dr510946","S.35","True","Mugure","1/7/2022 7:09:00 AM","u20","4","1724.138","537",""
"Dr510947","S.6","True","Lucybriate","1/7/2022 12:19:00 PM","u 10","200","14886","538",""
