"script","pagesecurity","description"
"PriceListdisplay.php","3","Sales Comission Setup"
"PrintCustAgeing.php","0","Aging Reports"
"PrintCustStatements.php","0","Print Customer Statements"
"PrintMemberStatements.php","0","Print member statements"
"PrintSuppAgeing.php","0","Print Ageing Reports"
"PrintvendorStatements.php","0","Print Vendor statements"
"Production.php","3","This is for the manager"
"ProductionConfig.php","0","Production Setup"
"ProductionCutback.php","3","Production cutback"
"ProductionDataEntry.php","3","This is for the Sales Reps"
"productionEmployee.php","0","Production Employee"
"productionManager.php","0","Production Manager"
"ProductionRequisation.php","0","Production Requisation"
"ProductionSummary.php","0","Lab Test"
"Projectcomparison.php","0","PROJECT"
"PurchaseAssetsList.php","0","Fixed Assets"
"PurchaseOder.php","0","Create Purchase orders"
"PurchaseOderAssets.php","0","Purchase Assets"
"PurchaseOrderDBlist.php","0","Debit Note list"
"PurchaseOrderList.php","0","Purchase order Printing"
"PurchasevendorDBlist.php","0","Debit Note"
"receipts.php","6","Customer Receipts"
"receiptsprepayment.php","6","Receipts Prepayment"
"ReceitsAllocation.php","0","Receipts Allocation"
"SalesCommision.php","15","Sales Comission Setup"
"Salescreditnote.php","8","Sales Credit Note"
"SalesDelivery.php","0","Enter Delivery"
"SalesDeliveryList.php","0","Sales Returns"
"SalesFollowups.php","0","Customer Relations"
"SalesInvoice.php","0","Sales Invoice"
"SalesInvoicefromorders.php","0","Sales Invoice from sales orders"
"SalesLabtests.php","0","Sample Registration"
"SalesMan.php","0","Sales Man setup"
"SalesOder.php","0","Sales orders"
"SalespickingList.php","3","Sales picking List"
"SalesQuotation.php","1","Quotation"
"SalesRepTarget.php","0","Customer Relations"
"salessamples.php","1","Requset to issue sample"
"SalesStockReturns.php","0","Credit Note"
"SecurityTokens.php","15"," "
"SelectAsset.php","0","Select Fixed asste"
"SelectCustomer.php","0","Find Customer"
"SelectFellowshipMembers.php","0","Print member Fellowships"
"SelectMembers.php","0","Edit Members"
"SelectProduct.php","0","Select Inventory"
"selectReports.php","0","Print Ledger summary"
"SelectSalesRep.php","0","Edit sales Rep"
"SelectSupplier.php","0","Find Supplier"
"serviceInvoicecompleted.php","0","Service Invoices Completed"
"ServiceOder.php","4","Service Invoice"
"Setupbalancesheet.php","10","Balance sheet setup"
"Setupincomestatement.php","10","Setup income statement"
"SMTPServer.php","0"," "
"StockAdjustments.php","14","Stock Adjustment"
"StockConsuptionIssues.php","3","This is for the manager"
"StockContainer.php","0","Container Module"
"StockCorrection.php","11","Modify"
"StockIssues.php","3","Stock Issues (For Constuction)"
"stockitemcategories.php","14","Stock Categories"
"StockMovements.php","0","Stock movement"
"Stocks.php","3","Create Stocks"
"StockSpoiilageReturns.php","0","Customers Stock Replacement"
"stockstores.php","14","Stores"
"Stocktransfer.php","3","Stock Transfer"
"Supplier.php","2","Create Supplier"
"Supplierdebitnote.php","8","Debit Note"
"SupplierInvoice.php","8","Supplier invoice"
"SupplierInvoiceFa.php","8","Fixed Assets Supplier invoice"
"SupplierPostingGroups.php","8"," "
"SystemParameters.php","15"," "
"Tanksunit.php","14","Production Storage"
"TaskManagementReport.php","11","CRM Management Task"
"TollblendingIssues.php","0","This is for the Stock"
"Tradein.php","15","Inventory Tradein"
"unitsofmesure.php","14","Unit of measure"
"UserSettings.php","0","system(used by all)"
"vatcategory.php","8","VAT Setup"
"Workorder.php","0","workorder"
"WorkorderRequisation.php","0","Work order issue stocks"
"worksheetentry.php","0","Work Sheet Entry"
"WriteCheque.php","6","Write Cheques"
"WWW_Access.php","14"," "
"WWW_Users.php","14"," "
