"entryno","documenttype","docdate","documentno","locationcode","stocktype","code","description","unitofmeasure","Quantity","Quantity_toinvoice","Qunatity_delivered","UnitPrice","vatamount","invoiceamount","completed","printed","containerprice","containersunits","totalchargedcontainers","containercode","vatrate","inclusive","UOM","shipping","discount","PartPerUnit","QuantityToReceive","PriceToReceive","unitofreceivedIn","packzizegrn"
"1012051","18","1/29/2021 12:00:00 AM","LPO1115","","","S.15                ","Drum Empties                                      ","Units     ","126.00","","126.00","1100","0.00","138600.00","True","","","","","","0.00","True","fulqty","","0","1","126","1100","Units     ","1"
"1012052","30","1/29/2021 12:00:00 AM","GRN826","","","S.15                ","Drum Empties                                      ","Units     ","126.00","","","1100","0.00","138600.00","","","","","","","0.00","True","fulqty","","","1","126","1100","Units     ","1"
"1012053","20","1/29/2021 12:00:00 AM","PINV787","          ","","S.15                ","Drum Empties                                      ","Units     ","126.00","","","1100","0.00","138600.00","","","","","","","0.00","True","fulqty","","","1","126","1100","Units     ","1"
"1012054","18","2/3/2021 12:00:00 AM","LPO1117","","","S.16","183 kgs Bitumen 80/100                            ","Drums     ","10980.00","","10980.00","52.59","92383.45","669780.00","True","","","","","","16.00","False","loosqty","","0","1","10980","52.59","Drums     ","1"
"1012055","30","2/3/2021 12:00:00 AM","GRN827","","","S.16","183 kgs Bitumen 80/100                            ","Drums     ","10980.00","","","52.59","92383.45","669780.00","","","","","","","16.00","False","loosqty","","","1","10980","52.59","Drums     ","1"
"1012056","20","2/3/2021 12:00:00 AM","PINV788","          ","","S.16","183 kgs Bitumen 80/100                            ","Drums     ","10980.00","","","52.59","92383.45","669780.00","","","","","","","16.00","False","loosqty","","","1","10980","52.59","Drums     ","1"
"1012057","18","2/4/2021 12:00:00 AM","LPO1118","","","S.15                ","Drum Empties                                      ","Units     ","10.00","","10.00","900","0.00","9000.00","True","","","","","","0.00","False","fulqty","","0","1","10","900","Units     ","1"
"1012058","30","2/4/2021 12:00:00 AM","GRN828","","","S.15                ","Drum Empties                                      ","Units     ","10.00","","","900","0.00","9000.00","","","","","","","0.00","False","fulqty","","","1","10","900","Units     ","1"
"1012059","20","2/4/2021 12:00:00 AM","PINV789","          ","","S.15                ","Drum Empties                                      ","Units     ","10.00","","","900","0.00","9000.00","","","","","","","0.00","False","fulqty","","","1","10","900","Units     ","1"
"1012060","18","2/2/2021 12:00:00 AM","LPO1119","","","S.15                ","Drum Empties                                      ","Units     ","8.00","","8.00","900","0.00","7200.00","True","","","","","","0.00","False","fulqty","","0","1","8","900","Units     ","1"
"1012061","30","2/2/2021 12:00:00 AM","GRN829","","","S.15                ","Drum Empties                                      ","Units     ","8.00","","","900","0.00","7200.00","","","","","","","0.00","False","fulqty","","","1","8","900","Units     ","1"
"1012062","20","2/2/2021 12:00:00 AM","PINV790","          ","","S.15                ","Drum Empties                                      ","Units     ","8.00","","","900","0.00","7200.00","","","","","","","0.00","False","fulqty","","","1","8","900","Units     ","1"
"1012063","18","2/9/2021 12:00:00 AM","LPO1120","","","S.15                ","Drum Empties                                      ","Units     ","12.00","","12.00","900","0.00","10800.00","True","","","","","","0.00","False","fulqty","","0","1","12","900","Units     ","1"
"1012064","30","2/9/2021 12:00:00 AM","GRN830","","","S.15                ","Drum Empties                                      ","Units     ","12.00","","","900","0.00","10800.00","","","","","","","0.00","False","fulqty","","","1","12","900","Units     ","1"
"1012065","20","2/9/2021 12:00:00 AM","PINV791","          ","","S.15                ","Drum Empties                                      ","Units     ","12.00","","","900","0.00","10800.00","","","","","","","0.00","False","fulqty","","","1","12","900","Units     ","1"
"1012066","18","2/11/2021 12:00:00 AM","LPO1121","","","S.15                ","Drum Empties                                      ","Units     ","1.00","","1.00","600","0.00","600.00","True","","","","","","0.00","False","fulqty","","0","1","1","600","Units     ","1"
"1012067","30","2/11/2021 12:00:00 AM","GRN831","","","S.15                ","Drum Empties                                      ","Units     ","1.00","","","600","0.00","600.00","","","","","","","0.00","False","fulqty","","","1","1","600","Units     ","1"
"1012068","20","2/11/2021 12:00:00 AM","PINV792","          ","","S.15                ","Drum Empties                                      ","Units     ","1.00","","","600","0.00","600.00","","","","","","","0.00","False","fulqty","","","1","1","600","Units     ","1"
"1012069","18","2/12/2021 12:00:00 AM","LPO1122","","","S.15                ","Drum Empties                                      ","Units     ","10.00","","10.00","900","0.00","9000.00","True","","","","","","0.00","False","fulqty","","0","1","10","900","Units     ","1"
"1012070","30","2/12/2021 12:00:00 AM","GRN832","","","S.15                ","Drum Empties                                      ","Units     ","10.00","","","900","0.00","9000.00","","","","","","","0.00","False","fulqty","","","1","10","900","Units     ","1"
"1012071","20","2/12/2021 12:00:00 AM","PINV793","          ","","S.15                ","Drum Empties                                      ","Units     ","10.00","","","900","0.00","9000.00","","","","","","","0.00","False","fulqty","","","1","10","900","Units     ","1"
"1012072","18","2/12/2021 12:00:00 AM","LPO1123","","","S.87                ","TURPENTINE                                        ","litres    ","630.00","","630.00","150.86","15206.90","110250.00","True","","","","","","16.00","False","fulqty","","0","1","630","150.86","litres    ","1"
"1012073","18","2/12/2021 12:00:00 AM","LPO1123","","","S.144               ","WHITE SPIRIT (LAWS)                               ","litres    ","420.00","","420.00","155.17","10427.59","75600.00","True","","","","","","16.00","False","fulqty","","0","1","420","155.17","litres    ","1"
"1012074","30","2/12/2021 12:00:00 AM","GRN833","","","S.87                ","TURPENTINE                                        ","litres    ","630.00","","","150.86","15206.90","110250.00","","","","","","","16.00","False","fulqty","","","1","630","150.86","litres    ","1"
"1012075","30","2/12/2021 12:00:00 AM","GRN833","","","S.144               ","WHITE SPIRIT (LAWS)                               ","litres    ","420.00","","","155.17","10427.59","75600.00","","","","","","","16.00","False","fulqty","","","1","420","155.17","litres    ","1"
"1012076","20","2/12/2021 12:00:00 AM","PINV794","          ","","S.87                ","TURPENTINE                                        ","litres    ","630.00","","","150.86","15206.90","110250.00","","","","","","","16.00","False","fulqty","","","1","630","150.86","litres    ","1"
"1012077","20","2/12/2021 12:00:00 AM","PINV794","          ","","S.144               ","WHITE SPIRIT (LAWS)                               ","litres    ","420.00","","","155.17","10427.59","75600.00","","","","","","","16.00","False","fulqty","","","1","420","155.17","litres    ","1"
