"DocumentNo","SampleID","SampleTypeID","ParameterID","Method","Limits_min","Limits_max","Results","lastuserid","lastdatetime"
"B/No954","S.6","S.6","7","","Positive","","Positive","Elias","10/7/2021 8:41:55 AM"
"B/No955","S.6","S.6","2","","","0.05","0.03","Elias","10/7/2021 8:43:55 AM"
"B/No955","S.6","S.6","3","","","","-","Elias","10/7/2021 8:43:55 AM"
"B/No955","S.6","S.6","4","","57","60","60","Elias","10/7/2021 8:43:55 AM"
"B/No955","S.6","S.6","5","","6","9","7","Elias","10/7/2021 8:43:55 AM"
"B/No955","S.6","S.6","6","","Nil","","Nil","Elias","10/7/2021 8:43:55 AM"
"B/No955","S.6","S.6","7","","Positive","","Positive","Elias","10/7/2021 8:43:55 AM"
"B/No967","S.7","S.7","8","","","0.05","0.01","Elias","10/7/2021 9:22:21 AM"
"B/No967","S.7","S.7","9","","","","-","Elias","10/7/2021 9:22:21 AM"
"B/No967","S.7","S.7","10","","","","-","Elias","10/7/2021 9:22:21 AM"
"B/No967","S.7","S.7","11","","68","70","69","Elias","10/7/2021 9:22:21 AM"
"B/No967","S.7","S.7","12","","25","35","28","Elias","10/7/2021 9:22:21 AM"
"B/No967","S.7","S.7","13","","Nil","","-","Elias","10/7/2021 9:22:21 AM"
"B/No967","S.7","S.7","14","","Positive","","Positive","Elias","10/7/2021 9:22:21 AM"
"B/No966","S.95","S.95","91","ASTM D1298","0.9","1.1","1.10","Elias","10/7/2021 9:22:42 AM"
"B/No966","S.95","S.95","92","ASTM D2172","57","","-","Elias","10/7/2021 9:22:42 AM"
"B/No966","S.95","S.95","93","ASTM D92","38","","42","Elias","10/7/2021 9:22:42 AM"
"B/No969","S.103","S.103","81","ASTM D6933","8","","Too Thick","Elias","10/8/2021 6:04:03 PM"
"B/No969","S.103","S.103","82","ASTM D6934","56","","58","Elias","10/8/2021 6:04:03 PM"
"B/No969","S.103","S.103","83","ASTM D244","Neutral ","","Neutral","Elias","10/8/2021 6:04:03 PM"
"B/No969","S.103","S.103","84","ASTM D6999","","","-","Elias","10/8/2021 6:04:03 PM"
"B/No969","S.103","S.103","85","ASTM D70","0.9","1.1","1.03","Elias","10/8/2021 6:04:03 PM"
"B/No970","S.60166","S.60166","76","ASTM D6933","8","","Too Thick","Elias","10/8/2021 6:04:36 PM"
"B/No970","S.60166","S.60166","77","ASTM D6934","60","","60","Elias","10/8/2021 6:04:36 PM"
"B/No970","S.60166","S.60166","78","ASTM D244","Neutral ","Negative","Neutral","Elias","10/8/2021 6:04:36 PM"
"B/No970","S.60166","S.60166","79","ASTM D6999","-","-","-","Elias","10/8/2021 6:04:36 PM"
"B/No970","S.60166","S.60166","80","ASTM D70","0.9","1.1","1.06","Elias","10/8/2021 6:04:36 PM"
"B/No971","S.7","S.7","8","","","0.05","0.01","Elias","10/8/2021 6:12:56 PM"
"B/No971","S.7","S.7","9","","","","-","Elias","10/8/2021 6:12:56 PM"
"B/No971","S.7","S.7","10","","","","-","Elias","10/8/2021 6:12:56 PM"
"B/No971","S.7","S.7","11","","68","70","68","Elias","10/8/2021 6:12:56 PM"
"B/No971","S.7","S.7","12","","25","35","28","Elias","10/8/2021 6:12:56 PM"
"B/No971","S.7","S.7","13","","Nil","","-","Elias","10/8/2021 6:12:56 PM"
"B/No971","S.7","S.7","14","","Positive","","Positive","Elias","10/8/2021 6:12:56 PM"
"B/No972","S.7","S.7","8","","","0.05","0.01","Elias","10/9/2021 9:40:51 AM"
"B/No972","S.7","S.7","9","","","","-","Elias","10/9/2021 9:40:51 AM"
"B/No972","S.7","S.7","10","","","","-","Elias","10/9/2021 9:40:51 AM"
"B/No972","S.7","S.7","11","","68","70","69","Elias","10/9/2021 9:40:51 AM"
"B/No972","S.7","S.7","12","","25","35","28","Elias","10/9/2021 9:40:51 AM"
"B/No972","S.7","S.7","13","","Nil","","-","Elias","10/9/2021 9:40:51 AM"
"B/No972","S.7","S.7","14","","Positive","","Positive","Elias","10/9/2021 9:40:51 AM"
"B/No974","S.6","S.6","2","","","0.05","0.03","Elias","10/13/2021 9:47:16 AM"
"B/No974","S.6","S.6","3","","","","-","Elias","10/13/2021 9:47:16 AM"
"B/No974","S.6","S.6","4","","57","60","60","Elias","10/13/2021 9:47:16 AM"
"B/No974","S.6","S.6","5","","6","9","7","Elias","10/13/2021 9:47:16 AM"
"B/No974","S.6","S.6","6","","Nil","","Nil","Elias","10/13/2021 9:47:16 AM"
"B/No974","S.6","S.6","7","","Positive","","Positive","Elias","10/13/2021 9:47:16 AM"
"B/No976","S.99","S.99","69","","","0.05","0.05","Elias","10/14/2021 4:54:11 PM"
"B/No976","S.99","S.99","70","","","","-","Elias","10/14/2021 4:54:11 PM"
"B/No976","S.99","S.99","71","","","","-","Elias","10/14/2021 4:54:11 PM"
"B/No976","S.99","S.99","72","","56","","55","Elias","10/14/2021 4:54:11 PM"
"B/No976","S.99","S.99","73","","","8","5","Elias","10/14/2021 4:54:11 PM"
"B/No976","S.99","S.99","74","","Nil","60","-","Elias","10/14/2021 4:54:11 PM"
"B/No976","S.99","S.99","75","","Negative","","Negatiive","Elias","10/14/2021 4:54:11 PM"
"B/No978","S.6","S.6","2","","","0.05","0.03","Elias","10/19/2021 2:44:23 PM"
"B/No978","S.6","S.6","3","","","","-","Elias","10/19/2021 2:44:23 PM"
"B/No978","S.6","S.6","4","","57","60","60","Elias","10/19/2021 2:44:23 PM"
"B/No978","S.6","S.6","5","","6","9","7","Elias","10/19/2021 2:44:23 PM"
"B/No978","S.6","S.6","6","","Nil","","Nil","Elias","10/19/2021 2:44:23 PM"
"B/No978","S.6","S.6","7","","Positive","","Positive","Elias","10/19/2021 2:44:23 PM"
"B/No979","S.95","S.95","91","ASTM D1298","0.9","1.1","1.10","Elias","10/21/2021 4:13:06 PM"
"B/No979","S.95","S.95","92","ASTM D2172","57","","-","Elias","10/21/2021 4:13:06 PM"
"B/No979","S.95","S.95","93","ASTM D92","38","","42","Elias","10/21/2021 4:13:06 PM"
"B/No994","S.6","S.6","2","","","0.05","0.03","Elias","10/29/2021 1:14:17 PM"
"B/No994","S.6","S.6","3","","","","-","Elias","10/29/2021 1:14:17 PM"
"B/No994","S.6","S.6","4","","57","60","60","Elias","10/29/2021 1:14:17 PM"
"B/No994","S.6","S.6","5","","6","9","7","Elias","10/29/2021 1:14:17 PM"
"B/No994","S.6","S.6","6","","Nil","","Nil","Elias","10/29/2021 1:14:17 PM"
"B/No994","S.6","S.6","7","","Positive","","Positive","Elias","10/29/2021 1:14:17 PM"
"B/No995","S.7","S.7","8","","","0.05","0.01","Elias","10/29/2021 1:24:46 PM"
"B/No995","S.7","S.7","9","","","","-","Elias","10/29/2021 1:24:46 PM"
"B/No995","S.7","S.7","10","","","","-","Elias","10/29/2021 1:24:46 PM"
"B/No995","S.7","S.7","11","","68","70","68","Elias","10/29/2021 1:24:46 PM"
"B/No995","S.7","S.7","12","","25","35","28","Elias","10/29/2021 1:24:46 PM"
"B/No995","S.7","S.7","13","","Nil","","-","Elias","10/29/2021 1:24:46 PM"
"B/No995","S.7","S.7","14","","Positive","","Positive","Elias","10/29/2021 1:24:46 PM"
"B/No996","S.9","S.9","15","","30","60","53","Elias","10/29/2021 1:31:26 PM"
"B/No996","S.9","S.9","16","","38","","42","Elias","10/29/2021 1:31:26 PM"
"B/No996","S.9","S.9","17","","","","-","Elias","10/29/2021 1:31:26 PM"
"B/No996","S.9","S.9","18","","0","25","-","Elias","10/29/2021 1:31:26 PM"
"B/No996","S.9","S.9","19","","40","70","-","Elias","10/29/2021 1:31:26 PM"
"B/No996","S.9","S.9","20","","40","70","-","Elias","10/29/2021 1:31:26 PM"
"B/No996","S.9","S.9","21","","75","93","-","Elias","10/29/2021 1:31:26 PM"
"B/No996","S.9","S.9","22","","50","","-","Elias","10/29/2021 1:31:26 PM"
"B/No996","S.9","S.9","23","","120","300","-","Elias","10/29/2021 1:31:26 PM"
"B/No996","S.9","S.9","24","","","0.2","-","Elias","10/29/2021 1:31:26 PM"
"B/No996","S.9","S.9","25","","","",">100","Elias","10/29/2021 1:31:26 PM"
"B/No996","S.9","S.9","26","","99","","99.6","Elias","10/29/2021 1:31:26 PM"
"B/No988","S.6","S.6","2","","","0.05","0.03","Elias","10/30/2021 12:32:26 PM"
"B/No988","S.6","S.6","3","","","","-","Elias","10/30/2021 12:32:26 PM"
"B/No988","S.6","S.6","4","","57","60","60","Elias","10/30/2021 12:32:26 PM"
"B/No988","S.6","S.6","5","","6","9","7","Elias","10/30/2021 12:32:26 PM"
"B/No988","S.6","S.6","6","","Nil","","Nil","Elias","10/30/2021 12:32:26 PM"
"B/No988","S.6","S.6","7","","Positive","","Positive","Elias","10/30/2021 12:32:26 PM"
"B/No984","S.6","S.6","2","","","0.05","0.03","Elias","10/30/2021 12:32:38 PM"
"B/No984","S.6","S.6","3","","","","-","Elias","10/30/2021 12:32:38 PM"
"B/No984","S.6","S.6","4","","57","60","60","Elias","10/30/2021 12:32:38 PM"
"B/No984","S.6","S.6","5","","6","9","7","Elias","10/30/2021 12:32:38 PM"
"B/No984","S.6","S.6","6","","Nil","","Nil","Elias","10/30/2021 12:32:38 PM"
"B/No984","S.6","S.6","7","","Positive","","Positive","Elias","10/30/2021 12:32:38 PM"
"B/No989","S.6","S.6","2","","","0.05","0.03","Elias","10/30/2021 12:32:50 PM"
"B/No989","S.6","S.6","3","","","","-","Elias","10/30/2021 12:32:50 PM"
"B/No989","S.6","S.6","4","","57","60","60","Elias","10/30/2021 12:32:50 PM"
"B/No989","S.6","S.6","5","","6","9","7","Elias","10/30/2021 12:32:50 PM"
"B/No989","S.6","S.6","6","","Nil","","Nil","Elias","10/30/2021 12:32:50 PM"
"B/No989","S.6","S.6","7","","Positive","","Positive","Elias","10/30/2021 12:32:50 PM"
"B/No997","S.6","S.6","2","","","0.05","0.03","Elias","10/30/2021 12:33:04 PM"
"B/No997","S.6","S.6","3","","","","-","Elias","10/30/2021 12:33:04 PM"
"B/No997","S.6","S.6","4","","57","60","60","Elias","10/30/2021 12:33:04 PM"
"B/No997","S.6","S.6","5","","6","9","7","Elias","10/30/2021 12:33:04 PM"
"B/No997","S.6","S.6","6","","Nil","","Nil","Elias","10/30/2021 12:33:04 PM"
"B/No997","S.6","S.6","7","","Positive","","Positive","Elias","10/30/2021 12:33:04 PM"
"B/No985","S.6","S.6","2","","","0.05","0.03","Elias","10/30/2021 12:33:19 PM"
"B/No985","S.6","S.6","3","","","","-","Elias","10/30/2021 12:33:19 PM"
"B/No985","S.6","S.6","4","","57","60","60","Elias","10/30/2021 12:33:19 PM"
"B/No985","S.6","S.6","5","","6","9","7","Elias","10/30/2021 12:33:19 PM"
"B/No985","S.6","S.6","6","","Nil","","Nil","Elias","10/30/2021 12:33:19 PM"
"B/No985","S.6","S.6","7","","Positive","","Positive","Elias","10/30/2021 12:33:19 PM"
"B/No987","S.6","S.6","2","","","0.05","0.03","Elias","10/30/2021 12:34:39 PM"
"B/No987","S.6","S.6","3","","","","-","Elias","10/30/2021 12:34:39 PM"
"B/No987","S.6","S.6","4","","57","60","60","Elias","10/30/2021 12:34:39 PM"
"B/No987","S.6","S.6","5","","6","9","7","Elias","10/30/2021 12:34:39 PM"
"B/No987","S.6","S.6","6","","Nil","","Nil","Elias","10/30/2021 12:34:39 PM"
"B/No987","S.6","S.6","7","","Positive","","Positive","Elias","10/30/2021 12:34:39 PM"
"B/No998","S.6","S.6","2","","","0.05","0.03","Elias","10/30/2021 12:51:29 PM"
"B/No998","S.6","S.6","3","","","","-","Elias","10/30/2021 12:51:29 PM"
"B/No998","S.6","S.6","4","","57","60","60","Elias","10/30/2021 12:51:29 PM"
"B/No998","S.6","S.6","5","","6","9","7","Elias","10/30/2021 12:51:29 PM"
"B/No998","S.6","S.6","6","","Nil","","Nil","Elias","10/30/2021 12:51:29 PM"
"B/No998","S.6","S.6","7","","Positive","","Positive","Elias","10/30/2021 12:51:29 PM"
"B/No1001","S.60166","S.60166","76","ASTM D6933","8","","Too Thick","Elias","11/1/2021 11:59:38 AM"
"B/No1001","S.60166","S.60166","77","ASTM D6934","60","","60","Elias","11/1/2021 11:59:38 AM"
"B/No1001","S.60166","S.60166","78","ASTM D244","Neutral ","Negative","Neutral","Elias","11/1/2021 11:59:38 AM"
"B/No1001","S.60166","S.60166","79","ASTM D6999","-","-","-","Elias","11/1/2021 11:59:38 AM"
"B/No1001","S.60166","S.60166","80","ASTM D70","0.9","1.1","1.06","Elias","11/1/2021 11:59:38 AM"
"B/No1002","S.103","S.103","81","ASTM D6933","8","","Too Thick","Elias","11/1/2021 12:13:37 PM"
"B/No1002","S.103","S.103","82","ASTM D6934","56","","58","Elias","11/1/2021 12:13:37 PM"
"B/No1002","S.103","S.103","83","ASTM D244","Neutral ","","Neutral","Elias","11/1/2021 12:13:37 PM"
"B/No1002","S.103","S.103","84","ASTM D6999","","","-","Elias","11/1/2021 12:13:37 PM"
"B/No1002","S.103","S.103","85","ASTM D70","0.9","1.1","1.03","Elias","11/1/2021 12:13:37 PM"
"B/No1003","S.103","S.103","81","ASTM D6933","8","","Too Thick","Elias","11/1/2021 12:29:09 PM"
"B/No1003","S.103","S.103","82","ASTM D6934","56","","58","Elias","11/1/2021 12:29:09 PM"
"B/No1003","S.103","S.103","83","ASTM D244","Neutral ","","Neutral","Elias","11/1/2021 12:29:09 PM"
"B/No1003","S.103","S.103","84","ASTM D6999","","","-","Elias","11/1/2021 12:29:09 PM"
"B/No1003","S.103","S.103","85","ASTM D70","0.9","1.1","1.03","Elias","11/1/2021 12:29:09 PM"
"B/No1004","S.60166","S.60166","76","ASTM D6933","8","","Too Thick","Elias","11/1/2021 12:33:52 PM"
"B/No1004","S.60166","S.60166","77","ASTM D6934","60","","60","Elias","11/1/2021 12:33:52 PM"
"B/No1004","S.60166","S.60166","78","ASTM D244","Neutral ","Negative","Neutral","Elias","11/1/2021 12:33:52 PM"
"B/No1004","S.60166","S.60166","79","ASTM D6999","-","-","-","Elias","11/1/2021 12:33:52 PM"
"B/No1004","S.60166","S.60166","80","ASTM D70","0.9","1.1","1.06","Elias","11/1/2021 12:33:52 PM"
"B/No1007","S.7","S.7","8","","","0.05","0.01","Elias","11/3/2021 11:10:17 AM"
"B/No1007","S.7","S.7","9","","","","-","Elias","11/3/2021 11:10:17 AM"
"B/No1007","S.7","S.7","10","","","","-","Elias","11/3/2021 11:10:17 AM"
"B/No1007","S.7","S.7","11","","68","70","69","Elias","11/3/2021 11:10:17 AM"
"B/No1007","S.7","S.7","12","","25","35","28","Elias","11/3/2021 11:10:17 AM"
"B/No1007","S.7","S.7","13","","Nil","","-","Elias","11/3/2021 11:10:17 AM"
"B/No1007","S.7","S.7","14","","Positive","","Positive","Elias","11/3/2021 11:10:17 AM"
"B/No1008","S.7","S.7","8","","","0.05","0.01","Elias","11/3/2021 11:19:31 AM"
"B/No1008","S.7","S.7","9","","","","-","Elias","11/3/2021 11:19:31 AM"
"B/No1008","S.7","S.7","10","","","","-","Elias","11/3/2021 11:19:31 AM"
"B/No1008","S.7","S.7","11","","68","70","69","Elias","11/3/2021 11:19:31 AM"
"B/No1008","S.7","S.7","12","","25","35","28","Elias","11/3/2021 11:19:31 AM"
"B/No1008","S.7","S.7","13","","Nil","","-","Elias","11/3/2021 11:19:31 AM"
"B/No1008","S.7","S.7","14","","Positive","","Positive","Elias","11/3/2021 11:19:31 AM"
"B/No1009","S.6","S.6","2","","","0.05","0.03","Elias","11/3/2021 11:42:14 AM"
"B/No1009","S.6","S.6","3","","","","-","Elias","11/3/2021 11:42:14 AM"
"B/No1009","S.6","S.6","4","","57","60","60","Elias","11/3/2021 11:42:14 AM"
"B/No1009","S.6","S.6","5","","6","9","7","Elias","11/3/2021 11:42:14 AM"
"B/No1009","S.6","S.6","6","","Nil","","Nil","Elias","11/3/2021 11:42:14 AM"
"B/No1009","S.6","S.6","7","","Positive","","Positive","Elias","11/3/2021 11:42:14 AM"
"B/No1012","S.7","S.7","8","","","0.05","0.01","Elias","11/3/2021 11:43:22 AM"
"B/No1012","S.7","S.7","9","","","","-","Elias","11/3/2021 11:43:22 AM"
"B/No1012","S.7","S.7","10","","","","-","Elias","11/3/2021 11:43:22 AM"
"B/No1012","S.7","S.7","11","","68","70","70","Elias","11/3/2021 11:43:22 AM"
"B/No1012","S.7","S.7","12","","25","35","28","Elias","11/3/2021 11:43:22 AM"
"B/No1012","S.7","S.7","13","","Nil","","-","Elias","11/3/2021 11:43:22 AM"
"B/No1012","S.7","S.7","14","","Positive","","Positive","Elias","11/3/2021 11:43:22 AM"
"B/No1013","S.7","S.7","8","","","0.05","0.01","Elias","11/3/2021 12:41:37 PM"
"B/No1013","S.7","S.7","9","","","","-","Elias","11/3/2021 12:41:37 PM"
"B/No1013","S.7","S.7","10","","","","-","Elias","11/3/2021 12:41:37 PM"
"B/No1013","S.7","S.7","11","","68","70","68.4","Elias","11/3/2021 12:41:37 PM"
"B/No1013","S.7","S.7","12","","25","35","28","Elias","11/3/2021 12:41:37 PM"
"B/No1013","S.7","S.7","13","","Nil","","-","Elias","11/3/2021 12:41:37 PM"
"B/No1013","S.7","S.7","14","","Positive","","Positive","Elias","11/3/2021 12:41:37 PM"
"B/No1015","S.35","S.35","95","KS 02-1239","30","60","56","Elias","11/9/2021 2:25:12 PM"
"B/No1015","S.35","S.35","96","ASTM 3741","Black","Black","Black","Elias","11/9/2021 2:25:12 PM"
"B/No1015","S.35","S.35","97","ASTM D1298","0.9","1.1","1.07","Elias","11/9/2021 2:25:12 PM"
"B/No1015","S.35","S.35","98","ASTM D2172","55","","64","Elias","11/9/2021 2:25:12 PM"
"B/No1015","S.35","S.35","99","ASTM D92","38","","52","Elias","11/9/2021 2:25:12 PM"
"B/No1016","S.9","S.9","15","","30","60","55","Elias","11/9/2021 2:34:26 PM"
"B/No1016","S.9","S.9","16","","38","","42","Elias","11/9/2021 2:34:26 PM"
"B/No1016","S.9","S.9","17","","","","-","Elias","11/9/2021 2:34:26 PM"
"B/No1016","S.9","S.9","18","","0","25","-","Elias","11/9/2021 2:34:26 PM"
"B/No1016","S.9","S.9","19","","40","70","-","Elias","11/9/2021 2:34:26 PM"
"B/No1016","S.9","S.9","20","","40","70","-","Elias","11/9/2021 2:34:26 PM"
"B/No1016","S.9","S.9","21","","75","93","-","Elias","11/9/2021 2:34:26 PM"
"B/No1016","S.9","S.9","22","","50","","-","Elias","11/9/2021 2:34:26 PM"
"B/No1271","S.10","S.10","36","","","","-","Elias","6/21/2022 3:22:48 PM"
"B/No1271","S.10","S.10","37","","0","20","-","Elias","6/21/2022 3:22:48 PM"
"B/No1271","S.10","S.10","38","","20","60","-","Elias","6/21/2022 3:22:48 PM"
"B/No1271","S.10","S.10","39","","65","90","-","Elias","6/21/2022 3:22:48 PM"
"B/No1271","S.10","S.10","40","","55","","-","Elias","6/21/2022 3:22:48 PM"
"B/No1271","S.10","S.10","41","","120","300","-","Elias","6/21/2022 3:22:48 PM"
"B/No1271","S.10","S.10","42","","0.2","","-","Elias","6/21/2022 3:22:48 PM"
"B/No1271","S.10","S.10","43","","100","","-","Elias","6/21/2022 3:22:48 PM"
"B/No1271","S.10","S.10","44","","99","","-","Elias","6/21/2022 3:22:48 PM"
"B/No1270","S.6","S.6","2","","","0.05","0.03","Elias","6/21/2022 3:24:05 PM"
"B/No1270","S.6","S.6","3","","","","-","Elias","6/21/2022 3:24:05 PM"
"B/No1270","S.6","S.6","4","","57","60","57","Elias","6/21/2022 3:24:05 PM"
"B/No1270","S.6","S.6","5","","6","9","6","Elias","6/21/2022 3:24:05 PM"
"B/No1270","S.6","S.6","6","","Nil","","Nil","Elias","6/21/2022 3:24:05 PM"
"B/No1270","S.6","S.6","7","","Positive","","Positive","Elias","6/21/2022 3:24:05 PM"
"B/No1269","S.6","S.6","2","","","0.05","0.03","Elias","6/21/2022 3:25:03 PM"
"B/No1269","S.6","S.6","3","","","","-","Elias","6/21/2022 3:25:03 PM"
"B/No1269","S.6","S.6","4","","57","60","57","Elias","6/21/2022 3:25:03 PM"
"B/No1269","S.6","S.6","5","","6","9","6","Elias","6/21/2022 3:25:03 PM"
"B/No1269","S.6","S.6","6","","Nil","","Nil","Elias","6/21/2022 3:25:03 PM"
"B/No1269","S.6","S.6","7","","Positive","","Positive","Elias","6/21/2022 3:25:03 PM"
"B/No1268","S.7","S.7","8","","","0.05","0.01","Elias","6/21/2022 3:25:50 PM"
"B/No1268","S.7","S.7","9","","","","-","Elias","6/21/2022 3:25:50 PM"
"B/No1268","S.7","S.7","10","","","","-","Elias","6/21/2022 3:25:50 PM"
"B/No1268","S.7","S.7","11","","68","70","68","Elias","6/21/2022 3:25:50 PM"
"B/No1268","S.7","S.7","12","","25","35","25","Elias","6/21/2022 3:25:50 PM"
"B/No1268","S.7","S.7","13","","Nil","","-","Elias","6/21/2022 3:25:50 PM"
"B/No1268","S.7","S.7","14","","Positive","","Positive","Elias","6/21/2022 3:25:50 PM"
"B/No1266","S.6","S.6","2","","","0.05","0.03","Elias","6/21/2022 3:26:31 PM"
"B/No1266","S.6","S.6","3","","","","-","Elias","6/21/2022 3:26:31 PM"
"B/No1266","S.6","S.6","4","","57","60","57","Elias","6/21/2022 3:26:31 PM"
"B/No1266","S.6","S.6","5","","6","9","6","Elias","6/21/2022 3:26:31 PM"
"B/No1266","S.6","S.6","6","","Nil","","Nil","Elias","6/21/2022 3:26:31 PM"
"B/No1266","S.6","S.6","7","","Positive","","Positive","Elias","6/21/2022 3:26:31 PM"
"B/No1267","S.7","S.7","8","","","0.05","0.01","Elias","6/21/2022 3:27:25 PM"
"B/No1267","S.7","S.7","9","","","","-","Elias","6/21/2022 3:27:25 PM"
"B/No1267","S.7","S.7","10","","","","-","Elias","6/21/2022 3:27:25 PM"
"B/No1267","S.7","S.7","11","","68","70","68","Elias","6/21/2022 3:27:25 PM"
"B/No1267","S.7","S.7","12","","25","35","25","Elias","6/21/2022 3:27:25 PM"
"B/No1267","S.7","S.7","13","","Nil","","-","Elias","6/21/2022 3:27:25 PM"
"B/No1267","S.7","S.7","14","","Positive","","Positive","Elias","6/21/2022 3:27:25 PM"
"B/No1265","S.6","S.6","2","","","0.05","0.03","Elias","6/21/2022 3:28:24 PM"
"B/No1265","S.6","S.6","3","","","","-","Elias","6/21/2022 3:28:24 PM"
"B/No1265","S.6","S.6","4","","57","60","56","Elias","6/21/2022 3:28:24 PM"
"B/No1265","S.6","S.6","5","","6","9","6","Elias","6/21/2022 3:28:24 PM"
"B/No1265","S.6","S.6","6","","Nil","","Nil","Elias","6/21/2022 3:28:24 PM"
"B/No1265","S.6","S.6","7","","Positive","","Positive","Elias","6/21/2022 3:28:24 PM"
"B/No1257","S.7","S.7","8","","","0.05","0.01","Elias","6/21/2022 3:29:32 PM"
"B/No1257","S.7","S.7","9","","","","-","Elias","6/21/2022 3:29:32 PM"
"B/No1257","S.7","S.7","10","","","","-","Elias","6/21/2022 3:29:32 PM"
"B/No1257","S.7","S.7","11","","68","70","68","Elias","6/21/2022 3:29:32 PM"
"B/No1257","S.7","S.7","12","","25","35","25","Elias","6/21/2022 3:29:32 PM"
"B/No1257","S.7","S.7","13","","Nil","","-","Elias","6/21/2022 3:29:32 PM"
"B/No1257","S.7","S.7","14","","Positive","","Positive","Elias","6/21/2022 3:29:32 PM"
"B/No1259","S.6","S.6","2","","","0.05","0.03","Elias","6/21/2022 3:30:23 PM"
"B/No1259","S.6","S.6","3","","","","-","Elias","6/21/2022 3:30:23 PM"
"B/No1259","S.6","S.6","4","","57","60","57","Elias","6/21/2022 3:30:23 PM"
"B/No1259","S.6","S.6","5","","6","9","5","Elias","6/21/2022 3:30:23 PM"
"B/No1259","S.6","S.6","6","","Nil","","Nil","Elias","6/21/2022 3:30:23 PM"
"B/No1259","S.6","S.6","7","","Positive","","Positive","Elias","6/21/2022 3:30:23 PM"
"B/No1261","S.6","S.6","2","","","0.05","0.03","Elias","6/21/2022 3:31:19 PM"
"B/No1261","S.6","S.6","3","","","","-","Elias","6/21/2022 3:31:19 PM"
"B/No1261","S.6","S.6","4","","57","60","57","Elias","6/21/2022 3:31:19 PM"
"B/No1261","S.6","S.6","5","","6","9","6","Elias","6/21/2022 3:31:19 PM"
"B/No1261","S.6","S.6","6","","Nil","","Nil","Elias","6/21/2022 3:31:19 PM"
"B/No1261","S.6","S.6","7","","Positive","","Positive","Elias","6/21/2022 3:31:19 PM"
"B/No1262","S.7","S.7","8","","","0.05","0.01","Elias","6/21/2022 3:32:21 PM"
"B/No1262","S.7","S.7","9","","","","-","Elias","6/21/2022 3:32:21 PM"
"B/No1262","S.7","S.7","10","","","","-","Elias","6/21/2022 3:32:21 PM"
"B/No1262","S.7","S.7","11","","68","70","68","Elias","6/21/2022 3:32:21 PM"
"B/No1262","S.7","S.7","12","","25","35","30","Elias","6/21/2022 3:32:21 PM"
"B/No1262","S.7","S.7","13","","Nil","","-","Elias","6/21/2022 3:32:21 PM"
"B/No1262","S.7","S.7","14","","Positive","","Positive","Elias","6/21/2022 3:32:21 PM"
"B/No1263","S.6","S.6","2","","","0.05","0.03","Elias","6/21/2022 3:33:22 PM"
"B/No1263","S.6","S.6","3","","","","-","Elias","6/21/2022 3:33:22 PM"
"B/No1263","S.6","S.6","4","","57","60","59","Elias","6/21/2022 3:33:22 PM"
"B/No1263","S.6","S.6","5","","6","9","6","Elias","6/21/2022 3:33:22 PM"
"B/No1263","S.6","S.6","6","","Nil","","Nil","Elias","6/21/2022 3:33:22 PM"
"B/No1263","S.6","S.6","7","","Positive","","Positive","Elias","6/21/2022 3:33:22 PM"
"B/No1252","S.7","S.7","8","","","0.05","0.01","Elias","6/21/2022 3:34:06 PM"
"B/No1252","S.7","S.7","9","","","","-","Elias","6/21/2022 3:34:06 PM"
"B/No1252","S.7","S.7","10","","","","-","Elias","6/21/2022 3:34:06 PM"
"B/No1252","S.7","S.7","11","","68","70","69","Elias","6/21/2022 3:34:06 PM"
"B/No1252","S.7","S.7","12","","25","35","25","Elias","6/21/2022 3:34:06 PM"
"B/No1252","S.7","S.7","13","","Nil","","-","Elias","6/21/2022 3:34:06 PM"
"B/No1252","S.7","S.7","14","","Positive","","Positive","Elias","6/21/2022 3:34:06 PM"
"B/No1240","S.6","S.6","2","","","0.05","0.03","Elias","6/21/2022 3:34:54 PM"
"B/No1240","S.6","S.6","3","","","","-","Elias","6/21/2022 3:34:54 PM"
"B/No1240","S.6","S.6","4","","57","60","57.9","Elias","6/21/2022 3:34:54 PM"
"B/No1240","S.6","S.6","5","","6","9","6","Elias","6/21/2022 3:34:54 PM"
"B/No1240","S.6","S.6","6","","Nil","","Nil","Elias","6/21/2022 3:34:54 PM"
"B/No1240","S.6","S.6","7","","Positive","","Positive","Elias","6/21/2022 3:34:54 PM"
"B/No1241","S.99","S.99","69","","","0.05","0.05","Elias","6/21/2022 3:36:49 PM"
"B/No1241","S.99","S.99","70","","","","-","Elias","6/21/2022 3:36:49 PM"
"B/No1241","S.99","S.99","71","","","","-","Elias","6/21/2022 3:36:49 PM"
"B/No1241","S.99","S.99","72","","56","","60.9","Elias","6/21/2022 3:36:49 PM"
"B/No1241","S.99","S.99","73","","","8","3.4","Elias","6/21/2022 3:36:49 PM"
"B/No1241","S.99","S.99","74","","Nil","60","-","Elias","6/21/2022 3:36:49 PM"
"B/No1241","S.99","S.99","75","","Negative","","Negatiive","Elias","6/21/2022 3:36:49 PM"
"B/No1246","S.60166","S.60166","76","ASTM D6933","8","","Too Thick","Elias","6/21/2022 3:37:47 PM"
"B/No1246","S.60166","S.60166","77","ASTM D6934","60","","60","Elias","6/21/2022 3:37:47 PM"
