"Date","Documentno","Documenttype","Accountno","Grossamount","JournalNo","Dimension_One","Dimension_Two","Currency","whtax"
"3/9/2022 12:00:00 AM","P0286               ","2","cr515               ","19550.00","Jv34811             ","","","KES",""
"3/9/2022 12:00:00 AM","P0286               ","2","cr514               ","45964.00","Jv34813             ","","","KES",""
"3/14/2022 12:00:00 AM","1723                ","23","cr190619            ","-37669.00","Jv34835             ","14        ","          ","KES","False"
"3/15/2022 12:00:00 AM","chq003081           ","53","cr190619            ","37669.00","Jv34837             ","","","KES",""
"3/15/2022 12:00:00 AM","1724                ","23","cr190670            ","-13920.00","Jv34838             ","09        ","          ","KES","False"
"3/15/2022 12:00:00 AM","chq003084           ","53","cr190670            ","13920.00","Jv34840             ","","","KES",""
"3/15/2022 12:00:00 AM","1725                ","23","cr371               ","-34201.00","Jv34841             ","E9        ","          ","KES","False"
"3/15/2022 12:00:00 AM","chq003083           ","53","cr371               ","34201.00","Jv34843             ","","","KES",""
"3/15/2022 12:00:00 AM","1726                ","23","cr372               ","-185369.00","Jv34844             ","E4        ","          ","KES","False"
"3/15/2022 12:00:00 AM","chq003082           ","53","cr372               ","185369.00","Jv34846             ","","","KES",""
"3/3/2022 12:00:00 AM","000123              ","53","cr120615            ","88000.00","Jv34850             ","","","KES",""
"3/15/2022 12:00:00 AM","LPO1629             ","20","cr190698            ","-114840.00","Jv34855             ","E25       ","          ","KES",""
"3/15/2022 12:00:00 AM","LPO1630             ","20","cr190689            ","-29900.00","Jv34857             ","E25       ","          ","KES",""
"3/15/2022 12:00:00 AM","LPO1631             ","20","cr190718            ","-27500.00","Jv34859             ","E25       ","          ","KES",""
"6/25/2019 12:00:00 AM","4207                ","0","cr30596             ","-295913.00","Jv34860             ","          ","          ","KES",""
"7/25/2019 12:00:00 AM","4209                ","0","cr30596             ","-278341.00","Jv34861             ","          ","          ","KES",""
"8/25/2019 12:00:00 AM","4210                ","0","cr30596             ","-279132.00","Jv34862             ","          ","          ","KES",""
"9/25/2019 12:00:00 AM","4211                ","0","cr30596             ","-270653.00","Jv34863             ","          ","          ","KES",""
"10/25/2019 12:00:00 AM","4212                ","0","cr30596             ","-253626.00","Jv34864             ","          ","          ","KES",""
"11/25/2019 12:00:00 AM","4213                ","0","cr30596             ","-253320.00","Jv34865             ","          ","          ","KES",""
"12/25/2019 12:00:00 AM","4214                ","0","cr30596             ","-236667.00","Jv34866             ","          ","          ","KES",""
"1/25/2020 12:00:00 AM","4215                ","0","cr30596             ","-407984.00","Jv35002             ","          ","          ","KES",""
"2/25/2020 12:00:00 AM","4216                ","0","cr30596             ","-449305.00","Jv35001             ","          ","          ","KES",""
"3/25/2020 12:00:00 AM","4217                ","0","cr30596             ","-420318.00","Jv35003             ","          ","          ","KES",""
"4/25/2020 12:00:00 AM","4218                ","0","cr30596             ","-449305.00","Jv34870             ","          ","          ","KES",""
"6/23/2021 12:00:00 AM","4221                ","0","cr356               ","200000.00","Jv34875             ","          ","          ","KES",""
"10/28/2020 12:00:00 AM","Cash                ","53","cr356               ","240000.00","Jv34878             ","","","KES",""
"5/16/2021 12:00:00 AM","4230                ","0","cr30594             ","-150000.00","Jv34889             ","          ","          ","KES",""
"12/13/2019 12:00:00 AM","4227                ","0","cr356               ","10065.00","Jv34887             ","          ","          ","KES",""
"3/10/2022 12:00:00 AM","P0286               ","2","cr190689            ","22100.00","Jv34890             ","","","KES",""
"2/28/2022 12:00:00 AM","chq003067           ","53","cr30594             ","86400.00","Jv34898             ","","","KES",""
"7/17/2021 12:00:00 AM","Mpesa               ","53","cr190627            ","235600.00","Jv34915             ","","","KES",""
"3/11/2022 12:00:00 AM","P0286               ","2","cr140615            ","45000.00","Jv34919             ","","","KES",""
"3/11/2022 12:00:00 AM","P0286               ","2","cr190706            ","8000.00","Jv34924             ","","","KES",""
"3/11/2022 12:00:00 AM","P0286               ","2","cr575               ","7182.00","Jv34934             ","","","KES",""
"3/12/2022 12:00:00 AM","P0286               ","2","cr190689            ","37700.00","Jv34939             ","","","KES",""
"3/12/2022 12:00:00 AM","P0286               ","2","cr30600             ","26000.00","Jv34946             ","","","KES",""
"3/12/2022 12:00:00 AM","P0286               ","2","cr190687            ","26000.00","Jv34951             ","","","KES",""
"3/12/2022 12:00:00 AM","P0286               ","2","cr381               ","6100.00","Jv34956             ","","","KES",""
"3/17/2022 12:00:00 AM","4234                ","0","cr190632            ","124553.00","Jv34982             ","          ","          ","KES",""
"9/6/2021 12:00:00 AM","4236                ","0","cr190657            ","3900.00","Jv34983             ","          ","          ","KES",""
"7/21/2021 12:00:00 AM","4238                ","0","cr190657            ","4200.00","Jv34984             ","          ","          ","KES",""
"3/17/2022 12:00:00 AM","LPO1632             ","20","cr379               ","-1025000.00","Jv34989             ","E25       ","          ","KES",""
"3/17/2022 12:00:00 AM","LPO1633             ","20","cr190698            ","-148484.64","Jv34995             ","E25       ","          ","KES",""
"3/16/2022 12:00:00 AM","LPO1635             ","20","cr190698            ","-114840.00","Jv34997             ","E25       ","          ","KES",""
"3/17/2022 12:00:00 AM","LPO1636             ","20","cr40601             ","-120000.00","Jv34999             ","E25       ","          ","KES",""
"8/27/2016 12:00:00 AM","4241                ","0","cr40601             ","-850000.00","Jv35000             ","          ","          ","KES",""
"2/23/2022 12:00:00 AM","3063                ","53","cr190698            ","123302.00","Jv35008             ","","","KES",""
"3/19/2022 12:00:00 AM","LPO1662             ","20","cr190698            ","-203705.28","Jv35057             ","E25       ","          ","KES",""
"3/15/2022 12:00:00 AM","P0286               ","2","cr190689            ","29900.00","Jv35016             ","","","KES",""
"3/21/2022 12:00:00 AM","LPO1663             ","20","cr190663            ","-2094320.01","Jv35064             ","E25       ","          ","KES",""
"3/12/2022 12:00:00 AM","LPO1664             ","20","cr190730            ","-84000.00","Jv35066             ","E25       ","          ","KES",""
"12/3/2021 12:00:00 AM","1727                ","23","cr190674            ","-841000.00","Jv35067             ","E25       ","          ","KES","False"
"3/19/2022 12:00:00 AM","LPO1665             ","20","cr190726            ","-1296000.00","Jv35072             ","E25       ","          ","KES",""
"8/28/2021 12:00:00 AM","4255                ","0","cr403               ","-4974016.31","Jv35084             ","          ","          ","KES",""
"8/28/2021 12:00:00 AM","4256                ","0","cr403               ","-625728.00","Jv35085             ","          ","          ","KES",""
"2/21/2017 12:00:00 AM","4258                ","0","cr30597             ","519726.00","Jv35094             ","          ","          ","KES",""
"2/21/2017 12:00:00 AM","4259                ","0","cr30597             ","-20000.00","Jv35096             ","          ","          ","KES",""
"11/17/2016 12:00:00 AM","4261                ","0","cr30597             ","685750.00","Jv35098             ","          ","          ","KES",""
"3/18/2022 12:00:00 AM","2728                ","53","cr190663            ","2068000.00","Jv35101             ","","","KES",""
"3/7/2022 12:00:00 AM","3092                ","53","cr190663            ","680000.00","Jv35109             ","","","KES",""
"3/7/2022 12:00:00 AM","3093                ","53","cr190663            ","685000.00","Jv35113             ","","","KES",""
"3/7/2022 12:00:00 AM","3095                ","53","cr190663            ","670000.00","Jv35115             ","","","KES",""
"11/23/2016 12:00:00 AM","4267                ","0","cr10595             ","40000.00","Jv35116             ","          ","          ","KES",""
"11/29/2016 12:00:00 AM","4268                ","0","cr10595             ","24000.00","Jv35117             ","          ","          ","KES",""
"3/18/2022 12:00:00 AM","3075                ","53","cr190675            ","350000.00","Jv35121             ","","","KES",""
"4/9/2022 12:00:00 AM","LPO1685             ","20","cr190663            ","-2123380.00","Jv35762             ","E25       ","          ","KES",""
"3/29/2022 12:00:00 AM","chq002972           ","53","cr190676            ","110500.00","Jv35767             ","","","KES",""
"3/22/2022 12:00:00 AM","LPO1687             ","20","cr190687            ","-52000.00","Jv35770             ","E25       ","          ","KES",""
"4/8/2022 12:00:00 AM","P0287               ","2","cr515               ","19550.00","Jv35774             ","","","KES",""
"4/4/2022 12:00:00 AM","LPO1673             ","20","cr379               ","-1038000.00","Jv35815             ","E25       ","          ","KES",""
"3/12/2022 12:00:00 AM","LPO1692             ","20","cr190689            ","-37700.00","Jv35817             ","E25       ","          ","KES",""
"4/11/2022 12:00:00 AM","LPO1693             ","20","cr528               ","-89900.00","Jv35820             ","E25       ","          ","KES",""
